	logFC	SE	t.value	p.value
A1BG_-_58864360.23-P2	-2.82511022536372	1.74519583985486	-1.61879266546881	0.246909403042928
AADACL2_+_151451926.23-P1P2	-2.49023133546183	2.20240283978176	-1.13068839654629	0.375534802998197
AADACL4_+_12704601.23-P1P2	-3.59913366721709	2.43663792982212	-1.47709006051623	0.277686713016819
AADACL4_+_12704653.23-P1P2	1.09075249273964	0.572528656407343	1.90514916682807	0.19704635719419
AAMP_-_219134424.23-P1P2	-1.62242472338492	1.51548472603204	-1.07056487968234	0.396432149953141
AANAT_-_74464175.23-P1P2	-2.39264672423318	3.86169962555015	-0.619583850696909	0.598710758447976
AARD_-_117950494.23-P1P2	-1.47814167461385	0.550715832970215	-2.68403700442329	0.11529413783696
AARSD1_-_41116425.23-P1	-2.02442044211841	3.28665659122562	-0.615951312809192	0.600687394873782
ABAT_+_8807450.23-P2	-2.67430590992884	2.96484494316332	-0.902005319399774	0.462254392328555
ABCA10_+_67224811.23-P1P2	2.19929556603596	1.64615611040609	1.3360188332888	0.313275221689854
ABCA3_-_2390323.23-P1P2	-0.247448914063044	2.79678597818429	-0.0884761708594133	0.937559975915678
ABCB11_+_169887811.23-P1P2	-1.60507707847853	1.73638538924773	-0.924378360021742	0.452874922320809
ABCB6_-_220083604.23-P1P2	-1.01041671567396	0.974394649321613	-1.03696866190453	0.408681311685743
ABCC1_-_16043934.23-P1P2	-1.21417741753558	2.97974527787206	-0.407476916417052	0.723133741589044
ABCC4_+_95953641.23-P1P2	-2.42546088024135	1.43106772683369	-1.69486100116855	0.232186463288112
ABCD1_+_152990711.23-P1P2	-4.00150475465978	1.0186083971705	-3.92840346277844	0.059111696268155
ABCF1_-_30546354.23-P2	-0.164678655629636	1.23467631834817	-0.133377998089373	0.906104182965804
ABCF1_+_30546315.23-P2	5.47696569739089	2.31658402926924	2.36424218944416	0.141814164017828
ABCF3_-_183903980.23-P1P2	-2.13559179517731	0.718650229209151	-2.9716706519769	0.0970371630681085
