GO	[-0.69 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.03]	[-0.03 -0.01]	[-0.01 0.00]	[0.00 0.02]	[0.02 0.03]	[0.03 0.05]	[0.05 0.09]	[0.09 0.97]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.102	-3.825	-0.834	-0.589	-1.566	-1.153	-0.589	0.891	-0.404	0.891	13.415
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	1.597	0.500	-0.275	-1.426	-0.987	-0.438	-1.426	-0.987	-0.275	-1.426	6.787
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	-0.958	-1.659	-0.549	-0.549	-0.958	0.302	-0.300	-0.549	0.302	0.528	6.818
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	4.662	-0.397	0.726	-1.227	-0.397	-2.367	-1.227	-0.397	1.247	-0.866	0.517
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.339	1.521	-0.614	0.703	0.339	-3.366	-0.266	2.646	-1.254	-0.412	-0.618
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	-2.449	1.796	0.786	0.786	-0.434	0.786	-0.260	0.542	-0.260	-0.691	-2.454
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	0.285	-0.991	-0.574	3.710	-0.574	-1.700	0.784	-0.318	-0.991	1.131	-0.319
REACTOME_PTEN_REGULATION REACTOME_PTEN_REGULATION	2.511	1.891	0.916	-1.959	-1.563	-0.553	-0.553	-0.292	0.916	-0.961	-0.741
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-0.953	0.200	-0.953	0.200	-0.953	-0.434	0.200	0.821	0.200	-0.434	3.980
REACTOME_SYNTHESIS_OF_PG REACTOME_SYNTHESIS_OF_PG	0.273	0.795	3.565	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.332
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	-0.414	-0.414	0.641	-0.414	-0.414	-0.414	-0.414	0.211	0.641	-0.414	2.975
