GO	[-1.00 -0.89]	[-0.89 -0.74]	[-0.74 -0.56]	[-0.56 -0.35]	[-0.35 -0.16]	[-0.16 0.06]	[0.06 0.30]	[0.30 0.52]	[0.52 0.71]	[0.71 0.88]	[0.88 1.00]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.102	-2.813	-0.589	-0.834	-1.566	-2.102	0.489	-0.589	0.673	1.739	10.351
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	2.817	0.328	-1.426	-1.426	-0.668	-0.438	-0.987	-0.275	-2.038	-0.438	6.129
REACTOME_S_PHASE REACTOME_S_PHASE	7.481	0.711	-1.176	-1.176	-0.292	-0.923	-0.402	-0.923	-0.923	-1.176	1.299
REACTOME_SUMOYLATION REACTOME_SUMOYLATION	4.307	0.662	-1.166	2.229	-1.451	-0.723	-1.786	-0.420	-0.310	0.292	-0.729
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	-0.958	-0.549	-0.958	-0.958	-0.958	0.302	0.821	-0.549	-0.300	0.302	5.999
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN	4.566	0.256	0.566	-0.828	0.256	-0.351	-0.828	-0.351	0.256	-0.828	-0.830
REACTOME_HDMS_DEMETHYLATE_HISTONES REACTOME_HDMS_DEMETHYLATE_HISTONES	0.931	-0.870	0.931	-0.870	0.931	-0.870	-0.870	-0.870	0.236	-0.378	2.035
REACTOME_ELASTIC_FIBRE_FORMATION REACTOME_ELASTIC_FIBRE_FORMATION	-1.783	0.254	0.716	0.254	0.254	-1.058	0.453	-0.625	1.426	1.866	-1.787
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	-1.608	1.415	0.542	1.077	0.786	-0.691	-0.691	0.542	0.786	-0.691	-2.454
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	-0.455	0.579	-0.455	-0.455	0.579	3.765	0.187	-0.455	-0.455	-0.455	-0.456
REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	0.361	4.463
REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS	-0.373	3.247	0.240	-0.373	0.712	0.240	-0.373	-0.373	-0.373	-0.373	-0.373
