GO	[-1.00 -0.89]	[-0.89 -0.73]	[-0.73 -0.55]	[-0.55 -0.35]	[-0.35 -0.15]	[-0.15 0.07]	[0.07 0.31]	[0.31 0.52]	[0.52 0.71]	[0.71 0.88]	[0.88 1.00]
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-2.856	-2.856	-0.760	-0.976	-1.911	-1.236	0.388	0.283	1.017	0.827	12.430
GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX	3.402	1.144	-1.805	-1.805	-1.309	-0.935	0.313	0.313	-1.309	-0.935	3.904
GOBP_RECOMBINATIONAL_REPAIR GOBP_RECOMBINATIONAL_REPAIR	7.776	0.445	-0.282	-0.552	0.594	-2.074	-0.282	-0.984	-0.282	-1.278	-0.975
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	3.081	-0.586	-2.780	-0.374	0.581	-0.374	-0.586	-0.374	-0.374	-1.892	3.096
GOBP_PROTEIN_K11_LINKED_UBIQUITINATION GOBP_PROTEIN_K11_LINKED_UBIQUITINATION	7.033	0.684	-0.520	-0.241	-0.520	-0.520	-1.077	-0.520	-1.077	-0.241	-0.518
GOBP_NCRNA_TRANSCRIPTION GOBP_NCRNA_TRANSCRIPTION	0.456	0.840	-2.884	-2.166	-0.624	0.632	-0.876	1.352	-0.624	-0.290	3.172
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	-0.621	0.396	5.902	-0.223	0.396	-0.621	-0.223	-0.621	-0.621	-0.621	-0.619
HP_ANTERIOR_OPEN_BITE_MALOCCLUSION HP_ANTERIOR_OPEN_BITE_MALOCCLUSION	1.488	0.434	-0.580	-0.580	-0.580	-0.580	-0.580	-0.199	4.009	-0.580	-0.578
HP_ABNORMAL_EPIPHYSEAL_OSSIFICATION HP_ABNORMAL_EPIPHYSEAL_OSSIFICATION	-0.921	-0.578	-1.432	-0.348	0.664	-0.348	2.545	0.664	2.545	-1.432	-1.426
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS GOBP_THIOESTER_BIOSYNTHETIC_PROCESS	-0.256	-0.756	-1.991	-1.226	-0.451	-0.756	0.571	0.571	-0.256	0.351	4.883
HP_ATHETOSIS HP_ATHETOSIS	0.302	-0.958	0.527	1.176	-0.549	2.070	1.594	-1.658	-0.958	-0.300	-1.652
GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	5.278	0.513	-0.320	-0.320	-1.911	-0.320	-2.344	-0.581	0.827	-0.320	-0.430
GOMF_PHOSPHOLIPASE_A2_ACTIVITY_CONSUMING_1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE GOMF_PHOSPHOLIPASE_A2_ACTIVITY_CONSUMING_1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE	-0.787	-0.324	-0.787	1.057	0.279	-0.324	4.783	-0.324	-0.324	-0.787	-0.784
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	1.112	2.276	1.112	-0.668	-0.668	-1.035	-0.247	-1.572	0.564	0.564	-2.397
GOBP_INTERLEUKIN_10_PRODUCTION GOBP_INTERLEUKIN_10_PRODUCTION	-2.281	-0.600	-0.949	2.016	0.910	0.415	-1.467	-0.600	0.910	1.601	-0.596
GOMF_METAL_CLUSTER_BINDING GOMF_METAL_CLUSTER_BINDING	3.383	0.287	0.676	-0.315	-1.182	-1.182	-1.182	1.983	-0.787	0.287	-1.176
GOBP_REGULATION_OF_MICROTUBULE_BINDING GOBP_REGULATION_OF_MICROTUBULE_BINDING	4.069	-0.414	1.256	-0.414	-0.414	-0.414	-0.414	-0.414	0.211	-0.414	-0.413
GOBP_RESPONSE_TO_OSMOTIC_STRESS GOBP_RESPONSE_TO_OSMOTIC_STRESS	-3.363	1.516	0.339	-0.412	-0.615	0.502	-1.740	0.701	-0.266	0.339	1.527
GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	1.057	3.019	-0.787	-0.787	-0.787	0.279	0.279	-0.787	-0.324	0.609	-0.784
GOBP_MULTI_ORGANISM_LOCALIZATION GOBP_MULTI_ORGANISM_LOCALIZATION	2.412	0.676	-0.787	0.938	0.459	-1.749	-1.182	1.593	-1.182	-0.508	-0.781
HP_ABNORMALITY_OF_BLADDER_MORPHOLOGY HP_ABNORMALITY_OF_BLADDER_MORPHOLOGY	-0.949	0.245	-2.281	0.415	-0.365	2.016	-0.600	1.232	0.245	1.232	-1.460
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1.052	-0.497	-0.497	-0.497	-0.497	-0.497	-0.497	0.524	-0.497	0.166	3.504
GOBP_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS GOBP_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	1.427	2.561	-0.754	-1.092	1.427	-1.092	0.428	-1.092	0.428	-0.754	-1.085
GOMF_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY GOMF_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY	-0.663	0.362	1.292	-0.663	1.939	0.762	-0.663	-0.663	-0.663	0.362	-0.660
GOCC_ISWI_TYPE_COMPLEX GOCC_ISWI_TYPE_COMPLEX	4.919	-0.456	0.187	0.187	-0.456	-0.456	-0.456	-0.456	0.187	0.187	-0.454
GOCC_PLATELET_ALPHA_GRANULE_LUMEN GOCC_PLATELET_ALPHA_GRANULE_LUMEN	-2.655	0.274	0.906	-0.811	-0.329	-0.329	1.547	1.547	-0.527	0.651	-1.205
GOBP_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY GOBP_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY	1.901	0.845	-0.645	0.379	-1.537	-0.645	-1.537	-0.645	-0.399	-0.235	2.352
GOMF_PHOSPHOLIPASE_INHIBITOR_ACTIVITY GOMF_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	-0.497	0.166	1.731	-0.497	-0.497	1.052	1.731	-0.497	-0.497	-0.497	-0.495
GOCC_CORE_MEDIATOR_COMPLEX GOCC_CORE_MEDIATOR_COMPLEX	4.875	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	-0.331	0.273	-0.330
HP_INCREASED_CIRCULATING_IGG_LEVEL HP_INCREASED_CIRCULATING_IGG_LEVEL	-0.223	-0.621	2.069	-0.621	-0.621	0.396	-0.621	2.069	-0.621	-0.223	-0.222
GOBP_NODAL_SIGNALING_PATHWAY GOBP_NODAL_SIGNALING_PATHWAY	-0.746	-0.746	0.304	0.655	-0.746	-0.298	-0.746	1.713	0.655	-0.746	1.133
GOCC_MITOTIC_SPINDLE_MICROTUBULE GOCC_MITOTIC_SPINDLE_MICROTUBULE	-0.497	0.524	0.166	-0.497	-0.497	0.166	-0.497	-0.497	-0.497	0.524	3.504
HP_ABNORMAL_BLOOD_CHLORIDE_CONCENTRATION HP_ABNORMAL_BLOOD_CHLORIDE_CONCENTRATION	0.187	-0.456	0.578	-0.456	-0.456	-0.456	-0.456	3.762	0.187	0.187	-0.454
