GO	[-0.69 -0.10]	[-0.10 -0.06]	[-0.06 -0.04]	[-0.04 -0.03]	[-0.03 -0.01]	[-0.01 0.00]	[0.00 0.02]	[0.02 0.03]	[0.03 0.05]	[0.05 0.08]	[0.08 0.97]
GO_TRANSLATIONAL_TERMINATION GO_TRANSLATIONAL_TERMINATION	-2.433	-4.235	-0.771	-0.771	-0.385	-1.858	-1.051	1.669	-0.385	0.492	13.304
GO_MITOCHONDRIAL_GENE_EXPRESSION GO_MITOCHONDRIAL_GENE_EXPRESSION	-3.395	-2.791	-0.939	-0.553	-1.497	-1.858	-0.939	2.052	-0.301	1.515	11.934
GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	-1.933	-3.610	-0.505	-0.730	-1.029	-1.933	-0.730	1.025	-0.338	0.577	13.386
GO_MITOCHONDRIAL_TRANSLATION GO_MITOCHONDRIAL_TRANSLATION	-2.670	-2.670	-0.580	-0.778	-1.322	-1.687	-1.022	1.940	-0.580	1.143	12.565
GO_TRANSLATIONAL_ELONGATION GO_TRANSLATIONAL_ELONGATION	-1.276	-3.264	-0.743	-0.982	-0.982	-2.072	-0.743	0.595	-0.282	0.970	14.251
GO_ORGANELLAR_RIBOSOME GO_ORGANELLAR_RIBOSOME	-1.836	-2.510	-0.457	-0.457	-0.957	-1.836	-0.671	0.858	-0.457	0.451	12.276
GO_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT GO_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	-0.920	-2.239	-0.578	-0.348	-1.431	-2.239	-0.920	0.945	-0.348	1.276	8.471
GO_ATPASE_COMPLEX GO_ATPASE_COMPLEX	3.688	-0.244	-0.244	-2.326	-3.278	-0.577	-0.382	-0.842	-0.244	0.539	2.328
GO_TRNA_WOBBLE_URIDINE_MODIFICATION GO_TRNA_WOBBLE_URIDINE_MODIFICATION	-0.621	-0.621	-0.621	-0.621	-0.621	-0.621	0.396	-0.621	0.396	-0.223	7.124
GO_TRNA_WOBBLE_BASE_MODIFICATION GO_TRNA_WOBBLE_BASE_MODIFICATION	-0.324	-0.787	-0.787	-0.324	-0.787	-0.787	0.609	-0.787	0.279	-0.324	6.880
GO_REGULATION_OF_CYTOPLASMIC_TRANSLATION GO_REGULATION_OF_CYTOPLASMIC_TRANSLATION	-0.260	-0.550	-0.260	-1.118	-0.260	-1.118	0.347	0.347	-1.118	-0.550	6.774
GO_THIOESTER_BIOSYNTHETIC_PROCESS GO_THIOESTER_BIOSYNTHETIC_PROCESS	-0.782	-1.259	-0.270	-1.259	-2.031	0.334	0.815	-0.471	0.334	0.334	5.418
GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	-0.324	-0.324	-0.787	-0.324	-0.787	-0.324	0.279	-0.787	0.279	-0.787	6.880
GO_TRNA_METABOLIC_PROCESS GO_TRNA_METABOLIC_PROCESS	-1.214	-1.214	0.399	-0.957	-0.957	-0.424	-0.567	-0.567	0.399	0.677	7.246
GO_HISTONE_H2A_ACETYLATION GO_HISTONE_H2A_ACETYLATION	-0.247	-0.662	-0.662	0.362	-0.662	-0.247	-0.247	-0.662	-0.247	-0.662	6.735
GO_TRNA_PROCESSING GO_TRNA_PROCESSING	-1.034	-1.358	0.322	-1.358	-0.566	-0.281	-0.566	-1.034	0.453	1.248	5.978
GO_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT GO_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	-1.160	-1.160	0.324	-0.279	-0.279	-0.579	0.324	0.324	-0.279	-1.160	5.622
GO_PROTEIN_K11_LINKED_UBIQUITINATION GO_PROTEIN_K11_LINKED_UBIQUITINATION	3.510	0.684	1.089	0.371	-0.520	-1.077	-1.077	-1.077	-0.520	-1.077	0.370
GO_PROTEIN_ACETYLTRANSFERASE_COMPLEX GO_PROTEIN_ACETYLTRANSFERASE_COMPLEX	2.527	0.884	-1.308	-0.934	-1.308	-0.934	-0.289	-0.934	-0.289	-0.652	3.872
GO_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS GO_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS	-1.181	-1.181	0.288	-1.181	-1.748	-0.315	0.676	-0.507	0.459	0.676	5.089
GO_CYTOPLASMIC_TRANSLATION GO_CYTOPLASMIC_TRANSLATION	0.841	1.082	-1.621	-0.432	-0.432	-0.623	-0.623	0.313	-1.201	-1.201	5.064
GO_SPLICEOSOMAL_COMPLEX GO_SPLICEOSOMAL_COMPLEX	1.239	-0.661	-0.284	-0.661	-0.661	-2.387	0.318	0.692	-1.063	-0.661	5.035
GO_CHROMOSOME_CENTROMERIC_REGION GO_CHROMOSOME_CENTROMERIC_REGION	1.757	-0.365	-0.634	-0.268	-0.813	-0.365	-0.486	-0.634	-0.268	-2.805	4.736
GO_RIBOSOMAL_SUBUNIT GO_RIBOSOMAL_SUBUNIT	-0.468	0.452	-0.776	0.344	-0.976	-2.179	-0.607	0.578	-0.468	-0.262	5.838
GO_N_ACYLTRANSFERASE_ACTIVITY GO_N_ACYLTRANSFERASE_ACTIVITY	3.731	0.947	-0.506	-0.714	-0.506	-0.984	-2.331	-0.348	-0.506	-0.506	1.772
GO_NEGATIVE_REGULATION_OF_ORGAN_GROWTH GO_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	0.509	1.721	-1.284	-0.341	-1.284	-1.284	2.269	0.509	-0.671	-0.341	0.263
GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	-0.870	0.236	-0.378	0.236	-0.870	-0.378	0.236	1.437	-0.870	-0.870	3.493
GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1.302	0.540	0.283	-0.320	-1.243	-1.243	0.540	-1.243	1.302	-1.243	0.878
GO_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER GO_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	2.121	0.817	-1.288	0.990	-0.836	-1.902	0.410	-0.660	-0.513	-1.572	2.383
GO_PROTEASOME_ACCESSORY_COMPLEX GO_PROTEASOME_ACCESSORY_COMPLEX	3.816	0.427	-0.204	-0.204	-0.462	-0.994	-0.994	-0.462	1.214	-0.994	-0.464
GO_DIOXYGENASE_ACTIVITY GO_DIOXYGENASE_ACTIVITY	-0.457	-0.457	0.637	-0.957	2.473	-1.335	-2.510	-0.301	-0.457	0.637	2.075
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	0.187	0.187	-0.455	-0.455	-0.455	-0.455	-0.455	0.579	-0.455	-0.455	4.913
GO_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT GO_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	1.327	0.316	-2.529	0.316	-1.122	-0.287	-0.287	-1.677	1.691	-0.287	1.320
GO_PEPTIDASE_COMPLEX GO_PEPTIDASE_COMPLEX	3.815	0.637	0.451	-1.836	-0.957	0.301	-1.836	0.301	0.858	-0.671	-0.461
GO_RECOMBINATIONAL_REPAIR GO_RECOMBINATIONAL_REPAIR	5.884	-0.365	-0.693	0.830	0.354	-0.365	-0.509	-0.924	-1.209	-0.924	-0.369
GO_THIOESTER_METABOLIC_PROCESS GO_THIOESTER_METABOLIC_PROCESS	-0.695	-1.303	0.269	-0.962	-2.298	0.398	-0.335	-0.490	0.973	1.226	3.334
GO_TRANSCRIPTION_BY_RNA_POLYMERASE_III GO_TRANSCRIPTION_BY_RNA_POLYMERASE_III	-1.293	-0.809	0.318	-0.809	-0.809	-0.285	-0.492	0.318	-0.492	0.782	5.289
GO_ELONGATOR_HOLOENZYME_COMPLEX GO_ELONGATOR_HOLOENZYME_COMPLEX	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	6.246
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	-0.671	1.721	-1.284	0.509	0.264	2.881	-0.341	-0.671	-0.341	-1.284	-0.343
GO_RNA_MODIFICATION GO_RNA_MODIFICATION	-0.622	-1.340	-1.054	-0.465	-0.622	0.370	-0.339	-0.622	0.496	0.370	5.861
GO_KINETOCHORE GO_KINETOCHORE	1.514	-1.358	-0.773	0.322	-0.773	-0.405	0.453	-0.405	-0.281	-1.760	4.040
GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	-0.283	-0.283	0.859	-0.925	2.146	-0.925	-1.616	-0.925	-0.283	-0.283	2.139
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_COMPLEX GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_COMPLEX	1.938	-0.310	-1.780	0.824	-1.780	-1.446	0.293	-0.923	0.396	0.519	2.204
GO_MICROTUBULE_ASSOCIATED_COMPLEX GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.614	0.614	0.470	0.967	0.349	-4.835	-0.489	-0.652	-0.489	-0.360	1.649
GO_FORMATION_OF_PRIMARY_GERM_LAYER GO_FORMATION_OF_PRIMARY_GERM_LAYER	-2.740	-0.357	-1.261	0.512	-0.357	-1.261	0.684	0.883	3.030	0.368	0.249
GO_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE GO_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE	-0.471	1.514	0.334	-0.471	-0.471	-0.782	0.334	-2.031	0.815	-1.259	2.405
GO_INO80_TYPE_COMPLEX GO_INO80_TYPE_COMPLEX	2.251	-0.491	-0.491	-1.035	-1.035	-0.491	-0.222	-0.222	-0.222	-0.491	2.911
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.275	-0.329	-0.526	-0.329	0.275	-0.526	0.441	-1.783	0.907	-1.783	3.824
GO_PHOSPHATIDYLGLYCEROL_ACYL_CHAIN_REMODELING GO_PHOSPHATIDYLGLYCEROL_ACYL_CHAIN_REMODELING	-0.704	0.706	1.207	-0.272	-0.704	-0.272	2.543	0.332	-0.704	-0.704	-0.706
GO_RESPONSE_TO_GAMMA_RADIATION GO_RESPONSE_TO_GAMMA_RADIATION	3.139	0.272	-0.332	-0.892	0.981	1.320	-1.396	-0.556	-1.396	-0.556	-0.334
GO_N_ACETYLTRANSFERASE_ACTIVITY GO_N_ACETYLTRANSFERASE_ACTIVITY	3.339	0.637	-0.301	-0.671	-0.457	-1.335	-1.836	-0.457	-0.457	-0.301	1.720
