GO	[-1.51 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.03]	[-0.03 -0.00]	[-0.00 0.02]	[0.02 0.04]	[0.04 0.07]	[0.07 0.10]	[0.10 0.14]	[0.14 1.00]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	4.128	-1.010	-0.372	-3.164	-1.530	0.326	-0.806	1.027	-0.806	0.326	2.178
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	3.751	0.422	1.169	-1.819	-0.546	-0.344	-1.819	-0.835	-0.835	-0.344	1.167
REACTOME_IRON_UPTAKE_AND_TRANSPORT REACTOME_IRON_UPTAKE_AND_TRANSPORT	2.975	0.246	1.233	-0.600	-0.365	-2.280	-0.600	-1.466	-0.949	0.416	1.231
WELCSH_BRCA1_TARGETS_DN WELCSH_BRCA1_TARGETS_DN	2.846	0.396	-2.734	-1.369	0.396	0.695	-2.189	0.533	-0.610	0.282	1.325
PUJANA_BRCA_CENTERED_NETWORK PUJANA_BRCA_CENTERED_NETWORK	3.302	-0.617	-0.301	-0.617	-0.617	-1.979	0.301	-0.617	-1.143	0.301	2.893
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	3.175	-0.338	-0.338	-1.590	-0.607	-0.458	-0.790	-1.011	-1.276	0.792	2.828
KEGG_SPLICEOSOME KEGG_SPLICEOSOME	4.185	-0.469	0.272	-1.482	-1.482	0.530	-1.142	0.893	-1.142	0.272	0.697
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	4.784	-0.621	-0.621	-0.621	-0.223	0.396	-0.621	0.396	-0.621	-0.223	-0.223
BROWNE_HCMV_INFECTION_2HR_DN BROWNE_HCMV_INFECTION_2HR_DN	3.196	-0.702	-1.157	0.389	-0.411	0.920	-1.157	-0.228	0.389	-1.907	0.624
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	2.866	0.396	-0.621	-0.223	-0.621	-0.621	-0.621	-0.621	-0.621	1.386	0.396
TCGA_GLIOBLASTOMA_COPY_NUMBER_DN TCGA_GLIOBLASTOMA_COPY_NUMBER_DN	2.566	-0.580	0.607	-1.160	0.324	-0.580	-0.580	-1.160	0.324	-0.580	1.431
REACTOME_POLYMERASE_SWITCHING REACTOME_POLYMERASE_SWITCHING	3.496	-0.497	0.524	0.167	-0.497	0.167	-0.497	-0.497	-0.497	0.524	-0.497
