	logFC	SE	t.value	p.value
AAK1_+_69870290.23-P1P2	-0.901135997652695	0.918964270450998	-0.980599601778257	0.430189690748607
ABCC11_-_48280980.23-P2	0.278811974890491	1.00198088628289	0.278260771944282	0.806941519053942
ABCC4_+_95953641.23-P1P2	2.41354231238711	1.02961803776677	2.34411424805849	0.143757706174121
ABCD3_-_94883974.23-P1P2	-0.332384235777732	0.164158437284191	-2.0247770463501	0.180173061347917
ABHD4_-_23067680.23-P1P2	-0.33238423577773	0.366310211736788	-0.907384574953004	0.459980700408674
ACRV1_+_125550697.23-P1P2	0.0236581022975002	0.0786725923803761	0.30071593653753	0.792011835699172
ACTA1_-_229569824.23-P1	0.890008185558719	0.164158437284191	5.42164143545017	0.0323771619503146
ADAM30_-_120439090.23-P1P2	0.460097014582847	1.26937250214131	0.362460202822031	0.751726623269586
ADCY1_+_45614427.23-P1P2	0.575099817306012	2.27726415511031	0.252539792546884	0.824208244129073
ADORA2B_-_15848949.23-P1P2	-0.33238423577773	0.422885639440601	-0.785990832456293	0.514207532933802
AGPAT4_-_161695108.23-P1P2	-0.70086703286083	0.474721900403598	-1.47637391968849	0.277854264821727
AHDC1_-_27930242.23-P1P2	1.25257826494343	0.571884192017132	2.19026558598406	0.159902423813554
ALDH3B1_+_67777856.23-P1P2	1.86377447561165	0.633009640728144	2.94430661982931	0.0985900054475388
AMN_+_103395419.23-P2	0.28729851419235	0.597419124787237	0.480899426001248	0.678057172196875
ANKAR_-_190539475.23-P1P2	-0.694954315162437	0.164158437284191	-4.23343646942332	0.0515231188195867
ANKRD16_-_5931445.23-P1P2	-0.81781106294797	0.366310211736788	-2.23256419489503	0.155224754318045
ANKRD49_+_94227214.23-P1P2	0.278811974890495	0.879702906448529	0.31693879018326	0.781314896008526
APH1B_-_63569807.23-P1P2	-0.575097649362851	0.257024265510571	-2.23752278105118	0.154688750708028
APOBEC3F_-_39437244.23-P1P2	0.398668640690083	0.401402121464388	0.993190168591205	0.425279774251405
ARHGEF10_-_1772493.23-P1P2	2.1898128239015	1.07966385291315	2.02823574948161	0.179714676081458
ARL15_+_53606225.23-P1P2	-0.249059301073002	0.842995487501916	-0.295445592254651	0.795503294034048
ARRDC2_+_18111987.23-P2	0.647294771973601	0.42773415875747	1.51331091688804	0.269375965443278
ATAD3B_+_1407208.23-P1	-0.943580446445953	0.883926580714698	-1.06748735362503	0.39753687261074
ATP8A1_-_42659062.23-P1P2	-0.575097649362848	0.767982102952648	-0.748842514886454	0.532043352521352
BBS4_+_72978743.23-P1P2	-0.756382689055206	0.949638369617068	-0.796495501082385	0.509270632169651
BCL11B_+_99737681.23-P1P2	2.23225727269475	0.584225879022678	3.82088050674678	0.0621771265773374
BLOC1S3_+_45683973.23-P2	-1.55477665711418	0.872691611966279	-1.78158771757996	0.216765700146644
BOP1_-_145512657.23-P2	-0.45815361927571	0.93867586647631	-0.488085009573721	0.67375534395466
BRCC3_+_154300154.23-P1P2	1.98954385910963	0.864432156490541	2.30156160222784	0.147989590119057
C12orf61_+_62997180.23-P1P2	2.23225727269476	0.590006879281209	3.78344278869131	0.0632987613973492
C1orf111_+_162346576.23-P1P2	0.278811974890492	1.22236335197734	0.228092550745631	0.840771923078722
C4orf51_+_146601766.23-P1P2	-0.493972556320043	2.6813355908289	-0.184226307967418	0.870823756421509
C8orf31_+_144121121.23-P1P2	2.65625572597223	0.144572109677421	18.3732237974464	0.00294920338404395
CABP1_+_121078576.23-P1P2	-0.0896708221926109	1.15708512510868	-0.077497169609011	0.945283318779127
