GO	[-31.63 -1.07]	[-1.07 -0.59]	[-0.59 -0.31]	[-0.31 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.21]	[0.21 0.47]	[0.47 1.06]	[1.06 23.45]
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-1.320	-1.975	-3.419	-7.070	0.692	16.190	9.957	-4.854	-1.623	-1.975	0.315
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-1.511	1.357	8.220	11.004	0.617	-6.861	-3.260	0.772	-2.715	-3.260	-6.879
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-3.178	-1.611	1.902	14.893	4.366	-8.242	-3.717	2.712	-1.334	-3.178	-2.304
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-2.695	-1.998	-2.695	-1.998	1.858	10.013	8.614	-1.077	-1.077	-2.695	-2.703
GOBP_SPINDLE_ORGANIZATION GOBP_SPINDLE_ORGANIZATION	-1.287	-0.512	0.527	0.309	0.527	-6.284	-4.490	6.496	3.330	1.614	-3.823
GOBP_OXIDATIVE_PHOSPHORYLATION GOBP_OXIDATIVE_PHOSPHORYLATION	-1.451	-1.152	2.749	8.587	1.835	-4.049	-0.696	0.905	-0.696	-2.728	-2.740
GOBP_PROTEIN_METHYLATION GOBP_PROTEIN_METHYLATION	-0.828	-0.276	0.707	1.485	1.057	-4.817	-4.817	6.441	1.261	-0.375	-4.054
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	0.373	-0.436	1.129	7.451	0.486	-4.246	-5.039	1.129	1.336	-1.154	-3.595
GOBP_CORNIFICATION GOBP_CORNIFICATION	-0.991	-2.808	-2.194	-2.194	0.482	3.741	9.084	-1.309	-1.703	-0.991	1.297
GOBP_MRNA_3_END_PROCESSING GOBP_MRNA_3_END_PROCESSING	-1.328	0.541	0.947	2.481	4.194	-4.109	-1.768	2.118	0.259	-2.331	-4.119
GOBP_CYTOSOLIC_TRANSPORT GOBP_CYTOSOLIC_TRANSPORT	-2.744	-1.240	0.928	1.333	1.564	-3.936	-2.277	2.083	2.675	0.928	-2.288
GOBP_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION GOBP_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	-0.945	-0.756	-1.167	-0.263	-1.167	-4.736	-2.464	3.370	0.864	2.168	3.690
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION	-0.732	-0.521	3.228	3.228	0.708	-3.107	-2.364	0.922	1.166	-2.364	-1.805
GOBP_RESPONSE_TO_CHEMOKINE GOBP_RESPONSE_TO_CHEMOKINE	-1.650	0.441	-2.919	-1.226	-0.641	0.301	0.817	-1.226	-0.896	0.613	9.200
GOBP_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION GOBP_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	-0.488	0.446	2.203	1.818	0.643	-3.069	-1.064	1.468	0.446	-3.069	-1.523
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	-0.952	0.821	7.879	0.200	0.200	-0.952	-0.434	-0.434	-0.952	-0.952	-0.955
GOBP_ERAD_PATHWAY GOBP_ERAD_PATHWAY	-1.028	0.898	0.359	2.031	0.508	-4.192	-0.751	2.031	0.898	-0.536	-2.407
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION GOBP_DORSAL_VENTRAL_PATTERN_FORMATION	3.836	2.048	-2.252	-2.252	-1.611	0.579	0.254	-0.797	-1.144	0.579	0.575
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	4.148	0.741	-0.367	-1.338	-2.483	1.113	0.452	-3.629	-0.493	-0.493	1.104
GOBP_TRANSFERRIN_TRANSPORT GOBP_TRANSFERRIN_TRANSPORT	-0.828	-1.491	-1.491	-1.491	1.860	-0.828	-0.828	1.390	2.979	0.647	-0.235
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	1.346	-1.010	-3.032	-1.010	-1.814	-0.646	-1.507	1.146	0.799	2.313	2.579
GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	-4.716	-0.608	-0.330	0.510	-0.330	-1.034	-1.034	2.341	3.011	-0.800	1.241
GOBP_T_CELL_PROLIFERATION GOBP_T_CELL_PROLIFERATION	0.293	-0.843	-0.527	-0.527	-1.548	-4.237	-0.309	-0.527	1.514	3.791	1.974
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	0.433	-0.301	-2.568	-1.978	0.301	1.003	3.732	-0.848	-2.568	0.784	0.997
GOBP_COPII_COATED_VESICLE_BUDDING GOBP_COPII_COATED_VESICLE_BUDDING	-0.709	-1.038	0.301	3.143	-0.301	-3.027	-2.107	0.463	2.683	0.301	-0.303
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1.588	1.167	5.053	0.416	-0.633	-3.003	-0.994	-0.494	-0.633	-0.633	-1.231
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC	-0.558	0.559	1.640	2.817	0.773	-2.289	-2.289	0.773	-0.819	0.243	-1.649
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE	-0.300	-0.300	-0.957	-1.657	-0.549	3.817	1.595	-0.957	-0.549	-0.957	1.173
GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY	-0.994	1.745	1.214	0.772	1.214	-0.994	-0.994	0.427	-0.994	-0.994	-0.464
GOBP_MUSCLE_FILAMENT_SLIDING GOBP_MUSCLE_FILAMENT_SLIDING	0.555	-1.616	-1.616	-1.616	-0.925	0.858	-0.283	0.320	0.858	0.555	2.139
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	-1.823	0.685	0.685	1.371	0.240	-1.823	-1.823	0.431	0.999	0.685	-0.653
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	0.699	0.388	1.113	-0.332	0.388	-3.867	-2.413	-0.332	1.359	1.113	-0.473
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	-0.411	0.389	-1.157	-1.906	-0.702	0.389	-0.228	-0.411	0.389	-0.411	5.108
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III	-0.728	2.068	-0.431	1.226	0.598	-1.948	-1.948	0.884	0.370	-0.242	-0.731
GOBP_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II GOBP_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.820	-0.300	-0.957	0.302	0.302	-1.657	-1.657	0.302	-0.957	2.071	1.589
