GO	[-7.17 -1.16]	[-1.16 -0.63]	[-0.63 -0.37]	[-0.37 -0.19]	[-0.19 -0.04]	[-0.04 0.00]	[0.00 0.07]	[0.07 0.25]	[0.25 0.52]	[0.52 1.11]	[1.11 6.65]
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-1.982	0.968	4.065	2.392	3.345	-1.347	-0.877	-0.540	-1.347	-1.347	-2.878
HP_DELAYED_MYELINATION HP_DELAYED_MYELINATION	-1.641	0.796	3.011	-0.412	0.508	-1.982	-1.982	1.159	2.392	0.293	-2.878
HP_MYELODYSPLASIA HP_MYELODYSPLASIA	-1.873	-0.554	2.018	2.374	2.018	-0.775	-0.554	0.673	0.495	-1.873	-3.249
HP_Y_LINKED_INHERITANCE HP_Y_LINKED_INHERITANCE	-0.272	0.332	-0.704	-0.704	-0.704	4.297	2.551	-0.704	-0.704	-0.704	-0.712
HP_SHORT_RIBS HP_SHORT_RIBS	0.480	0.480	0.705	-0.300	-1.720	-2.582	0.705	0.302	-0.764	3.505	-1.175
HP_ABNORMAL_HYPOTHALAMUS_PHYSIOLOGY HP_ABNORMAL_HYPOTHALAMUS_PHYSIOLOGY	3.169	0.457	-2.205	-1.401	-0.895	1.329	-0.557	-0.557	-0.895	0.986	0.446
HP_ONYCHOGRYPOSIS HP_ONYCHOGRYPOSIS	-0.954	0.200	-0.954	-0.954	-0.954	0.458	3.205	0.200	0.823	-0.954	0.812
HP_HIGH_PITCHED_VOICE HP_HIGH_PITCHED_VOICE	-0.501	-0.266	1.285	-0.894	3.420	0.339	-1.578	-0.894	0.585	0.339	-1.594
HP_MOTOR_AXONAL_NEUROPATHY HP_MOTOR_AXONAL_NEUROPATHY	-0.520	-0.520	1.092	1.092	3.529	-1.078	-1.078	-0.520	-0.240	-0.240	-1.089
HP_ABNORMAL_CORONARY_ARTERY_MORPHOLOGY HP_ABNORMAL_CORONARY_ARTERY_MORPHOLOGY	-0.895	0.695	0.457	-0.895	-0.332	0.272	-2.205	-0.895	1.329	3.169	-0.568
HP_UNILATERAL_RENAL_AGENESIS HP_UNILATERAL_RENAL_AGENESIS	-0.399	0.850	0.380	-0.646	-1.542	-1.009	-0.234	2.363	0.590	1.159	-2.397
HP_ORGANIC_ACIDURIA HP_ORGANIC_ACIDURIA	0.329	1.608	1.608	1.608	-0.275	-2.046	-2.046	-0.438	0.502	-0.669	-1.009
HP_ABNORMAL_RIGHT_ATRIUM_MORPHOLOGY HP_ABNORMAL_RIGHT_ATRIUM_MORPHOLOGY	0.435	-0.580	-0.580	-0.580	-0.580	-0.580	2.218	0.893	-0.580	1.492	-0.586
HP_TEMPORAL_CORTICAL_ATROPHY HP_TEMPORAL_CORTICAL_ATROPHY	0.256	0.256	-0.351	-0.351	3.689	-0.829	-0.829	-0.829	-0.829	0.994	0.252
HP_LOSS_OF_CONSCIOUSNESS HP_LOSS_OF_CONSCIOUSNESS	-0.324	-0.324	0.610	3.876	0.279	-0.787	-0.787	-0.324	-0.787	-0.787	0.602
HP_RENAL_SALT_WASTING HP_RENAL_SALT_WASTING	0.876	-0.406	-0.912	0.217	0.217	1.361	0.217	-0.912	-0.912	-0.912	1.921
HP_ABNORMALITY_OF_THE_EXTRINSIC_PATHWAY HP_ABNORMALITY_OF_THE_EXTRINSIC_PATHWAY	-0.199	-0.199	3.064	1.492	-0.580	-0.580	-0.580	-0.580	-0.199	-0.580	-0.202
