GO	[-31.63 -1.15]	[-1.15 -0.63]	[-0.63 -0.33]	[-0.33 -0.14]	[-0.14 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.23]	[0.23 0.52]	[0.52 1.14]	[1.14 23.45]
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	5.519	-0.436	-0.711	-1.610	-1.333	-5.892	-1.333	1.048	0.359	2.154	0.870
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	2.094	0.560	-0.350	-2.339	-1.372	1.612	-0.918	-3.776	-1.652	1.011	3.892
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	2.475	-0.451	-1.148	-2.435	-0.343	3.748	1.935	-3.404	-1.701	-0.343	0.576
GSE40493_BCL6_KO_VS_WT_TREG_DN GSE40493_BCL6_KO_VS_WT_TREG_DN	3.561	-0.791	-1.786	-2.911	-1.381	1.219	2.414	-1.381	-0.791	1.480	-0.293
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.179	0.326	-3.739	-1.248	-0.372	2.462	1.913	-1.008	-1.527	-0.805	0.844
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN	3.697	0.474	-1.314	0.597	-0.427	-1.589	-2.675	-1.589	0.368	0.597	1.917
GSE6259_DEC205_POS_DC_VS_BCELL_UP GSE6259_DEC205_POS_DC_VS_BCELL_UP	3.039	-1.066	-1.337	-1.066	-0.267	2.393	-0.267	-2.036	-0.838	-0.649	2.087
GSE19888_CTRL_VS_A3R_ACTIVATION_MAST_CELL_DN GSE19888_CTRL_VS_A3R_ACTIVATION_MAST_CELL_DN	3.999	-0.887	-3.174	-1.333	0.271	0.722	1.662	0.271	-1.333	0.464	-0.337
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	3.283	-0.301	-1.592	-3.251	0.399	0.648	0.970	-0.672	-1.923	0.648	0.794
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	4.010	0.282	-0.321	-1.062	-2.731	0.695	0.396	-1.367	-1.367	0.534	1.086
GSE21033_3H_VS_12H_POLYIC_STIM_DC_DN GSE21033_3H_VS_12H_POLYIC_STIM_DC_DN	2.226	0.613	-2.143	-0.360	-1.730	1.406	-0.651	0.349	-1.730	1.658	-0.363
GSE15659_TREG_VS_TCONV_DN GSE15659_TREG_VS_TCONV_DN	2.844	0.278	0.915	-0.713	-0.713	-1.365	-1.113	-0.326	-1.657	-0.326	2.531
GSE30083_SP1_VS_SP2_THYMOCYTE_DN GSE30083_SP1_VS_SP2_THYMOCYTE_DN	2.094	-0.350	-0.350	0.342	-2.339	-0.457	-1.372	-1.652	0.443	0.844	2.346
