GO	[-31.63 -1.02]	[-1.02 -0.52]	[-0.52 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.35]	[0.35 0.97]	[0.97 23.45]
GSE29618_MONOCYTE_VS_MDC_UP GSE29618_MONOCYTE_VS_MDC_UP	-1.127	-1.649	-0.351	-2.335	-8.302	-8.302	-8.302	-5.955	5.788	12.193	15.192
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	-3.139	-0.697	0.735	-0.550	-8.177	-8.177	-8.177	-8.177	13.060	9.733	5.158
GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP	-2.260	-0.871	3.033	-0.550	-6.859	-8.177	-8.177	-6.859	11.345	5.962	4.396
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.341	-1.649	2.085	-0.585	-8.302	-8.302	-6.977	-5.109	6.207	12.193	2.092
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	-0.585	-0.917	3.230	1.390	-8.302	-8.302	-8.302	-5.109	6.207	4.609	2.929
GSE26290_CTRL_VS_AKT_INHIBITOR_TREATED_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN GSE26290_CTRL_VS_AKT_INHIBITOR_TREATED_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN	-3.139	0.596	2.732	-0.871	-8.177	-5.843	-8.177	-2.670	8.716	4.759	3.690
GSE17721_12H_VS_24H_LPS_BMDC_UP GSE17721_12H_VS_24H_LPS_BMDC_UP	-0.264	-1.127	3.891	-1.649	-5.955	-6.977	-8.302	-3.768	11.631	3.553	2.635
GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN	-0.585	0.692	4.243	-0.737	-8.302	-6.977	-8.302	-5.109	6.639	4.609	2.356
MEK_UP.V1_UP MEK_UP.V1_UP	0.293	0.293	-0.309	-1.275	-6.780	-4.224	-4.933	-5.768	5.661	5.661	7.432
CAMP_UP.V1_DN CAMP_UP.V1_DN	0.350	0.452	2.115	-0.447	-5.917	-6.938	-8.260	-3.737	3.936	4.658	3.945
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP	1.211	0.706	5.845	-2.310	-8.260	-5.074	-4.357	-3.737	2.381	3.269	2.122
GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP	0.558	0.558	1.838	-0.457	-6.977	-6.977	-3.226	-4.390	3.553	5.382	2.092
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	1.268	-0.571	1.710	-0.912	-6.464	-3.960	-5.470	-2.404	1.268	8.479	2.507
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.841	0.442	1.390	0.442	-5.109	-5.955	-5.109	-5.109	3.230	4.609	2.356
MIR4649_3P MIR4649_3P	-0.271	0.825	1.368	0.333	-7.017	-5.145	-5.145	-3.255	4.197	2.317	4.207
GSE360_L_DONOVANI_VS_L_MAJOR_DC_DN GSE360_L_DONOVANI_VS_L_MAJOR_DC_DN	0.484	-1.294	4.072	-0.538	-4.968	-3.643	-6.819	-2.235	4.810	3.071	2.213
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP	-0.561	-2.697	1.045	0.359	-3.706	-3.706	-3.706	-3.168	3.309	8.641	3.318
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_20H_DN GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_20H_DN	-0.457	-0.917	2.627	0.341	-6.977	-3.768	-2.335	-4.390	4.988	4.243	2.092
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.858	0.350	0.858	-0.447	-3.737	-5.917	-3.197	-5.917	5.845	3.595	2.122
HEN1_01 HEN1_01	1.008	0.692	3.230	-1.649	-3.768	-4.390	-3.768	-5.109	2.349	3.891	2.092
GSE2585_CTEC_VS_THYMIC_MACROPHAGE_UP GSE2585_CTEC_VS_THYMIC_MACROPHAGE_UP	1.838	0.442	2.349	-0.351	-5.955	-6.977	-4.390	-1.649	1.838	2.627	2.092
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	1.838	0.442	0.442	-0.917	-2.751	-5.955	-4.390	-2.751	0.558	4.243	6.653
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN	0.267	-0.789	3.894	-1.956	-4.257	-3.519	-3.519	-2.392	2.497	2.194	5.579
GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_UP GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_UP	0.473	0.735	3.033	-0.325	-3.675	-5.003	-3.139	-5.003	3.349	1.459	2.453
MYC_UP.V1_DN MYC_UP.V1_DN	1.189	-0.301	-0.405	-2.434	-2.434	-2.020	-2.914	-4.915	5.326	2.744	4.134
