GO	[-33.74 -1.14]	[-1.14 -0.62]	[-0.62 -0.38]	[-0.38 -0.11]	[-0.11 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.44]	[0.44 0.90]	[0.90 1.96]	[1.96 26.18]
VERHAAK_AML_WITH_NPM1_MUTATED_UP VERHAAK_AML_WITH_NPM1_MUTATED_UP	-1.114	-3.937	-1.658	-0.898	-1.366	-3.344	-2.384	0.606	0.277	6.224	13.069
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	0.593	-2.410	-1.132	-1.132	-4.663	-1.680	-0.335	-1.386	0.360	2.226	14.193
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	-1.871	-1.167	-1.486	-1.167	-0.903	-0.687	-1.871	-1.167	1.698	0.782	14.466
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	1.086	-3.904	-1.164	-1.164	-1.507	-1.164	-0.661	-0.482	1.086	1.086	7.671
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	0.435	-1.363	0.289	-1.868	-0.313	-0.313	-0.473	-1.363	-0.981	-0.691	11.348
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	-1.567	-0.651	-1.190	0.741	-1.567	-3.409	-1.190	1.191	2.789	1.458	2.079
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	0.386	-3.622	-1.044	-3.622	0.293	2.244	0.622	-0.843	0.386	1.104	2.530
ZHAN_MULTIPLE_MYELOMA_CD2_UP ZHAN_MULTIPLE_MYELOMA_CD2_UP	-0.256	-0.256	-1.225	-1.989	-0.755	-1.989	-0.256	-0.755	3.014	1.565	2.005
WP_DIFFERENTIATION_PATHWAY WP_DIFFERENTIATION_PATHWAY	0.571	-1.989	-0.451	-1.225	-0.451	3.014	-0.451	-0.451	0.351	-1.989	3.020
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	-2.540	-1.104	-0.678	-1.707	-0.518	0.707	0.319	1.759	-1.381	1.759	3.305
BASSO_HAIRY_CELL_LEUKEMIA_UP BASSO_HAIRY_CELL_LEUKEMIA_UP	-0.842	-0.383	-0.842	-0.577	-0.842	-3.277	-0.577	-0.244	2.753	1.596	2.341
GAL_LEUKEMIC_STEM_CELL_UP GAL_LEUKEMIC_STEM_CELL_UP	0.407	-0.795	0.713	0.407	-0.436	-4.211	-1.713	0.407	1.615	-0.795	3.269
HOELZEL_NF1_TARGETS_UP HOELZEL_NF1_TARGETS_UP	1.074	-1.607	-0.767	-0.430	-2.006	-0.767	-1.607	-0.311	0.872	1.298	4.279
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	0.581	0.581	-1.301	-1.301	-1.301	-0.586	-0.374	-1.890	1.776	0.581	3.086
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD	-0.828	-0.828	-0.351	-0.828	0.566	0.566	-0.351	-0.828	-0.828	0.991	3.675
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP	-0.204	-0.994	-0.462	-0.994	-0.204	-0.462	-0.994	-0.994	1.214	1.214	3.052
SERVITJA_LIVER_HNF1A_TARGETS_DN SERVITJA_LIVER_HNF1A_TARGETS_DN	0.480	-1.852	-0.337	-1.511	-1.221	2.708	-0.337	-1.852	0.616	0.616	2.410
REACTOME_METALLOTHIONEINS_BIND_METALS REACTOME_METALLOTHIONEINS_BIND_METALS	-0.455	-0.455	-0.455	-0.455	-0.455	0.578	-0.455	0.187	-0.455	0.187	4.923
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP	-0.828	-0.828	-0.828	-0.828	-0.828	0.991	0.256	-0.351	0.991	0.566	2.152
FIGUEROA_AML_METHYLATION_CLUSTER_2_DN FIGUEROA_AML_METHYLATION_CLUSTER_2_DN	-0.373	0.240	-0.373	-0.373	-0.373	-0.373	0.240	-0.373	-0.373	0.240	4.436
