GO	[-10.73 -1.09]	[-1.09 -0.61]	[-0.61 -0.37]	[-0.37 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.17]	[0.17 0.47]	[0.47 0.92]	[0.92 2.09]	[2.09 10.35]
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	0.256	4.310	3.886	2.737	0.647	-1.828	-0.352	-0.487	-2.846	-4.390	-5.587
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-1.510	1.826	3.898	7.260	0.363	-2.038	-0.377	-0.793	-2.038	-3.746	-2.762
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.843	-3.381	-1.843	-0.542	4.651	10.377	-0.292	-0.402	-0.542	-0.542	-2.295
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	0.787	2.175	4.223	4.223	0.301	-1.987	-0.851	-0.851	-3.347	-3.347	-2.601
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	-0.888	2.932	2.566	3.321	0.263	-3.924	1.094	-0.343	-1.168	-1.937	-5.079
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	-0.810	-1.295	-0.810	-2.076	4.013	6.798	0.784	-0.285	-2.076	-1.295	-1.305
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	4.373	1.263	1.553	-0.324	-1.281	-4.040	0.413	1.263	-0.476	-1.715	-4.064
WP_PEPTIDE_GPCRS WP_PEPTIDE_GPCRS	0.277	-3.119	-0.754	-3.119	1.125	3.506	-0.327	-1.552	-0.506	0.622	2.139
WP_COMPLEMENT_AND_COAGULATION_CASCADES WP_COMPLEMENT_AND_COAGULATION_CASCADES	0.542	-2.451	-2.451	-1.065	-0.692	0.787	-0.692	-0.692	0.347	3.739	2.205
WP_LUNG_FIBROSIS WP_LUNG_FIBROSIS	0.288	-1.183	-0.787	-2.618	-1.183	0.678	0.460	-1.183	0.460	0.288	6.411
WP_TRANSLATION_FACTORS WP_TRANSLATION_FACTORS	0.693	2.149	0.983	2.629	-0.556	-2.201	0.693	-0.893	-1.399	-1.399	-1.410
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY	-0.341	0.507	-0.474	0.507	-1.801	-2.259	0.374	3.942	2.114	-0.341	-2.839
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	1.375	2.820	0.431	2.287	-1.091	-0.650	-1.091	-1.091	-0.650	-0.373	-1.837
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY	-1.535	-1.535	-1.535	-0.477	0.942	3.517	0.942	0.359	0.359	-0.250	-0.868
WP_VITAMIN_D_RECEPTOR_PATHWAY WP_VITAMIN_D_RECEPTOR_PATHWAY	0.285	-1.649	-0.549	-4.633	0.624	1.792	-0.549	-0.703	0.773	0.773	2.018
WP_MONOAMINE_GPCRS WP_MONOAMINE_GPCRS	0.453	-0.733	-0.385	-1.368	0.755	3.318	-1.368	-1.368	0.231	0.231	0.748
WP_PROTEASOME_DEGRADATION WP_PROTEASOME_DEGRADATION	0.441	2.363	0.441	1.211	-0.811	-0.811	1.554	0.275	-1.787	-1.787	-1.225
WP_7OXOC_AND_7BETAHC_PATHWAYS WP_7OXOC_AND_7BETAHC_PATHWAYS	0.608	-1.161	1.435	-0.580	-0.279	-1.161	3.246	-1.161	-0.279	-0.279	-0.282
WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS	0.454	-0.625	-0.354	-1.058	1.043	3.503	0.254	-1.058	-1.784	0.717	-0.631
WP_FATTY_ACID_BETA_OXIDATION WP_FATTY_ACID_BETA_OXIDATION	0.428	0.216	1.082	1.082	-0.407	-0.765	-1.410	-1.410	1.082	1.082	-1.418
WP_MONOAMINE_TRANSPORT WP_MONOAMINE_TRANSPORT	-1.327	-0.702	-0.702	-1.327	0.480	0.480	0.247	0.247	-0.702	2.184	1.639
WP_GLYCOGEN_SYNTHESIS_AND_DEGRADATION WP_GLYCOGEN_SYNTHESIS_AND_DEGRADATION	-0.959	-0.300	-0.549	0.302	-0.300	-1.659	0.302	3.831	0.528	0.528	-0.966
WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY	2.601	1.359	0.875	-0.406	-0.406	-0.911	-0.911	0.217	-0.406	-0.911	-0.409
WP_CANONICAL_NFKB_PATHWAY WP_CANONICAL_NFKB_PATHWAY	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	3.567	0.796	-0.331	-0.331	-0.333
