GO	[-33.74 -1.11]	[-1.11 -0.62]	[-0.62 -0.37]	[-0.37 -0.11]	[-0.11 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.39]	[0.39 0.85]	[0.85 1.91]	[1.91 26.18]
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	5.791	16.835	1.142	5.350	-1.511	-6.861	-3.260	-2.715	-4.669	-4.669	-6.879
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	-1.152	-4.949	-2.228	-6.151	4.235	9.149	8.039	-4.049	-3.326	0.434	-0.909
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-0.888	1.664	3.661	16.163	-0.711	-8.242	-1.334	0.877	-3.178	-2.705	-4.354
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-2.695	-3.693	-1.476	-1.476	3.022	9.302	7.303	-1.476	-1.077	-1.998	-3.702
GOBP_CELLULAR_RESPIRATION GOBP_CELLULAR_RESPIRATION	1.077	3.799	3.125	4.924	0.469	-6.482	-0.913	-0.441	-2.020	-2.860	-4.682
GOBP_SPINDLE_ORGANIZATION GOBP_SPINDLE_ORGANIZATION	-1.571	0.410	0.410	2.397	-0.659	-7.572	-1.901	7.431	2.119	-0.293	-3.823
GOBP_CORNIFICATION GOBP_CORNIFICATION	-2.194	-3.599	-2.808	-1.703	1.878	7.274	2.925	-0.737	-1.703	-1.703	2.191
GOBP_MRNA_3_END_PROCESSING GOBP_MRNA_3_END_PROCESSING	0.947	0.385	1.474	7.476	0.729	-4.109	-0.983	0.947	-2.331	-3.069	-4.119
GOBP_REGULATION_OF_MACROAUTOPHAGY GOBP_REGULATION_OF_MACROAUTOPHAGY	-1.381	-0.872	-0.388	4.440	0.319	-6.611	-1.104	5.727	0.429	0.319	-1.389
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	0.373	2.645	2.348	3.290	0.277	-6.008	-1.737	0.770	0.277	-1.737	-3.595
GOBP_PROTEIN_METHYLATION GOBP_PROTEIN_METHYLATION	0.707	1.485	0.873	3.556	-0.276	-4.039	-1.045	2.562	-0.497	-2.833	-3.401
GOBP_ERAD_PATHWAY GOBP_ERAD_PATHWAY	-1.380	-1.380	0.898	6.111	-0.751	-3.144	0.508	1.705	0.898	-1.028	-2.407
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT	1.741	4.199	0.756	1.040	-1.092	-2.487	-1.092	0.756	-0.714	-2.487	-1.646
GOBP_CRISTAE_FORMATION GOBP_CRISTAE_FORMATION	0.403	5.221	0.681	2.480	-0.796	-1.450	-1.450	-0.796	-1.450	-0.430	-1.454
