GO	[-33.74 -1.19]	[-1.19 -0.66]	[-0.66 -0.41]	[-0.41 -0.13]	[-0.13 0.00]	[0.00 0.02]	[0.02 0.28]	[0.28 0.60]	[0.60 1.07]	[1.07 2.24]	[2.24 10.35]
RPS14_DN.V1_UP RPS14_DN.V1_UP	0.334	-0.965	-1.754	-2.501	-1.452	-4.791	-0.361	0.557	3.025	2.148	4.780
MEK_UP.V1_UP MEK_UP.V1_UP	-1.283	-1.868	0.625	-2.636	-2.636	-1.868	0.387	0.293	1.307	5.743	2.528
PTEN_DN.V1_DN PTEN_DN.V1_DN	2.098	-1.064	-0.675	-1.932	-0.301	2.669	-5.357	0.516	-1.064	0.301	2.966
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	0.875	-4.651	0.538	-3.069	-0.310	1.823	-0.581	-1.277	-0.310	1.304	2.418
KRAS.AMP.LUNG_UP.V1_UP KRAS.AMP.LUNG_UP.V1_UP	1.553	-0.430	-0.998	-2.013	-0.768	3.885	-1.612	-0.768	-1.277	-0.310	3.477
ESC_J1_UP_LATE.V1_UP ESC_J1_UP_LATE.V1_UP	0.293	-1.621	-1.956	-1.082	-0.309	0.955	-1.331	-1.331	0.504	4.334	2.329
KRAS.PROSTATE_UP.V1_UP KRAS.PROSTATE_UP.V1_UP	-1.539	-2.970	-0.395	-0.720	-0.395	0.748	-1.931	0.582	0.748	1.385	3.632
RELA_DN.V1_DN RELA_DN.V1_DN	0.301	-1.985	0.301	-0.979	0.301	1.856	-1.587	-1.587	-0.418	0.415	4.774
IL21_UP.V1_UP IL21_UP.V1_UP	0.516	-1.599	0.516	-2.316	1.369	0.650	-0.525	-2.758	-0.402	0.400	3.635
VEGF_A_UP.V1_UP VEGF_A_UP.V1_UP	-0.661	-1.845	-1.534	-1.264	-1.031	1.130	0.397	0.397	-0.831	2.874	3.172
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	0.351	-1.466	-0.499	-1.466	-0.362	2.344	-1.466	-1.850	0.478	1.002	3.022
WNT_UP.V1_DN WNT_UP.V1_DN	-0.847	-1.629	-0.847	-0.510	-1.325	0.549	-0.663	0.318	2.242	0.857	2.231
