GO	[-33.74 -1.19]	[-1.19 -0.66]	[-0.66 -0.41]	[-0.41 -0.13]	[-0.13 0.00]	[0.00 0.02]	[0.02 0.28]	[0.28 0.60]	[0.60 1.07]	[1.07 2.24]	[2.24 10.35]
MYC_UP.V1_UP MYC_UP.V1_UP	15.240	2.819	-0.269	-1.234	-0.995	-0.995	-0.363	-1.837	-2.212	-0.480	-3.737
RPS14_DN.V1_UP RPS14_DN.V1_UP	0.334	-0.965	-1.754	-2.501	-1.452	-4.791	-0.361	0.557	3.025	2.148	4.780
MEK_UP.V1_UP MEK_UP.V1_UP	-1.283	-1.868	0.625	-2.636	-2.636	-1.868	0.387	0.293	1.307	5.743	2.528
PTEN_DN.V1_DN PTEN_DN.V1_DN	2.098	-1.064	-0.675	-1.932	-0.301	2.669	-5.357	0.516	-1.064	0.301	2.966
KRAS.BREAST_UP.V1_UP KRAS.BREAST_UP.V1_UP	-0.418	-0.979	-0.301	-4.612	1.331	4.791	-1.985	-0.567	-0.752	0.552	1.574
CSR_EARLY_UP.V1_UP CSR_EARLY_UP.V1_UP	0.275	3.987	1.437	1.688	-0.595	-5.160	-0.595	-0.447	-0.595	-2.377	0.497
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	0.875	-4.651	0.538	-3.069	-0.310	1.823	-0.581	-1.277	-0.310	1.304	2.418
JAK2_DN.V1_UP JAK2_DN.V1_UP	0.410	-1.047	-1.047	-3.237	1.393	5.235	-1.908	-0.661	0.410	-0.661	1.611
KRAS.AMP.LUNG_UP.V1_UP KRAS.AMP.LUNG_UP.V1_UP	1.553	-0.430	-0.998	-2.013	-0.768	3.885	-1.612	-0.768	-1.277	-0.310	3.477
E2F1_UP.V1_UP E2F1_UP.V1_UP	0.582	1.256	2.211	0.458	1.061	-2.448	1.061	0.352	-0.452	-4.720	-2.063
KRAS.LUNG_UP.V1_DN KRAS.LUNG_UP.V1_DN	0.381	-2.553	-0.330	-1.321	0.510	4.606	-2.068	-2.068	0.662	0.510	1.487
ESC_J1_UP_LATE.V1_UP ESC_J1_UP_LATE.V1_UP	0.293	-1.621	-1.956	-1.082	-0.309	0.955	-1.331	-1.331	0.504	4.334	2.329
CAMP_UP.V1_UP CAMP_UP.V1_UP	0.695	0.443	0.695	3.600	-0.587	-5.148	0.847	0.695	-0.587	-1.378	-0.928
KRAS.PROSTATE_UP.V1_UP KRAS.PROSTATE_UP.V1_UP	-1.539	-2.970	-0.395	-0.720	-0.395	0.748	-1.931	0.582	0.748	1.385	3.632
RB_P107_DN.V1_DN RB_P107_DN.V1_DN	1.417	2.298	1.417	0.752	-1.665	-1.665	0.433	0.580	-3.307	-0.762	-0.766
BRCA1_DN.V1_UP BRCA1_DN.V1_UP	0.264	-1.106	0.373	-2.806	0.264	5.732	-0.850	-0.850	-0.641	0.264	1.270
RELA_DN.V1_DN RELA_DN.V1_DN	0.301	-1.985	0.301	-0.979	0.301	1.856	-1.587	-1.587	-0.418	0.415	4.774
IL21_UP.V1_UP IL21_UP.V1_UP	0.516	-1.599	0.516	-2.316	1.369	0.650	-0.525	-2.758	-0.402	0.400	3.635
VEGF_A_UP.V1_UP VEGF_A_UP.V1_UP	-0.661	-1.845	-1.534	-1.264	-1.031	1.130	0.397	0.397	-0.831	2.874	3.172
JNK_DN.V1_UP JNK_DN.V1_UP	-0.318	-2.815	-1.351	0.770	-0.885	3.562	-1.643	0.285	-0.422	0.936	1.534
DCA_UP.V1_UP DCA_UP.V1_UP	-0.411	-3.298	-0.309	-1.621	-0.309	4.721	-0.688	1.141	0.504	0.504	-0.541
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	0.351	-1.466	-0.499	-1.466	-0.362	2.344	-1.466	-1.850	0.478	1.002	3.022
PDGF_UP.V1_UP PDGF_UP.V1_UP	-0.258	-0.360	0.349	2.890	-0.490	-4.847	0.780	-0.258	0.471	0.471	-0.858
MTOR_UP.N4.V1_UP MTOR_UP.N4.V1_UP	2.507	0.914	0.611	0.611	-0.540	-2.251	1.091	-0.317	-1.302	0.285	-2.261
EGFR_UP.V1_DN EGFR_UP.V1_DN	0.293	-0.846	-1.868	-1.283	0.931	-1.555	0.625	0.931	2.837	0.769	-0.679
WNT_UP.V1_DN WNT_UP.V1_DN	-0.847	-1.629	-0.847	-0.510	-1.325	0.549	-0.663	0.318	2.242	0.857	2.231
