Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,N/A,All Events,N/A,N/A,79103,100,791.030,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R4,FSC-A,SSC-A,69116,100,691.160,87.375,87.375,286384,331539,274838,312531,244729,273406,71423.91,120716.87,24.94,36.41,54111.19,105495.14,19.69,33.76
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R5,SSC-A,SSC-H,60812,100,608.120,76.877,87.985,317160,244106,305747,238217,291854,211966,93949.40,62623.12,29.62,25.65,92637.29,61897.07,30.30,25.98
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R4,SSC-A,SSC-H,69116,100,691.160,87.375,87.375,331539,245555,312531,239559,273406,211966,120716.87,71555.02,36.41,29.14,105495.14,66302.61,33.76,27.68
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R1,VL1-H,,660,100,6.600,0.834,1.085,12455,N/A,12697,N/A,16982,N/A,3626.44,N/A,29.12,N/A,4702.81,N/A,37.04,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R2,VL1-H,,35780,100,357.800,45.232,58.837,19023,N/A,18927,N/A,18688,N/A,1408.36,N/A,7.40,N/A,739.82,N/A,3.91,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R6,VL1-H,,49551,100,495.510,62.641,81.482,21133,N/A,19335,N/A,18688,N/A,3874.96,N/A,18.34,N/A,1470.74,N/A,7.61,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R7,VL1-H,,60483,100,604.830,76.461,99.459,23513,N/A,20027,N/A,18688,N/A,6248.64,N/A,26.58,N/A,2707.23,N/A,13.52,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R5,VL1-H,,60812,100,608.120,76.877,76.877,23395,N/A,19986,N/A,18688,N/A,6433.11,N/A,27.50,N/A,2682.02,N/A,13.42,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample.fcs,1a 100 ul min,Experiment,None,N/A,All Events,N/A,N/A,103501,100,1035.010,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
