line	dec_dose	0	0.01	0.04	0.16	0.63	2.5	10
HL-60	0.167	0.691	0.710	0.721	0.758	0.799	0.836	0.877
HL-60	0.056	0.479	0.545	0.587	0.640	0.705	0.781	0.841
HL-60	0.019	0.284	0.389	0.464	0.487	0.584	0.730	0.810
HL-60	0.006	0.163	0.254	0.279	0.318	0.455	0.599	0.737
HL-60	0.002	0.102	0.213	0.173	0.241	0.405	0.573	0.712
HL-60	0	0.000	0.072	0.081	0.112	0.220	0.509	0.682
KG-1	0.167	0.890	0.896	0.899	0.926	0.927	0.942	0.931
KG-1	0.056	0.781	0.810	0.806	0.848	0.874	0.908	0.918
KG-1	0.019	0.605	0.657	0.667	0.744	0.827	0.879	0.906
KG-1	0.006	0.324	0.368	0.421	0.538	0.749	0.830	0.878
KG-1	0.002	0.132	0.163	0.234	0.406	0.661	0.796	0.866
KG-1	0	0.000	-0.009	0.013	0.109	0.487	0.714	0.826
OCI-AML2	0.167	0.955	0.967	0.976	0.989	0.997	0.999	1.000
OCI-AML2	0.056	0.845	0.884	0.912	0.955	0.987	0.998	1.000
OCI-AML2	0.019	0.606	0.711	0.759	0.833	0.960	0.995	1.000
OCI-AML2	0.006	0.432	0.550	0.615	0.683	0.861	0.990	1.000
OCI-AML2	0.002	0.293	0.453	0.498	0.583	0.807	0.983	1.000
OCI-AML2	0	0.000	0.267	0.295	0.329	0.662	0.974	1.000
OCI-AML3	0.167	0.642	0.692	0.741	0.799	0.904	0.946	0.975
OCI-AML3	0.056	0.516	0.542	0.590	0.661	0.808	0.898	0.969
OCI-AML3	0.019	0.364	0.493	0.498	0.581	0.743	0.851	0.962
OCI-AML3	0.006	0.233	0.327	0.387	0.503	0.666	0.835	0.955
OCI-AML3	0.002	0.124	0.233	0.277	0.436	0.638	0.813	0.958
OCI-AML3	0	0.000	0.063	0.172	0.296	0.566	0.796	0.962
MOLM-14	0.167	0.986	0.990	0.995	0.995	0.997	0.999	1.000
MOLM-14	0.056	0.931	0.957	0.975	0.984	0.995	0.999	1.000
MOLM-14	0.019	0.759	0.869	0.925	0.959	0.989	0.999	1.000
MOLM-14	0.006	0.492	0.715	0.808	0.904	0.979	0.998	1.000
MOLM-14	0.002	0.367	0.622	0.764	0.842	0.968	0.997	1.000
MOLM-14	0	0.000	0.326	0.587	0.793	0.968	0.998	1.000
THP-1	0.167	0.668	0.681	0.682	0.684	0.649	0.721	0.998
THP-1	0.056	0.414	0.428	0.415	0.432	0.450	0.605	0.997
THP-1	0.019	0.302	0.310	0.319	0.318	0.408	0.533	0.997
THP-1	0.006	0.265	0.280	0.234	0.268	0.279	0.462	0.996
THP-1	0.002	0.135	0.180	0.158	0.196	0.233	0.436	0.996
THP-1	0	0.000	-0.053	-0.033	0.031	0.111	0.354	0.999
Kasumi-1	0.167	0.901	0.892	0.898	0.920	0.950	0.975	0.991
Kasumi-1	0.056	0.821	0.796	0.812	0.845	0.906	0.958	0.989
Kasumi-1	0.019	0.675	0.673	0.703	0.697	0.818	0.932	0.984
Kasumi-1	0.006	0.457	0.409	0.450	0.529	0.712	0.870	0.989
Kasumi-1	0.002	0.187	0.210	0.295	0.332	0.653	0.847	0.983
Kasumi-1	0	0.000	-0.162	-0.062	0.099	0.463	0.864	0.982
