GO	[-0.69 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.03]	[-0.03 -0.01]	[-0.01 0.00]	[0.00 0.02]	[0.02 0.03]	[0.03 0.05]	[0.05 0.09]	[0.09 0.97]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.102	-3.825	-0.834	-0.589	-1.566	-1.153	-0.589	0.891	-0.404	0.891	13.415
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	1.597	0.500	-0.275	-1.426	-0.987	-0.438	-1.426	-0.987	-0.275	-1.426	6.787
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	-0.958	-1.659	-0.549	-0.549	-0.958	0.302	-0.300	-0.549	0.302	0.528	6.818
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	4.662	-0.397	0.726	-1.227	-0.397	-2.367	-1.227	-0.397	1.247	-0.866	0.517
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	2.818	0.908	1.551	-1.212	-1.212	0.275	-0.811	0.275	0.908	-1.785	-1.791
REACTOME_S_PHASE REACTOME_S_PHASE	4.206	0.555	0.555	-0.541	-0.541	-0.923	-2.264	-1.176	0.555	-1.479	1.540
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	1.250	-0.793	-0.996	-0.622	-0.480	-2.213	0.335	-0.269	-0.793	0.335	5.823
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	1.909	0.726	0.726	-0.255	-1.227	0.968	-1.710	0.726	0.726	-1.710	-2.373
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1 REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	2.951	2.072	0.540	-0.405	-0.627	-0.405	-1.965	-0.251	0.540	-1.965	-0.940
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.339	1.521	-0.614	0.703	0.339	-3.366	-0.266	2.646	-1.254	-0.412	-0.618
