GO	[-1.00 -0.91]	[-0.91 -0.76]	[-0.76 -0.58]	[-0.58 -0.38]	[-0.38 -0.16]	[-0.16 0.07]	[0.07 0.32]	[0.32 0.55]	[0.55 0.74]	[0.74 0.90]	[0.90 1.00]
GNF2_TDG GNF2_TDG	4.031	-0.385	-0.385	-0.385	-1.370	-0.734	0.756	-1.370	-0.385	-1.370	2.080
GNF2_H2AFX GNF2_H2AFX	3.064	0.427	-0.995	-0.995	-0.204	-0.995	-0.204	-0.204	-0.995	-0.462	1.733
GNF2_DENR GNF2_DENR	-0.241	-1.194	0.600	-1.194	-0.241	-1.194	0.600	-1.194	0.600	-0.431	4.316
GNF2_DEK GNF2_DEK	3.004	0.246	-0.365	-0.365	-0.601	-0.951	0.246	-0.951	-0.601	-1.471	2.965
MORF_MAP2K7 MORF_MAP2K7	-2.423	-0.284	-1.076	0.867	1.261	1.054	-2.006	1.261	0.700	0.700	-1.373
MORF_IL4 MORF_IL4	-3.186	-0.363	-0.799	0.716	1.268	1.268	-1.530	0.716	1.065	0.716	-1.281
GCM_PFN1 GCM_PFN1	2.507	1.187	-0.451	-0.451	0.352	-1.229	0.852	-0.255	-1.229	-1.996	0.344
MORF_ETV3 MORF_ETV3	-0.764	-0.489	-1.156	0.977	0.705	0.977	-1.156	3.504	-0.489	-0.489	-1.174
MORF_CTBP1 MORF_CTBP1	1.709	-0.932	0.397	1.459	-0.309	-0.728	-1.176	0.397	-0.932	-2.202	2.215
GNF2_CKS2 GNF2_CKS2	0.787	0.285	0.285	-1.703	-0.318	-1.703	0.285	0.787	-0.993	-0.318	2.503
