Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
hl60_120h_t_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	480458	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36844278	17797516	0	0	330259	38616710	48.304694693705216	quant	Sat Aug 15 12:26:12 2020	Sat Aug 15 12:27:28 2020
hl60_120h_t_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	491545	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31265557	17910574	0	0	293154	40115317	57.285318793456966	quant	Sat Aug 15 12:27:29 2020	Sat Aug 15 12:28:54 2020
hl60_120h_u_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	449750	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36906938	17526008	0	0	433571	33080063	47.48702804876416	quant	Sat Aug 15 12:23:48 2020	Sat Aug 15 12:24:50 2020
hl60_120h_u_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	439973	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	41969804	18123910	0	0	463976	35895292	43.18321334071515	quant	Sat Aug 15 12:24:51 2020	Sat Aug 15 12:26:10 2020
hl60_6h_t_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	438779	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18809321	15055426	0	0	194456	38031650	80.04236835556159	quant	Sat Aug 15 12:31:03 2020	Sat Aug 15 12:32:09 2020
hl60_6h_t_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	589615	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	39343503	31513009	0	0	424079	74279324	80.09711031577437	quant	Sat Aug 15 12:32:11 2020	Sat Aug 15 12:34:14 2020
hl60_6h_u_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	405991	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18076091	13905703	0	0	163026	29058707	76.9287065439093	quant	Sat Aug 15 12:28:55 2020	Sat Aug 15 12:29:53 2020
hl60_6h_u_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	479486	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24634982	19081413	0	0	219855	43322155	77.45657374541616	quant	Sat Aug 15 12:29:55 2020	Sat Aug 15 12:31:02 2020
hl60_72h_t_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	484817	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	34916821	18930428	0	0	334863	41096463	54.21578327534456	quant	Sat Aug 15 12:38:10 2020	Sat Aug 15 12:39:28 2020
hl60_72h_t_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	442926	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	32774770	19876788	0	0	409723	47472434	60.6466132332889	quant	Sat Aug 15 12:39:30 2020	Sat Aug 15 12:40:48 2020
