GO	[-8.51 -0.57]	[-0.57 -0.44]	[-0.44 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.07]	[0.07 0.16]	[0.16 0.33]	[0.33 0.85]	[0.85 8.56]
MIR6715B_3P MIR6715B_3P	-0.331	-2.218	0.273	2.457	3.553	-3.441	-0.331	1.069	-0.830	-1.766	0.516
MIR371A_5P MIR371A_5P	-0.595	-3.073	0.738	2.282	1.750	-0.761	1.750	-1.192	0.591	0.353	-3.659
MIR7161_5P MIR7161_5P	-0.370	-2.518	0.831	6.374	0.426	-2.119	0.831	-0.370	-0.785	-0.278	-1.211
MIR4255 MIR4255	-2.026	-1.099	3.083	2.760	0.403	-2.441	-0.877	1.194	0.662	-0.689	-0.882
MIR132_3P MIR132_3P	-1.770	-1.467	0.326	2.379	3.974	-2.976	-0.278	0.426	0.326	-0.370	-0.488
MIR1244 MIR1244	0.559	-0.695	-0.695	2.531	-0.336	-1.303	0.750	1.822	-4.068	0.398	-0.493
MIR5100 MIR5100	-2.197	-1.226	-0.301	3.535	0.817	-0.301	1.320	-0.301	0.301	-2.920	0.299
MIR4753_5P MIR4753_5P	-1.508	-0.992	0.565	3.125	2.805	-3.134	-0.363	-0.363	-0.363	0.565	-0.796
MIR3663_5P MIR3663_5P	1.366	-2.155	-0.316	-1.362	1.763	-2.155	1.366	0.287	0.721	-0.316	-0.536
MIR212_3P MIR212_3P	-1.407	-1.407	0.263	2.201	3.757	-2.890	0.263	0.458	0.352	-0.343	-0.588
MIR4649_3P MIR4649_3P	-0.752	-0.597	1.375	1.590	0.548	-4.440	0.333	-1.393	2.068	0.333	-0.471
MIR148A_5P MIR148A_5P	-1.383	-1.383	3.567	1.768	0.776	-2.288	0.594	-0.417	0.312	-0.792	-0.585
MIR4436B_5P MIR4436B_5P	-1.015	-1.632	2.072	2.380	1.785	-1.015	-0.320	-0.320	-0.320	0.283	-2.525
MIR199B_5P MIR199B_5P	-0.277	-2.663	0.851	1.917	1.436	-3.164	1.028	0.552	0.326	-0.805	-0.811
MIR5703 MIR5703	2.134	-3.518	0.647	1.172	0.392	-2.469	0.293	-0.545	0.392	-0.893	1.165
MIR548AV_3P MIR548AV_3P	-1.192	-2.153	1.290	0.904	3.207	-2.580	0.463	0.463	-0.457	-0.761	0.459
MIR199A_5P MIR199A_5P	-0.285	-2.692	0.834	1.887	1.412	-3.195	1.008	0.540	0.318	-0.647	-0.826
MIR634 MIR634	0.596	-0.710	-1.005	1.646	3.208	-1.392	0.808	-1.901	-1.392	0.278	0.276
MIR548AY_3P MIR548AY_3P	-1.006	-2.363	0.380	0.846	3.344	-0.399	1.152	0.380	-1.006	-0.399	-1.009
MIR154_3P MIR154_3P	-1.028	-1.828	0.508	0.898	3.603	-2.399	-1.028	-0.372	0.508	0.508	0.505
