GO	[-15.83 -0.95]	[-0.95 -0.46]	[-0.46 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.58]	[0.58 0.66]	[0.66 1.73]	[1.73 26.66]
chrYp11 chrYp11	-0.754	-2.221	-4.726	1.836	3.669	10.883	1.031	-2.221	-1.331	-2.838	-2.843
chr7q34 chr7q34	-0.594	-2.146	-2.571	2.271	3.884	3.529	0.262	-2.571	0.262	-0.956	-0.762
MT MT	0.359	0.614	0.359	-0.860	-1.532	-1.532	-0.476	0.359	-0.860	5.683	-0.477
chrXp21 chrXp21	0.357	-1.960	-1.361	0.539	-0.625	0.763	0.357	-1.960	-0.251	-0.405	5.073
chrXq27 chrXq27	-0.576	-0.841	-1.673	0.994	1.277	4.719	-0.244	-1.196	-0.576	-1.673	0.366
chr1q22 chr1q22	0.790	2.117	0.790	-1.924	-0.908	-1.924	-0.605	1.375	-0.605	1.375	-1.333
chr2p12 chr2p12	-0.270	-0.270	-0.782	1.512	1.512	-0.471	-0.471	-2.029	1.137	-2.029	0.812
chr2p23 chr2p23	-0.320	1.050	2.065	0.283	-2.029	-2.509	-1.293	0.676	0.523	1.271	-0.595
chr7p22 chr7p22	1.190	4.361	0.577	-0.429	-0.301	-0.809	-0.809	-0.301	-0.429	-0.596	-2.319
chr16q22 chr16q22	1.309	2.304	0.919	-1.440	-0.940	-2.543	0.363	0.269	-0.745	0.919	-0.584
chr2p15 chr2p15	-0.764	-0.407	1.512	-0.407	-1.408	-1.408	-0.407	2.571	0.427	0.427	0.215
chr13q31 chr13q31	-0.324	-1.275	-0.938	-0.475	2.574	1.857	-0.676	-1.706	0.771	-0.676	0.768
