	[-1.17 -0.88]	[-0.88 -0.52]	[-0.52 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.07]	[0.07 0.31]	[0.31 0.58]	[0.58 0.78]	[0.78 1.72]	[1.72 2.01]
GOBP_TRANSLATIONAL_TERMINATION	4.734	8.075	2.949	0.312	-2.5340000000000003	-2.5340000000000003	0.447	-1.9480000000000002	-3.295	-3.295	-3.306
GOBP_MITOCHONDRIAL_TRANSLATION	4.636	13.899000000000001	4.204	-0.36200000000000004	-5.567	-1.845	0.478	-2.863	-3.5460000000000003	-5.567	-5.581
GOBP_TRANSLATIONAL_ELONGATION	4.204	8.172	3.0210000000000004	-0.256	-4.405	-2.306	1.2209999999999999	-1.845	-2.306	-3.5460000000000003	-3.5580000000000003
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	4.121	14.118	4.9239999999999995	-0.452	-5.614	-1.8519999999999999	0.48100000000000004	-1.511	-4.669	-4.669	-5.631
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	3.94	7.947	3.022	0.24600000000000002	-3.693	-1.9980000000000002	0.54	-1.476	-2.695	-3.693	-3.702
GOBP_TRNA_METABOLIC_PROCESS	2.803	14.456	3.81	0.441	-5.187	-2.634	0.335	-0.992	-2.2030000000000003	-3.71	-7.466
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	2.66	3.534	0.257	-0.75	-0.521	-1.053	-1.053	-0.75	-0.521	0.257	-0.525
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	2.5269999999999997	3.128	1.107	0.767	-3.6239999999999997	-1.278	-0.527	-0.527	-1.044	-0.527	-0.6779999999999999
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	2.385	6.68	2.765	1.138	-4.192	-3.1439999999999997	0.359	-1.38	-3.1439999999999997	-0.536	-4.203
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	2.372	3.932	1.733	0.578	-2.947	-2.319	0.301	0.301	-1.4069999999999998	-0.43	-3.763
