GO	[-10.12 -0.97]	[-0.97 -0.59]	[-0.59 -0.32]	[-0.32 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.42]	[0.42 0.80]	[0.80 1.88]	[1.88 23.61]
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	-0.543	6.040	8.004	5.149	-1.143	-5.456	-0.543	0.301	-2.599	-6.693	-6.674
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	0.514	5.130	8.832	1.156	-3.840	-6.322	-1.062	1.156	-0.674	-2.746	-4.507
BENPORATH_PROLIFERATION BENPORATH_PROLIFERATION	-2.728	1.568	1.325	3.449	-4.049	-6.151	-0.528	2.420	4.227	-0.904	-4.933
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	-3.761	-1.274	1.813	1.074	-1.608	-5.817	0.291	3.858	6.084	-0.311	-3.747
SCHUHMACHER_MYC_TARGETS_UP SCHUHMACHER_MYC_TARGETS_UP	5.780	7.686	0.724	0.724	-1.707	-3.319	-1.707	-1.225	-0.596	-3.319	-2.355
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-1.281	-0.813	0.722	3.244	-1.926	-6.985	-0.486	4.345	3.961	-0.269	-4.762
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	-0.946	3.039	1.227	4.423	-2.917	-7.863	-0.946	1.036	1.904	-0.463	-4.020
FUJII_YBX1_TARGETS_DN FUJII_YBX1_TARGETS_DN	-3.032	0.309	0.962	1.559	-1.011	-8.030	0.797	4.987	2.307	-0.294	-4.857
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	-0.959	3.895	1.287	2.566	-1.192	-7.361	1.287	1.085	0.590	-1.784	-6.066
WINNEPENNINCKX_MELANOMA_METASTASIS_UP WINNEPENNINCKX_MELANOMA_METASTASIS_UP	-1.162	-0.556	1.207	3.162	-2.170	-5.496	0.395	2.827	4.671	-1.162	-5.478
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	-0.302	4.181	3.486	1.765	-0.829	-6.758	-0.517	2.012	-0.659	-1.837	-5.726
