GO	[-10.12 -0.93]	[-0.93 -0.58]	[-0.58 -0.33]	[-0.33 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.45]	[0.45 0.82]	[0.82 1.85]	[1.85 10.85]
MIR4255 MIR4255	-2.443	0.301	-0.534	0.819	-2.443	-3.487	0.661	0.402	5.358	1.193	-0.402
MIR3064_3P MIR3064_3P	-2.253	-1.222	-0.595	0.480	0.616	-5.619	0.616	0.480	3.743	1.141	0.368
MIR4436B_5P MIR4436B_5P	-3.096	-0.442	0.853	1.518	-1.016	-3.800	0.391	2.070	2.070	0.523	-1.291
MIR4678 MIR4678	-0.971	-1.286	-0.720	-0.369	-0.522	-2.776	-0.369	0.664	7.368	1.083	-0.519
MIR302D_5P MIR302D_5P	-2.294	-0.437	0.584	1.048	0.584	-3.181	2.426	1.048	1.663	-0.563	-3.170
MIR6773_5P MIR6773_5P	-0.525	0.858	-1.617	0.320	-0.925	-1.617	0.858	-0.925	0.555	-0.925	4.639
MIR371A_5P MIR371A_5P	-0.960	-0.960	-0.960	0.463	1.086	-3.075	0.463	1.289	4.276	0.261	-1.460
GTCTTCC_MIR7 GTCTTCC_MIR7	-2.361	-0.830	0.706	0.706	-1.046	-3.391	1.483	2.264	0.561	1.260	-0.824
MIR10395_3P MIR10395_3P	-1.055	-1.683	0.814	2.623	-0.623	-3.872	1.461	0.495	1.223	-0.340	-0.619
MIR6807_3P MIR6807_3P	0.509	-1.035	-0.801	0.509	-2.064	-3.129	0.833	2.665	1.489	-0.801	0.839
MIR522_3P MIR522_3P	-1.011	-1.856	0.430	1.026	-0.373	-4.425	0.850	0.850	2.181	0.850	-0.630
CTGTTAC_MIR194 CTGTTAC_MIR194	-2.041	-2.041	0.280	0.953	0.280	-1.568	0.405	1.459	0.742	2.792	-1.562
ACTGTAG_MIR139 ACTGTAG_MIR139	-0.924	-2.511	0.644	0.353	0.644	-3.159	0.644	-0.694	2.809	1.273	-0.363
MIR1227_3P MIR1227_3P	-0.327	-3.112	0.428	-1.091	1.120	-1.091	2.561	0.851	0.428	0.620	-1.545
MIR217_5P MIR217_5P	0.360	-1.388	-1.388	1.076	-1.683	-2.863	1.486	2.230	1.076	-0.572	0.742
MIR503_5P MIR503_5P	-0.985	-0.348	0.259	0.728	0.384	-1.330	0.259	0.946	4.683	-2.332	-1.325
MIR142_3P MIR142_3P	-0.570	-0.927	1.128	0.939	-0.733	-4.251	1.561	0.939	1.128	0.486	-1.731
MIR6764_3P MIR6764_3P	-2.638	0.742	-1.191	0.280	-0.323	-2.041	0.953	-0.651	3.609	0.953	-0.321
MIR6824_3P MIR6824_3P	-2.673	0.721	-1.214	0.270	-0.334	-2.072	0.929	-0.668	3.549	0.929	0.272
MIR1825 MIR1825	0.823	0.518	0.660	-0.723	-0.923	-3.803	0.823	1.674	1.674	-0.420	-2.164
MIR888_3P MIR888_3P	-0.867	-2.415	0.698	0.388	0.698	-1.143	0.698	0.272	1.629	1.925	-3.046
MIR224_3P MIR224_3P	-1.045	-1.574	0.409	1.178	-0.513	-3.812	0.988	0.816	2.117	0.816	-0.831
MIR1301_3P_MIR5047 MIR1301_3P_MIR5047	-0.829	-0.613	-1.433	0.413	-0.829	-3.793	0.937	2.000	0.937	0.561	1.171
AAGTCCA_MIR422B_MIR422A AAGTCCA_MIR422B_MIR422A	1.260	-1.425	-1.425	2.368	-1.425	-0.987	1.593	0.500	0.328	0.500	-1.420
MIR337_3P MIR337_3P	-1.483	-0.645	0.388	0.388	-1.483	-2.415	1.629	1.112	1.925	1.112	-1.138
MIR139_5P MIR139_5P	-0.737	-3.837	0.284	1.186	-0.569	-1.805	0.505	-0.569	1.406	1.406	1.193
MIR4778_5P MIR4778_5P	0.276	-0.927	-2.103	-0.436	0.276	-2.526	1.805	1.805	2.347	-0.327	-0.566
MIR221_3P MIR221_3P	-1.785	-0.960	-2.154	-0.458	-0.345	-0.595	0.902	2.005	2.279	1.509	-0.954
MIR18A_5P_MIR18B_5P MIR18A_5P_MIR18B_5P	-1.611	-0.727	-0.273	-0.538	-0.538	-0.964	-1.255	4.765	1.748	0.611	-0.386
AGTCTTA_MIR499 AGTCTTA_MIR499	-1.581	-0.523	1.725	0.412	-1.581	-2.217	1.087	1.087	1.087	-1.118	0.602
MIR1537_5P MIR1537_5P	-1.165	-0.661	0.680	-1.930	1.329	-1.930	1.597	1.597	1.329	-0.661	-0.881
MIR7850_5P MIR7850_5P	0.849	1.564	-0.354	-1.958	-1.958	-1.534	2.499	-0.496	1.062	0.364	-0.673
MIR1183 MIR1183	-3.265	-1.277	-0.552	0.321	-0.552	-0.282	0.769	2.671	1.714	0.594	-0.978
MIR652_5P MIR652_5P	0.984	-1.492	0.646	-0.453	0.646	-1.492	0.646	0.380	1.860	-1.492	-0.826
