GO	[-6.49 -0.53]	[-0.53 -0.24]	[-0.24 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.02]	[0.02 0.11]	[0.11 0.24]	[0.24 0.46]	[0.46 0.96]	[0.96 8.92]
MIR199B_5P MIR199B_5P	-1.251	-2.231	-0.278	1.915	-0.373	-3.166	4.127	0.850	0.430	0.551	-1.244
MIR199A_5P MIR199A_5P	-1.028	-2.257	-0.285	1.885	-0.382	-3.196	4.079	0.833	0.419	0.539	-1.263
MIR5589_3P MIR5589_3P	-0.510	-4.077	-0.662	3.164	0.423	-0.662	1.036	0.423	0.854	1.036	-2.855
ATCATGA_MIR433 ATCATGA_MIR433	-0.393	-0.756	1.032	0.817	-0.393	-0.393	3.265	-0.393	0.628	-0.756	-4.727
MIR1183 MIR1183	0.321	-0.552	-2.073	0.445	-0.744	-2.607	1.714	1.714	1.714	0.769	-1.630
MIR603 MIR603	-3.519	0.510	-0.310	-0.415	0.802	-1.693	1.864	0.977	2.131	-0.704	-1.113
ACACTGG_MIR199A_MIR199B ACACTGG_MIR199A_MIR199B	-0.378	-1.361	0.723	-0.378	1.090	-4.417	1.792	1.538	0.439	-0.276	-1.081
MIR5003_5P MIR5003_5P	0.584	-0.563	1.048	-0.563	-0.437	-1.337	-0.889	5.530	0.463	-1.931	-0.558
MIR6881_3P MIR6881_3P	-0.285	-1.552	-0.285	0.833	-0.647	-2.693	2.430	1.410	-0.647	1.639	-1.263
MIR12120 MIR12120	-1.927	-1.062	2.086	1.157	0.800	-3.257	0.969	0.648	0.399	-0.525	-0.521
TAATGTG_MIR323 TAATGTG_MIR323	-2.630	-0.420	0.292	0.395	-0.556	-1.163	4.680	-0.556	1.006	0.395	-0.552
MIR217_5P MIR217_5P	-1.133	-2.023	0.593	1.486	-1.388	-1.683	2.230	0.897	0.360	0.897	-0.568
GCTTGAA_MIR498 GCTTGAA_MIR498	0.646	0.344	-1.705	1.877	-0.738	-2.811	1.304	1.304	0.344	-0.381	-0.988
MIR6807_3P MIR6807_3P	-2.064	-1.658	0.509	1.489	-1.319	-1.319	2.340	0.380	0.660	0.660	0.276
MIR4452 MIR4452	0.645	-3.837	1.645	-0.430	-0.941	-1.805	0.505	0.505	0.645	0.505	0.992
MIR5697 MIR5697	-2.854	-0.320	0.388	0.388	1.227	0.283	1.017	0.828	0.828	-0.320	-3.453
MIR4255 MIR4255	-1.101	-0.534	-0.690	-0.690	0.996	-0.878	1.408	3.775	0.402	-0.301	-2.019
MIR4753_5P MIR4753_5P	-0.791	0.867	-0.621	-0.363	-0.480	-2.206	3.457	1.244	0.440	0.335	-1.824
MIR652_5P MIR652_5P	0.380	-1.492	-0.828	0.380	0.646	-0.828	1.390	0.984	-0.828	1.390	-1.489
MIR522_3P MIR522_3P	-1.531	-1.251	1.026	0.326	1.026	-2.665	1.915	0.850	0.430	0.551	-1.244
MIR224_5P MIR224_5P	-0.621	-0.480	-0.621	1.459	-0.270	-1.231	0.706	1.046	2.499	-3.136	-0.476
MIR6882_5P MIR6882_5P	-1.953	-0.830	1.260	1.056	1.260	-3.391	0.706	0.872	-0.375	-0.277	-0.372
MIR500B_5P MIR500B_5P	-2.364	-1.536	0.845	0.587	0.587	-0.399	0.379	-0.399	2.822	-0.645	-0.397
MIR362_5P MIR362_5P	-2.322	-1.501	0.877	0.612	0.397	-0.382	0.397	-0.382	2.897	-0.623	-0.380
MIR1193 MIR1193	-1.451	-1.451	-0.219	-0.219	1.449	0.403	-0.219	2.479	-0.797	-0.797	0.405
GAGACTG_MIR452 GAGACTG_MIR452	-1.202	0.456	0.312	-0.624	-0.290	-1.622	4.066	0.456	0.632	0.312	-1.616
MIR222_3P MIR222_3P	-0.426	-3.552	-0.319	2.099	0.498	-0.718	-0.426	1.149	1.359	0.284	-1.131
ATAAGCT_MIR21 ATAAGCT_MIR21	-0.829	0.413	2.680	0.736	-2.984	-0.829	-0.312	0.413	0.291	-1.099	1.171
MIR618 MIR618	0.445	-1.065	-0.314	1.467	-0.314	-3.071	0.878	1.817	-0.732	-0.314	-0.312
MIR520F_3P MIR520F_3P	-1.613	0.270	0.876	1.236	-0.712	-2.709	0.722	0.876	1.901	-0.437	-1.090
MIR374A_3P MIR374A_3P	0.977	-2.898	-0.512	2.623	-0.512	0.464	0.782	0.340	0.340	-0.374	-1.866
MIR142_3P MIR142_3P	-0.436	-1.425	0.769	0.618	0.276	-2.526	2.347	1.128	0.486	0.276	-1.731
GTCTTCC_MIR7 GTCTTCC_MIR7	-1.302	-0.498	0.561	-1.953	0.434	-0.498	1.483	3.207	0.561	-0.498	-1.295
MIR3925_5P MIR3925_5P	-1.235	0.513	-0.581	-0.320	-0.581	0.828	0.660	-0.436	2.274	1.017	-3.453
ACACTAC_MIR1423P ACACTAC_MIR1423P	-0.448	-1.064	-0.321	0.395	-0.448	-2.736	3.214	0.533	0.881	0.695	-1.059
MIR224_3P MIR224_3P	-1.289	-1.045	0.988	-0.293	0.988	-2.721	1.856	0.816	0.526	0.526	-1.282
MIR302A_5P MIR302A_5P	-1.489	-0.286	-0.495	2.344	0.415	-1.794	1.587	1.368	0.317	-0.634	-1.481
ATAGGAA_MIR202 ATAGGAA_MIR202	-1.408	-1.052	0.667	1.109	-0.260	-1.408	-0.260	2.712	1.109	-1.408	-0.383
MIR3144_3P MIR3144_3P	1.641	-0.489	0.701	1.641	0.971	-1.713	-0.762	-0.762	-1.713	0.478	-0.487
MIR337_3P MIR337_3P	-1.483	-0.333	0.388	2.954	0.388	-0.867	0.272	0.698	1.112	-0.645	-2.408
MIR4670_3P MIR4670_3P	-1.031	0.475	-0.807	-0.622	0.614	-2.948	0.475	0.258	2.790	-0.470	1.164
MIR6780A_3P MIR6780A_3P	-1.661	0.740	0.337	0.740	-1.661	-0.650	0.585	3.042	-1.068	0.740	-0.835
AACTGAC_MIR223 AACTGAC_MIR223	-0.941	-0.476	-0.678	0.412	0.279	-1.710	1.256	0.576	3.407	-0.324	-1.273
