GO	[-6.42 -0.53]	[-0.53 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.93]	[0.93 8.92]
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-3.717	1.049	9.212	20.222	-2.705	-8.242	0.723	-0.888	-1.928	-3.717	-6.939
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	-3.052	0.388	10.216	20.005	-1.482	-4.983	-0.644	-1.142	-3.867	-4.983	-3.878
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	-4.170	-0.505	11.805	18.775	-1.507	-4.877	0.309	-0.505	-3.032	-4.877	-3.046
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-4.669	6.719	9.293	3.384	-0.766	-6.861	0.365	0.365	-2.250	-2.250	-6.879
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-3.087	-0.343	6.035	16.548	-1.507	-5.025	0.871	-0.660	-1.507	-3.905	-3.917
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-3.371	-0.312	6.691	14.873	-1.166	-4.442	0.291	-0.451	-2.009	-2.009	-4.453
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	-4.405	5.558	8.745	3.021	-0.499	-5.567	0.478	-0.362	-2.306	-2.306	-5.581
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-4.085	-0.540	5.472	14.733	-1.172	-6.193	0.709	-0.712	-0.292	-3.359	-2.266
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	-0.731	8.457	7.947	2.959	-2.523	-7.279	-0.731	-0.569	-0.925	-3.580	-3.025
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-2.634	3.458	8.655	2.803	-1.830	-6.166	0.868	1.047	-0.992	-3.132	-5.204
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	2.525	-4.074	-2.385	-4.074	4.250	10.524	-1.320	-3.419	-2.863	0.318	0.848
GOBP_TRANSLATIONAL_TERMINATION GOBP_TRANSLATIONAL_TERMINATION	-3.295	1.868	10.018	3.795	-0.600	-4.359	0.312	-0.424	-1.948	-1.486	-4.370
GOBP_SISTER_CHROMATID_SEGREGATION GOBP_SISTER_CHROMATID_SEGREGATION	-2.760	-0.350	3.917	0.844	-1.373	-6.998	0.560	9.058	1.196	-1.975	-4.421
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	1.835	-4.049	-1.806	-4.049	2.425	12.182	-1.152	-2.728	-2.228	0.905	-0.286
GOBP_NUCLEAR_EXPORT GOBP_NUCLEAR_EXPORT	-2.787	0.994	7.072	6.192	-1.392	-3.811	1.374	0.828	-1.392	-2.787	-5.179
GOBP_CORNIFICATION GOBP_CORNIFICATION	-0.262	-1.309	-2.808	-3.599	6.162	11.754	-1.703	-2.194	-1.703	-0.737	0.478
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	-3.144	4.536	2.765	5.563	-0.372	-4.192	0.688	-0.372	-1.380	-3.144	-4.203
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	-2.760	1.012	5.829	7.137	-0.918	-3.236	-0.264	2.097	-1.975	-2.342	-5.144
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	-4.405	2.667	9.941	2.667	-0.884	-3.546	-0.256	-0.362	-0.499	-1.845	-4.419
GOBP_SPINDLE_ORGANIZATION GOBP_SPINDLE_ORGANIZATION	-1.571	-0.293	2.691	1.858	-4.490	-7.572	1.614	5.198	1.388	-1.571	-3.237
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	-1.455	0.481	6.658	8.762	-0.454	-2.986	-0.454	-1.455	-2.070	-1.455	-2.994
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	-2.715	-0.594	3.744	0.772	-1.220	-5.614	0.772	7.705	1.357	-2.250	-3.916
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	0.344	-3.599	-1.309	-2.808	3.741	9.725	-0.737	-3.599	-2.194	-0.262	1.297
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	-0.273	-4.483	-1.187	-2.929	3.295	9.136	-0.702	-2.929	-2.365	0.452	1.941
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	-2.695	1.530	9.302	2.605	-0.363	-3.693	0.540	-0.770	-1.476	-1.476	-3.702
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	-3.110	1.121	4.530	6.314	-0.327	-3.110	-0.327	0.621	-2.179	-2.179	-3.119
GOBP_RNA_EXPORT_FROM_NUCLEUS GOBP_RNA_EXPORT_FROM_NUCLEUS	-1.656	1.031	5.477	6.442	-1.034	-2.061	0.510	0.834	-1.656	-3.832	-4.730
GOBP_CYTOPLASMIC_TRANSLATION GOBP_CYTOPLASMIC_TRANSLATION	-1.857	0.874	3.539	10.398	-1.407	-2.432	0.492	-0.552	-0.770	-3.182	-3.192
GOBP_OXIDATIVE_PHOSPHORYLATION GOBP_OXIDATIVE_PHOSPHORYLATION	-1.806	0.569	3.093	6.991	-0.527	-2.728	2.749	0.569	-3.326	-3.326	-3.338
GOBP_MRNA_TRANSPORT GOBP_MRNA_TRANSPORT	-2.312	1.039	4.072	7.267	-1.213	-2.821	0.292	1.742	-1.883	-1.883	-4.172
GOBP_DNA_DEPENDENT_DNA_REPLICATION GOBP_DNA_DEPENDENT_DNA_REPLICATION	-1.659	3.394	7.309	0.917	-1.338	-4.376	0.338	1.113	0.338	-3.629	-3.642
GOBP_RNA_MODIFICATION GOBP_RNA_MODIFICATION	-1.045	4.302	4.699	3.921	-3.387	-4.039	0.561	-0.276	-0.647	-1.950	-3.401
GOBP_MRNA_EXPORT_FROM_NUCLEUS GOBP_MRNA_EXPORT_FROM_NUCLEUS	-1.703	1.305	3.321	7.274	-1.309	-2.194	0.482	0.839	-1.309	-2.808	-4.704
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	0.246	-3.693	-0.537	-1.998	5.511	7.947	0.737	-1.476	-1.998	-1.077	-1.483
GOBP_NUCLEOTIDE_EXCISION_REPAIR GOBP_NUCLEOTIDE_EXCISION_REPAIR	-2.009	2.468	3.670	2.845	-2.602	-2.602	0.577	0.978	0.577	-3.371	-4.453
GOBP_CELLULAR_RESPIRATION GOBP_CELLULAR_RESPIRATION	-2.411	0.469	4.534	4.534	-0.728	-3.972	3.454	0.594	-1.680	-2.411	-2.873
GOBP_MRNA_3_END_PROCESSING GOBP_MRNA_3_END_PROCESSING	-1.768	0.385	6.874	2.871	-0.505	-3.069	0.947	1.196	-1.768	-2.331	-4.119
GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR	-2.107	1.865	4.157	4.157	-1.486	-3.027	0.301	-0.301	0.463	-3.027	-3.035
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	-2.364	0.249	2.817	5.648	-0.732	-1.798	2.817	0.708	-1.798	-2.364	-4.161
GOBP_RNA_3_END_PROCESSING GOBP_RNA_3_END_PROCESSING	-1.566	0.378	7.625	3.220	-0.446	-2.883	0.645	1.433	-2.369	-3.494	-2.380
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	-2.116	-0.477	1.200	0.797	-3.192	-5.984	1.434	6.293	1.434	-0.637	-1.715
GOBP_RECOMBINATIONAL_REPAIR GOBP_RECOMBINATIONAL_REPAIR	-1.252	3.525	3.150	3.150	-1.583	-4.599	0.711	0.552	0.301	-3.725	-3.039
GOBP_TRNA_PROCESSING GOBP_TRNA_PROCESSING	-1.368	2.498	6.353	1.868	-1.368	-4.251	0.534	0.882	-0.812	-2.188	-3.416
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.051	-1.260	-3.323	-0.797	-0.355	-0.355	-3.970	-1.009	-1.009	2.051	9.086
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	-2.695	1.878	3.751	3.751	-0.344	-2.695	0.627	0.262	-1.819	-1.819	-2.702
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	-1.815	0.578	3.508	4.843	-0.810	-2.319	2.372	0.578	-1.815	-2.319	-3.763
GOBP_MITOTIC_SPINDLE_ORGANIZATION GOBP_MITOTIC_SPINDLE_ORGANIZATION	-1.457	-0.321	1.389	0.717	-3.017	-4.942	1.139	6.196	0.915	-0.628	-2.391
GOBP_TRNA_MODIFICATION GOBP_TRNA_MODIFICATION	-1.077	3.022	3.940	3.022	-2.695	-2.695	0.540	0.246	-0.770	-1.077	-3.702
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	-0.465	1.224	2.624	5.410	-1.681	-3.159	0.266	1.462	-0.817	-1.681	-4.769
GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	-1.676	0.356	3.801	3.801	-1.676	-2.774	1.612	0.861	0.356	-2.774	-3.572
GOBP_IMMUNOGLOBULIN_PRODUCTION GOBP_IMMUNOGLOBULIN_PRODUCTION	-0.550	-0.550	-0.698	-1.905	3.704	9.810	0.278	-3.148	-1.590	-0.325	-1.325
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	-0.948	0.911	2.017	7.529	-0.948	-2.280	0.246	0.416	-1.466	-2.280	-2.286
GOBP_RNA_METHYLATION GOBP_RNA_METHYLATION	-0.957	1.728	4.316	2.890	-2.510	-3.485	0.451	0.451	-0.457	-0.957	-3.494
GOBP_RIBOSOME_ASSEMBLY GOBP_RIBOSOME_ASSEMBLY	-1.211	1.548	3.836	5.626	-0.526	-2.653	-0.329	-0.810	-2.653	-0.810	-1.789
GOBP_SPINDLE_ASSEMBLY GOBP_SPINDLE_ASSEMBLY	-0.991	-0.536	3.741	1.305	-2.808	-4.692	2.552	2.552	-0.380	-1.309	-1.711
GOBP_REGULATION_OF_MRNA_PROCESSING GOBP_REGULATION_OF_MRNA_PROCESSING	-0.977	-0.977	5.216	3.920	-0.750	-3.027	1.577	1.099	-0.977	-1.979	-3.039
GOBP_DNA_GEOMETRIC_CHANGE GOBP_DNA_GEOMETRIC_CHANGE	-2.225	3.681	3.681	2.161	-1.333	-4.733	0.333	0.629	-0.755	-1.731	-1.018
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	-2.578	0.463	3.547	2.572	-2.152	-3.645	1.290	2.572	-0.344	-0.760	-3.085
GOBP_PHAGOCYTOSIS_RECOGNITION GOBP_PHAGOCYTOSIS_RECOGNITION	5.422	-1.505	-2.732	-1.505	1.816	2.963	-1.505	-1.505	-2.031	0.363	0.518
GOBP_DNA_BIOSYNTHETIC_PROCESS GOBP_DNA_BIOSYNTHETIC_PROCESS	-1.185	0.847	6.882	2.137	-2.490	-4.771	-0.473	0.556	0.693	-1.185	-1.194
GOBP_REGULATION_OF_MACROAUTOPHAGY GOBP_REGULATION_OF_MACROAUTOPHAGY	-1.381	-0.872	-0.284	2.323	-3.070	-2.541	1.069	7.664	0.708	-1.381	-1.112
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	-2.254	0.318	2.150	3.042	-2.254	-5.261	1.008	2.150	0.834	-0.501	-2.266
GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	-0.540	-1.172	-4.988	-2.759	2.085	3.407	0.422	-1.474	-1.172	1.804	2.073
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.274	-0.453	-0.608	-3.832	4.582	4.161	-0.800	-0.800	-3.126	-1.317	1.742
GOBP_MATURATION_OF_SSU_RRNA GOBP_MATURATION_OF_SSU_RRNA	-2.072	0.522	3.402	3.402	-0.285	-2.072	0.318	1.096	-1.293	-2.072	-2.077
GOBP_NCRNA_TRANSCRIPTION GOBP_NCRNA_TRANSCRIPTION	-2.039	0.742	3.190	1.460	0.281	-4.483	0.406	2.422	0.281	-2.039	-2.646
GOBP_DNA_DAMAGE_RESPONSE_DETECTION_OF_DNA_DAMAGE GOBP_DNA_DAMAGE_RESPONSE_DETECTION_OF_DNA_DAMAGE	-0.925	2.146	3.934	3.287	-1.616	-1.616	-0.283	-1.616	-0.524	-0.925	-1.620
GOBP_DNA_INTEGRITY_CHECKPOINT GOBP_DNA_INTEGRITY_CHECKPOINT	-3.595	1.595	1.595	1.855	-1.048	-4.340	0.600	3.440	-0.259	-1.048	-1.645
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT	-2.090	1.281	2.033	0.878	-1.381	-5.379	0.558	4.043	0.558	-1.104	-1.716
