GO	[-6.49 -0.48]	[-0.48 -0.24]	[-0.24 -0.14]	[-0.14 -0.06]	[-0.06 0.00]	[0.00 0.02]	[0.02 0.10]	[0.10 0.22]	[0.22 0.41]	[0.41 0.85]	[0.85 6.73]
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE	2.166	-1.304	-1.304	-1.304	-1.304	9.556	-2.299	-2.299	-0.491	-0.336	1.500
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	-1.028	-2.259	-1.270	-0.821	-1.553	-1.270	-1.880	0.420	0.835	3.383	9.009
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN	0.393	0.393	-3.451	-3.451	-2.673	0.931	-1.214	-0.479	0.271	2.038	6.497
HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP	1.941	-2.031	-0.782	-1.259	-0.782	9.432	-0.471	-2.031	-1.259	0.334	-0.273
HOWARD_DENDRITIC_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP HOWARD_DENDRITIC_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	1.515	-0.284	-3.075	-0.873	-1.383	-2.094	-1.383	-0.284	-0.678	2.038	7.654
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP	-4.220	-0.910	0.788	3.695	0.961	-0.318	2.691	-0.318	0.634	-1.717	-4.240
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_UP THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_UP	-3.337	0.926	1.144	1.144	1.386	-1.323	1.653	1.144	-0.580	-1.689	-3.353
QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_0DY_UP QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_0DY_UP	1.058	-0.787	-0.787	-0.787	0.279	-0.324	-0.787	-0.324	-0.787	-0.787	6.881
HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_DN HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_DN	2.393	-0.828	-1.492	-1.492	-0.234	-0.234	-1.492	-0.828	-0.234	0.381	4.307
NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN	0.613	0.878	-1.501	-0.977	-0.622	-0.977	-1.501	-1.501	0.233	0.878	5.908
