GO	[-7.99 -0.76]	[-0.76 -0.30]	[-0.30 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.41]	[0.41 1.02]	[1.02 7.84]
chrYp11 chrYp11	-1.331	-2.221	-4.726	2.155	3.669	4.104	1.836	0.628	-2.838	-3.631	-1.014
chr7q34 chr7q34	-1.778	-2.571	-0.344	1.998	2.560	0.590	5.887	-0.594	-0.956	-2.571	-1.783
MT MT	-0.860	0.614	0.359	-1.532	-1.532	-1.532	-1.532	0.614	4.179	2.303	-0.861
chr15q15 chr15q15	0.710	3.138	0.892	-1.975	-0.565	-2.449	-1.249	-0.975	2.450	0.551	-0.752
chrXq27 chrXq27	-0.841	-1.196	-2.323	1.277	1.947	1.595	1.947	0.367	-1.673	-0.841	-0.843
chr2q21 chr2q21	1.543	0.403	-3.752	-0.579	3.850	0.537	0.537	0.403	-0.994	-0.994	-1.275
chr16q22 chr16q22	0.269	1.105	1.309	-0.581	-1.440	-3.602	-1.440	-0.581	2.304	0.604	0.915
chr1p35 chr1p35	-1.389	0.519	2.448	-1.081	-0.829	-3.432	-0.331	1.067	1.067	-0.460	1.063
chr13q31 chr13q31	-0.324	-1.275	-1.275	2.202	0.576	1.254	2.574	-0.676	-0.475	-2.260	-0.679
chrXq23 chrXq23	-0.382	-0.382	-1.673	-0.841	3.676	-0.244	1.947	0.748	-1.196	-0.576	-0.843
chr21q11 chr21q11	0.226	-1.864	-1.864	0.409	0.409	2.204	0.654	0.958	-1.123	-0.675	0.408
chr1p22 chr1p22	-0.411	0.579	1.677	0.945	0.579	-4.128	-0.411	-1.000	0.749	-0.759	0.431
chr2p16 chr2p16	0.576	1.490	-0.312	-0.451	-1.164	4.105	-0.867	-0.451	-1.164	-0.867	-0.313
