GO	[-5.62 -0.71]	[-0.71 -0.36]	[-0.36 -0.18]	[-0.18 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.27]	[0.27 0.54]	[0.54 1.06]	[1.06 7.84]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-4.003	1.688	17.297	11.668	-1.406	-7.819	-0.452	0.457	-3.405	-7.819	-7.806
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-0.634	19.254	9.011	1.508	-2.330	-5.729	-1.280	-0.813	-3.354	-5.729	-5.719
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.406	6.991	11.377	5.586	-3.132	-6.691	-0.543	-2.143	-3.132	-5.455	-4.511
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	0.693	15.913	7.095	2.103	-3.059	-4.637	-1.607	-2.484	-2.006	-4.637	-5.806
WINNEPENNINCKX_MELANOMA_METASTASIS_UP WINNEPENNINCKX_MELANOMA_METASTASIS_UP	-1.779	20.908	4.268	2.212	-3.163	-4.557	-1.162	0.292	-3.163	-4.557	-3.155
PUJANA_BRCA_CENTERED_NETWORK PUJANA_BRCA_CENTERED_NETWORK	-0.443	16.212	6.806	0.735	-2.350	-4.899	-1.098	-0.613	-1.843	-4.899	-4.891
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	0.791	12.757	6.049	2.503	-1.960	-5.181	-2.397	0.267	-5.181	-3.526	-5.172
KEGG_SPLICEOSOME KEGG_SPLICEOSOME	-2.636	1.679	8.238	12.007	-1.661	-5.274	-0.566	0.432	-5.274	-4.134	-2.630
REACTOME_S_PHASE REACTOME_S_PHASE	-2.169	10.103	5.972	3.882	-2.627	-6.733	-0.310	0.660	-2.169	-3.163	-5.484
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-2.034	-2.944	-2.944	-1.424	7.451	15.698	0.328	-2.944	-2.944	-1.424	-0.983
FUJII_YBX1_TARGETS_DN FUJII_YBX1_TARGETS_DN	0.309	9.067	10.654	1.343	-4.168	-6.716	-1.011	0.405	-2.569	-2.166	-4.158
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	-4.375	1.327	0.915	4.541	-0.368	-6.524	5.846	4.139	-3.006	-4.375	-5.289
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	-0.975	17.872	5.719	1.016	-4.193	-4.193	-1.543	-0.759	-2.851	-1.543	-1.902
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	-2.916	8.870	6.039	3.700	-1.426	-7.860	-0.462	0.446	-0.596	-3.436	-4.723
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	-2.516	4.702	4.324	7.258	-1.466	-5.632	0.829	0.829	-1.466	-3.498	-7.931
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	-1.362	-2.861	-2.861	-1.962	8.444	13.364	-0.405	-2.861	-2.861	-1.362	-0.404
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	0.691	18.411	3.320	1.412	-4.069	-4.769	-1.747	-1.186	-1.747	-2.490	-2.085
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	-1.192	5.474	4.267	8.793	-1.465	-7.359	-0.959	-0.761	0.353	-3.071	-6.072
KONG_E2F3_TARGETS KONG_E2F3_TARGETS	-0.324	15.753	3.403	1.542	-4.025	-4.025	-0.324	-2.264	-2.264	-2.994	-2.258
BENPORATH_PROLIFERATION BENPORATH_PROLIFERATION	0.433	14.138	3.828	1.832	-2.227	-6.149	-3.325	-0.284	-1.153	-2.728	-3.317
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	1.561	12.692	5.277	0.355	-3.934	-4.704	-2.744	-0.782	-2.744	0.355	-3.925
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	-1.675	-3.277	-3.277	-1.675	7.141	14.013	0.367	-2.326	-2.326	-1.198	-0.575
REACTOME_CD22_MEDIATED_BCR_REGULATION REACTOME_CD22_MEDIATED_BCR_REGULATION	-0.738	-2.529	-1.677	-2.529	8.911	11.428	-0.287	-2.529	-2.529	-1.677	-1.119
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	-2.830	0.820	8.247	8.824	-0.866	-2.830	-0.866	0.820	-1.125	-4.366	-5.515
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.436	-2.700	-3.368	-2.158	9.833	10.460	0.407	-3.368	-3.368	-1.043	-0.309
REACTOME_G2_M_CHECKPOINTS REACTOME_G2_M_CHECKPOINTS	1.508	7.458	3.244	2.910	-2.330	-6.983	-0.269	0.336	-1.578	-4.003	-5.719
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	-4.141	-0.877	0.522	7.164	-0.301	-4.925	5.779	4.526	-1.668	-4.141	-3.473
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	1.293	13.652	6.672	-0.560	-2.830	-4.628	-1.366	-1.366	-0.898	-2.384	-2.376
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	-3.051	-0.332	0.530	4.178	-0.332	-4.982	6.103	5.101	-3.051	-3.866	-3.859
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-2.230	-1.252	-3.984	-2.230	5.440	14.279	-0.461	-3.984	-0.918	-0.461	-0.311
REACTOME_DNA_REPLICATION REACTOME_DNA_REPLICATION	-1.687	5.018	7.030	4.125	-1.687	-5.316	0.420	0.301	-1.687	-4.173	-4.165
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-3.599	-2.194	-0.738	2.547	0.344	-4.691	7.261	7.261	-0.537	-2.808	-3.592
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	1.185	9.447	6.368	2.178	-3.832	-4.594	-2.656	-1.181	-1.467	-1.803	-2.648
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-1.474	6.403	5.460	3.400	-3.358	-6.191	0.554	0.708	-1.474	-2.758	-4.075
WHITEFORD_PEDIATRIC_CANCER_MARKERS WHITEFORD_PEDIATRIC_CANCER_MARKERS	0.755	11.905	5.320	1.190	-2.318	-4.857	-1.815	-2.318	-1.815	-1.407	-2.313
REACTOME_NONSENSE_MEDIATED_DECAY_NMD REACTOME_NONSENSE_MEDIATED_DECAY_NMD	-2.912	-0.417	0.311	4.435	0.311	-4.816	6.435	4.435	-2.912	-3.713	-3.706
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	0.620	13.758	5.428	0.620	-2.358	-5.408	-0.700	-2.358	-2.358	-1.346	-1.630
REACTOME_FCGR_ACTIVATION REACTOME_FCGR_ACTIVATION	-0.935	-1.962	-1.362	-2.861	7.017	13.364	-0.405	-1.362	-2.861	-1.362	-1.359
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.732	-2.031	-0.555	2.959	-0.247	-2.031	9.158	4.872	-3.734	-3.734	-2.026
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.881	-1.621	-0.290	3.593	0.312	-3.900	8.008	4.554	-2.881	-2.881	-2.876
REACTOME_MITOTIC_G2_G2_M_PHASES REACTOME_MITOTIC_G2_G2_M_PHASES	-2.731	4.307	4.307	3.609	-1.951	-6.954	0.859	2.671	-1.632	-2.316	-4.357
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	-0.388	15.128	4.757	0.610	-2.042	-3.227	-1.609	-0.963	-3.227	-2.572	-0.959
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	-4.134	1.166	-1.002	3.763	-1.661	-4.134	1.411	7.116	1.679	-4.134	-4.127
