GO	[-5.49 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.47]
MORF_NPM1 MORF_NPM1	-4.577	-0.925	0.520	4.311	3.921	-3.814	9.652	2.533	-5.517	-6.759	-6.799
MORF_ANP32B MORF_ANP32B	-3.736	1.245	4.407	2.173	3.359	-3.736	2.446	2.446	-3.736	-8.277	-8.325
MORF_G22P1 MORF_G22P1	-4.160	1.002	5.406	3.807	3.807	-4.160	0.823	1.653	-3.498	-7.181	-7.222
MORF_EIF4A2 MORF_EIF4A2	-3.701	-0.960	1.615	4.862	4.002	-3.701	6.291	0.917	-4.574	-5.751	-5.784
MORF_PRKDC MORF_PRKDC	0.438	4.424	9.434	3.697	-0.473	-5.623	0.335	-0.609	-3.485	-4.794	-7.986
MORF_RFC4 MORF_RFC4	0.679	7.855	8.954	1.044	0.293	-5.083	-0.567	-0.744	-4.172	-5.083	-6.333
MORF_ACTG1 MORF_ACTG1	-3.701	-2.432	0.311	2.193	2.514	-3.004	9.610	4.423	-2.432	-4.574	-5.784
MORF_HAT1 MORF_HAT1	-3.563	6.167	7.598	2.114	0.635	-3.563	0.383	0.789	-2.506	-5.992	-7.307
GNF2_RRM1 GNF2_RRM1	0.257	13.318	6.214	0.999	-1.054	-3.657	-1.450	-2.663	-1.969	-3.657	-3.679
MORF_PPP1CC MORF_PPP1CC	0.356	5.777	9.295	1.573	-0.463	-4.725	0.470	-0.463	-4.725	-4.725	-5.713
MORF_CDC10 MORF_CDC10	-3.270	0.339	8.842	5.716	0.949	-6.087	-0.370	0.600	-0.502	-3.990	-6.122
GNF2_FBL GNF2_FBL	-1.135	1.133	4.747	4.322	0.928	-3.304	3.528	-0.380	-4.926	-6.129	-6.164
GNF2_EIF3S6 GNF2_EIF3S6	-1.933	-1.511	0.263	3.718	3.309	-2.451	10.179	0.516	-3.095	-5.038	-5.067
GNF2_PA2G4 GNF2_PA2G4	0.540	10.027	5.320	1.603	-1.199	-3.282	-1.199	-3.282	-1.677	-3.282	-3.301
MORF_DAP3 MORF_DAP3	-3.105	0.933	1.755	2.002	2.266	-4.258	2.002	4.555	-1.047	-5.812	-8.198
GNF2_SMC4L1 GNF2_SMC4L1	0.452	10.043	6.625	0.860	-1.337	-2.514	-0.958	-1.337	-3.490	-3.490	-3.511
MORF_FBL MORF_FBL	-1.612	2.767	5.656	2.119	1.555	-3.773	0.696	0.876	-3.773	-5.835	-5.868
MORF_DNMT1 MORF_DNMT1	0.414	4.802	9.872	1.425	-0.443	-3.800	-0.443	-0.830	-3.800	-3.800	-4.940
GNF2_PCNA GNF2_PCNA	0.373	14.586	3.521	0.561	-0.910	-2.823	-1.928	-1.928	-1.928	-2.823	-2.840
GCM_MLL GCM_MLL	-4.195	-0.309	1.392	6.232	-0.309	-7.223	3.063	3.403	-0.704	-1.697	-5.992
MORF_RRM1 MORF_RRM1	-0.385	5.510	10.466	1.113	0.347	-3.189	-1.409	-1.052	-3.189	-3.189	-4.267
MORF_RAD21 MORF_RAD21	-3.146	1.705	4.600	2.519	2.825	-3.726	2.519	-0.269	-2.212	-5.209	-6.232
MORF_PPP2CA MORF_PPP2CA	-3.343	1.147	2.598	4.600	3.737	-3.343	0.421	0.928	-2.135	-5.331	-5.362
MORF_TPT1 MORF_TPT1	-2.437	-2.437	0.347	1.113	1.997	-1.861	11.906	1.674	-2.437	-3.189	-4.267
GCM_ACTG1 GCM_ACTG1	-3.201	0.473	2.426	4.864	2.097	-4.031	1.509	1.509	-2.019	-5.163	-5.193
GNF2_RAN GNF2_RAN	0.278	8.353	6.416	1.337	-1.006	-3.574	-0.711	-1.903	-1.393	-3.574	-3.595
GNF2_CCNA2 GNF2_CCNA2	-0.239	11.880	5.842	-0.389	-0.910	-2.823	-1.333	-0.910	-1.928	-2.823	-2.840
GNF2_RFC4 GNF2_RFC4	1.042	10.809	4.816	-0.273	-1.093	-2.490	-2.490	-1.643	-1.643	-2.490	-2.504
MORF_CTBP1 MORF_CTBP1	-4.799	-0.365	1.519	2.618	2.938	-2.815	1.519	4.390	-0.815	-4.021	-7.053
GNF2_MCM5 GNF2_MCM5	-0.470	9.774	8.173	-0.738	-0.738	-2.532	-0.738	-1.678	-1.678	-2.532	-2.546
MORF_EIF3S6 MORF_EIF3S6	-3.954	0.853	2.176	3.661	2.873	-2.483	2.176	0.664	-2.483	-5.080	-5.109
MORF_NME2 MORF_NME2	-2.956	-1.032	-0.470	1.897	3.152	-2.434	6.043	4.701	-2.434	-2.956	-5.276
GCM_APEX1 GCM_APEX1	-1.735	1.281	5.592	3.702	1.552	-2.850	0.468	0.468	-3.646	-4.745	-4.772
GNF2_APEX1 GNF2_APEX1	-0.404	2.861	8.971	2.084	0.489	-3.824	-1.153	-0.589	-2.101	-3.824	-3.847
GNF2_FEN1 GNF2_FEN1	0.613	8.183	5.262	0.879	-1.502	-2.323	-2.323	-0.977	-2.323	-2.323	-2.337
GNF2_MCM4 GNF2_MCM4	0.272	10.430	5.630	-0.332	-0.893	-2.199	-1.397	-2.199	-1.397	-2.199	-2.211
MORF_RAD54L MORF_RAD54L	0.631	3.436	7.614	1.916	-0.280	-3.265	0.324	-2.505	-2.505	-3.265	-4.351
GNF2_HCK GNF2_HCK	-2.134	-3.866	-2.850	-0.855	-2.134	-2.850	-0.606	0.867	1.113	5.189	8.129
GNF2_CDC20 GNF2_CDC20	-0.622	9.840	5.262	0.613	-0.381	-2.323	-1.502	-2.323	-1.502	-2.323	-2.337
GNF2_DAP3 GNF2_DAP3	-0.867	0.531	1.935	2.971	2.971	-3.877	2.971	0.389	-3.060	-4.996	-5.025
MODULE_197 MODULE_197	0.500	13.892	3.022	-0.425	-0.318	-4.230	-0.719	-0.318	-2.506	-2.994	-2.533
GNF2_CASP1 GNF2_CASP1	-4.619	-4.619	-1.263	-0.703	-1.652	-2.137	-0.703	1.114	1.114	5.313	6.882
MORF_RAB1A MORF_RAB1A	-5.661	-1.208	0.427	0.681	1.400	-3.516	2.396	5.993	2.396	-1.777	-5.702
MORF_PSMC1 MORF_PSMC1	-5.623	-0.473	2.153	1.424	3.357	-2.502	2.723	3.032	-1.452	-1.755	-6.674
GNF2_CCNB2 GNF2_CCNB2	-0.234	9.654	4.512	0.847	-0.645	-2.365	-1.537	-2.365	-1.537	-2.365	-2.379
MODULE_124 MODULE_124	-2.234	12.034	4.432	-0.461	0.290	-3.992	0.290	-1.682	-1.254	-1.254	-2.253
MORF_PTPN11 MORF_PTPN11	-1.192	2.807	6.084	2.433	0.407	-3.417	-1.192	1.762	-2.642	-3.417	-4.519
GNF2_CENPF GNF2_CENPF	-0.489	9.600	5.229	0.479	-0.762	-2.573	-0.762	-0.762	-2.573	-2.573	-2.588
MORF_PCNA MORF_PCNA	-0.935	7.376	6.733	-0.442	0.659	-2.477	-0.289	-0.652	-2.477	-3.449	-3.469
GNF2_HDAC1 GNF2_HDAC1	-2.106	2.342	5.391	3.510	0.381	-3.493	0.528	0.704	-2.711	-3.493	-4.604
GNF2_KPNB1 GNF2_KPNB1	-1.039	5.314	7.936	1.513	-0.710	-3.032	-0.471	-1.039	-1.488	-3.032	-3.049
GCM_NPM1 GCM_NPM1	-1.385	-0.290	1.776	2.428	2.428	-2.293	3.585	0.988	-2.920	-4.828	-4.856
