GO	[-5.24 -0.46]	[-0.46 -0.21]	[-0.21 -0.11]	[-0.11 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.17]	[0.17 0.35]	[0.35 0.74]	[0.74 7.53]
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-3.746	-2.038	-2.742	-0.555	-0.377	-3.746	3.898	14.694	1.826	-1.510	-3.769
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	-5.553	0.256	7.250	5.215	0.647	-2.846	2.077	0.362	-2.288	-2.846	-5.587
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	-1.937	2.932	3.321	3.732	-0.343	-5.048	0.683	0.263	-1.514	-0.662	-5.079
WP_RETINOBLASTOMA_GENE_IN_CANCER WP_RETINOBLASTOMA_GENE_IN_CANCER	-1.452	0.763	3.104	6.236	-0.752	-3.663	1.271	-0.351	-1.055	-2.667	-1.989
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	-1.519	-0.851	-1.147	2.175	0.301	-2.579	4.223	2.919	1.008	-1.987	-3.371
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	-1.744	1.215	1.868	5.149	-0.889	-3.370	0.503	0.704	-0.412	-1.256	-3.390
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.843	-1.843	-0.542	-0.402	5.088	6.016	-0.402	0.423	-0.292	-2.270	-2.295
WP_PARKINSONS_DISEASE_PATHWAY WP_PARKINSONS_DISEASE_PATHWAY	-0.959	-1.339	-0.959	-0.672	1.411	11.618	0.301	-0.672	-0.672	-1.841	-0.971
WP_CELL_CYCLE WP_CELL_CYCLE	-1.191	0.254	2.521	3.675	0.365	-3.962	0.502	1.576	-1.966	-0.907	-1.558
WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	-1.159	-0.411	1.684	5.145	-1.159	-1.909	2.143	-0.703	-0.411	-1.159	-1.168
WP_CELL_DIFFERENTIATION_INDEX WP_CELL_DIFFERENTIATION_INDEX	-0.336	-1.025	-0.599	-0.599	4.964	3.000	0.477	-1.742	-1.742	-1.025	-0.340
