GO	[-3.86 -0.45]	[-0.45 -0.21]	[-0.21 -0.12]	[-0.12 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.35]	[0.35 0.70]	[0.70 4.85]
MORF_PRKDC MORF_PRKDC	-4.794	0.696	5.625	6.953	1.893	-4.090	3.697	-0.361	-2.502	-7.940	-7.986
MORF_PPP1CC MORF_PPP1CC	-5.675	0.758	6.235	8.749	0.758	-3.952	3.364	-1.244	-1.539	-6.928	-5.713
MORF_NPM1 MORF_NPM1	-6.759	-3.177	0.396	0.293	2.231	-2.638	7.498	9.092	0.293	-3.814	-6.799
MORF_G22P1 MORF_G22P1	-7.181	-0.690	2.470	7.250	2.779	-3.498	4.182	0.664	-1.366	-5.913	-5.952
MORF_ACTG1 MORF_ACTG1	-5.751	-2.432	-0.553	-0.735	1.893	-2.432	7.876	9.610	0.428	-3.004	-5.784
MORF_RFC4 MORF_RFC4	-4.172	3.335	3.335	8.396	0.850	-2.320	1.751	-0.959	-5.083	-6.297	-4.204
MORF_ANP32B MORF_ANP32B	-6.951	-0.713	1.676	3.359	3.039	-2.719	6.440	1.676	-0.891	-5.926	-6.996
MORF_TPT1 MORF_TPT1	-4.242	-4.242	-1.861	-0.771	1.379	-2.437	7.823	10.466	0.347	-1.861	-3.211
MORF_CDC10 MORF_CDC10	-3.990	-0.370	6.196	3.578	1.157	-4.887	1.911	2.204	-1.410	-6.087	-6.122
MORF_EIF4A2 MORF_EIF4A2	-5.751	-1.563	1.615	1.615	2.193	-3.004	5.321	4.862	-1.233	-4.574	-5.784
MORF_DAP3 MORF_DAP3	-3.641	-0.408	2.843	6.186	1.524	-4.258	2.843	2.266	-1.868	-4.258	-8.198
MORF_DNMT1 MORF_DNMT1	-3.800	0.941	2.341	9.872	0.941	-2.990	2.695	-0.830	-3.800	-4.912	-3.826
GNF2_EIF3S6 GNF2_EIF3S6	-3.915	-3.915	-0.482	0.263	2.557	-1.933	5.071	8.916	0.377	-3.915	-5.067
MORF_HAT1 MORF_HAT1	-5.992	0.789	4.468	9.701	1.598	-2.994	0.963	-0.911	-1.407	-5.022	-3.595
MORF_AP3D1 MORF_AP3D1	-5.415	-0.814	1.097	4.474	1.877	-3.414	5.399	1.877	-1.372	-4.263	-5.446
MORF_NME2 MORF_NME2	-4.319	-2.956	-0.348	0.358	3.152	-4.319	7.019	6.523	0.358	-3.574	-3.604
MORF_CTBP1 MORF_CTBP1	-4.799	-0.486	1.083	3.275	2.618	-3.369	7.050	0.726	-0.486	-4.799	-7.053
MORF_RPA2 MORF_RPA2	-5.699	0.533	4.326	2.955	2.363	-4.865	3.610	0.987	-1.493	-4.865	-4.904
MORF_PPP2CA MORF_PPP2CA	-4.186	-0.581	1.657	5.061	1.147	-5.331	4.600	1.390	-0.779	-4.186	-5.362
MORF_RAD21 MORF_RAD21	-4.405	0.336	2.230	5.851	1.052	-3.146	3.486	1.959	-1.837	-6.191	-5.248
MORF_RRM1 MORF_RRM1	-4.242	1.113	1.997	9.775	0.876	-2.437	1.997	-1.409	-2.437	-4.242	-3.211
GCM_ACTG1 GCM_ACTG1	-5.163	-0.711	0.811	3.549	1.791	-2.547	4.405	3.153	-1.587	-4.031	-5.193
GCM_MYST2 GCM_MYST2	-2.008	0.841	7.323	5.466	0.414	-5.873	0.537	0.679	-1.084	-3.466	-5.912
GNF2_RAN GNF2_RAN	-3.574	0.809	5.246	8.353	0.597	-2.588	-0.325	-0.325	-3.574	-3.574	-2.606
GNF2_RRM1 GNF2_RRM1	-1.969	2.670	2.274	6.214	1.573	-3.657	0.762	-1.450	-2.663	-3.657	-3.679
MORF_EI24 MORF_EI24	-4.770	0.371	1.469	5.925	2.316	-3.170	4.555	-0.465	-2.584	-2.584	-3.911
MORF_PTPN11 MORF_PTPN11	-3.417	0.561	3.629	5.549	0.956	-3.417	2.807	-0.465	-2.044	-4.493	-3.441
MORF_RAB1A MORF_RAB1A	-4.124	-0.370	0.326	0.681	0.834	-4.124	6.433	5.993	0.427	-3.516	-4.868
MORF_UBE2N MORF_UBE2N	-3.950	-0.446	4.016	4.507	0.819	-2.925	4.016	-0.301	-2.201	-3.950	-2.945
MORF_EIF3S6 MORF_EIF3S6	-3.954	-1.961	0.853	1.067	3.256	-0.906	4.087	3.256	-0.677	-5.080	-5.109
GNF2_DAP3 GNF2_DAP3	-4.996	-0.867	2.257	1.637	0.531	-1.904	2.971	3.775	0.389	-4.996	-5.025
GNF2_FBL GNF2_FBL	-4.926	-0.274	2.478	1.133	1.878	-2.207	3.159	2.478	-0.380	-4.926	-6.164
MORF_FBL MORF_FBL	-3.773	-0.768	2.433	4.305	3.122	-2.493	3.891	0.292	-2.013	-3.773	-3.802
MODULE_92 MODULE_92	-0.292	-1.838	-1.176	-4.099	0.711	9.137	-3.371	-4.099	-0.713	2.097	3.033
GNF2_PA2G4 GNF2_PA2G4	-2.329	1.283	2.766	5.916	2.346	-2.329	0.367	-0.842	-3.282	-3.282	-3.301
MORF_RAF1 MORF_RAF1	-4.577	-0.345	2.707	3.097	0.528	-3.493	3.946	0.909	-0.345	-3.493	-4.604
MORF_PSMC1 MORF_PSMC1	-6.630	-0.270	0.696	1.893	1.650	-4.090	4.810	3.357	-0.609	-2.960	-2.991
MORF_RAD54L MORF_RAD54L	-1.922	1.602	3.436	4.345	1.602	-3.265	1.058	-0.585	-1.922	-4.326	-4.351
GCM_APEX1 GCM_APEX1	-3.646	-0.756	0.820	4.604	1.552	-2.230	3.284	2.171	-1.336	-3.646	-4.772
GCM_CSNK2B GCM_CSNK2B	-3.075	-1.771	0.950	2.884	0.730	-3.075	6.328	1.788	-0.506	-3.075	-4.141
GNF2_SMC4L1 GNF2_SMC4L1	-3.490	2.901	2.901	4.868	1.117	-3.490	0.638	-1.337	-1.838	-2.514	-2.532
MORF_TERF2IP MORF_TERF2IP	-4.828	0.440	0.778	4.016	0.988	-3.723	3.176	0.988	0.312	-2.920	-4.856
MORF_ERH MORF_ERH	-4.786	-0.567	2.472	2.839	2.839	-2.262	2.839	0.799	-1.361	-3.685	-3.710
MORF_MAP2K2 MORF_MAP2K2	-4.341	-0.850	0.374	4.795	1.279	-2.253	6.242	0.374	-0.473	-1.419	-5.531
GNF2_RBBP6 GNF2_RBBP6	-2.948	1.264	4.916	2.377	1.264	-2.948	0.328	0.714	-2.948	-2.948	-2.965
GNF2_HDAC1 GNF2_HDAC1	-3.493	0.909	4.406	0.909	1.401	-4.577	2.707	1.141	-2.106	-2.711	-3.517
GNF2_APEX1 GNF2_APEX1	-3.824	0.892	7.648	3.748	0.337	-2.101	0.489	-0.589	-0.834	-3.824	-2.832
MORF_RAD23B MORF_RAD23B	-3.628	0.269	0.926	2.627	2.051	-4.300	4.364	2.330	-1.767	-2.135	-4.335
GCM_MLL GCM_MLL	-4.195	2.435	1.877	4.521	0.806	-5.953	1.392	0.512	-1.387	-0.895	-4.229
GCM_DFFA GCM_DFFA	-1.691	1.147	4.158	3.336	0.421	-5.331	0.565	1.657	-1.024	-3.343	-4.214
MORF_PRKAR1A MORF_PRKAR1A	-3.170	-1.056	-0.339	0.818	1.013	-3.170	5.925	5.925	-0.465	-2.096	-3.911
MORF_PCNA MORF_PCNA	-3.449	0.314	6.733	3.902	1.148	-1.806	0.468	-0.652	-1.309	-3.449	-2.494
GCM_UBE2N GCM_UBE2N	-1.258	0.813	4.819	3.242	0.647	-6.381	0.502	0.813	-0.776	-1.571	-5.196
MORF_CCNI MORF_CCNI	-3.657	-2.663	0.762	2.670	1.908	-1.450	3.096	2.274	-0.521	-2.663	-3.679
MORF_PPP1CA MORF_PPP1CA	-4.799	-0.815	0.895	1.766	2.618	-3.369	4.001	2.315	-0.486	-2.340	-3.400
MORF_TPR MORF_TPR	-6.129	2.478	1.608	1.360	0.446	-4.926	2.478	1.133	-0.515	-0.887	-3.332
GCM_NPM1 GCM_NPM1	-2.920	-1.385	-0.417	0.988	0.440	-1.791	4.943	5.953	0.440	-2.920	-3.749
GCM_RAB10 GCM_RAB10	-2.033	0.301	3.104	2.779	0.664	-5.913	3.807	0.823	-0.879	-2.450	-3.530
MORF_JUND MORF_JUND	-2.657	-2.657	-1.785	-0.329	2.819	-0.527	3.317	5.016	0.275	-1.785	-2.672
MORF_TERF1 MORF_TERF1	-2.740	-0.860	3.681	3.681	0.849	-2.740	1.464	0.849	-1.272	-2.740	-2.756
GCM_TPT1 GCM_TPT1	-2.907	-2.001	-2.001	-0.421	-0.263	-0.961	5.623	6.262	1.000	-1.394	-2.015
MORF_ESPL1 MORF_ESPL1	-2.532	0.730	2.102	5.340	2.102	-1.678	0.730	-1.678	-1.678	-2.532	-2.546
MORF_DEAF1 MORF_DEAF1	-1.537	-0.645	1.154	4.512	1.906	-2.365	3.353	-0.645	-2.365	-2.365	-2.379
MORF_CDC16 MORF_CDC16	-2.146	-0.313	2.631	2.631	3.085	-3.073	1.823	-0.732	-0.732	-3.073	-3.091
MORF_BECN1 MORF_BECN1	-3.303	-0.601	0.808	2.575	1.032	-4.368	2.212	2.963	0.312	-3.303	-2.560
MODULE_152 MODULE_152	-2.019	-0.711	-0.711	0.343	1.019	-1.587	9.844	0.630	0.811	-1.233	-5.193
MORF_PAPSS1 MORF_PAPSS1	-1.892	-0.568	2.302	3.072	1.085	-3.227	3.072	0.853	-1.075	-2.471	-4.309
GNF2_FEN1 GNF2_FEN1	-2.323	3.438	1.194	2.414	1.194	-2.323	1.194	-0.622	-2.323	-2.323	-2.337
MORF_CUL1 MORF_CUL1	-2.948	-0.987	1.969	3.804	0.328	-2.037	2.377	1.969	-1.425	-2.037	-2.965
MORF_BMI1 MORF_BMI1	-3.323	-0.397	3.627	1.248	0.969	-1.709	4.132	0.521	-2.366	-2.366	-2.383
GNF2_CCNA2 GNF2_CCNA2	-1.928	1.066	3.022	4.619	1.066	-1.928	0.561	-0.606	-1.928	-2.823	-2.840
GNF2_CENPF GNF2_CENPF	-1.714	1.288	3.476	4.026	0.973	-2.573	0.479	-1.152	-1.152	-2.573	-2.588
MODULE_289 MODULE_289	0.343	-1.587	-2.019	-1.233	-0.523	6.893	-3.201	-2.547	-0.263	0.811	4.364
