GO	[-5.24 -0.48]	[-0.48 -0.23]	[-0.23 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.35]	[0.35 0.71]	[0.71 4.85]
HP_SLOPING_FOREHEAD HP_SLOPING_FOREHEAD	-3.788	1.514	7.845	0.700	-0.533	-3.149	0.700	0.310	0.549	-0.898	-3.844
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-0.877	0.642	0.293	2.392	1.598	-4.642	2.110	1.598	-0.693	-2.374	-2.423
HP_ABNORMALITY_OF_THE_MITOCHONDRION HP_ABNORMALITY_OF_THE_MITOCHONDRION	-2.480	-0.301	-0.695	0.832	1.679	-4.211	5.100	1.216	-0.301	-0.536	-1.734
HP_INCREASED_CSF_LACTATE HP_INCREASED_CSF_LACTATE	-3.133	0.373	0.249	2.104	0.930	-4.184	3.730	0.527	-0.737	-0.737	-0.755
HP_ERYTHROID_HYPOPLASIA HP_ERYTHROID_HYPOPLASIA	-1.037	-1.037	-1.037	-1.037	-0.222	-1.037	1.153	5.378	1.666	-1.037	-0.498
HP_LACTIC_ACIDOSIS HP_LACTIC_ACIDOSIS	-1.132	1.193	0.293	0.293	1.412	-6.022	4.225	0.515	-0.309	-0.903	-1.438
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	-2.602	0.421	0.278	-0.490	2.398	-2.602	5.314	0.421	-0.325	-1.010	-1.425
HP_PRENATAL_MATERNAL_ABNORMALITY HP_PRENATAL_MATERNAL_ABNORMALITY	2.113	1.068	-1.652	-1.025	-2.548	0.684	-1.652	-2.548	-0.442	2.113	2.711
HP_LEUKODYSTROPHY HP_LEUKODYSTROPHY	-1.904	0.335	0.335	1.653	0.653	-3.248	4.983	-1.445	-0.570	0.653	-1.473
HP_ABNORMAL_SPUTUM HP_ABNORMAL_SPUTUM	0.435	-0.301	-1.152	-0.854	-0.438	0.302	-1.996	-1.996	-0.854	1.547	7.444
HP_MYELODYSPLASIA HP_MYELODYSPLASIA	-1.418	1.121	0.673	-0.385	1.121	-4.269	2.018	1.121	0.882	-1.873	-1.905
HP_LOW_ANTERIOR_HAIRLINE HP_LOW_ANTERIOR_HAIRLINE	0.634	-0.814	0.835	0.324	0.324	-2.522	1.327	4.407	-0.279	-3.287	-1.967
HP_SIMPLIFIED_GYRAL_PATTERN HP_SIMPLIFIED_GYRAL_PATTERN	-1.996	1.188	2.507	3.044	-0.451	-1.229	-0.451	0.852	-1.996	-1.229	-0.770
HP_LEUKEMIA HP_LEUKEMIA	-1.377	0.486	0.806	0.257	1.001	-6.056	1.218	1.722	1.001	-1.084	-1.113
HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL	-0.912	-0.912	-0.912	-0.912	0.217	-0.912	0.876	5.088	1.361	-0.912	-0.412
HP_NORMOCHROMIC_ANEMIA HP_NORMOCHROMIC_ANEMIA	-1.286	-0.672	-1.286	-0.672	-0.341	-1.286	2.280	3.578	1.729	-0.672	-0.681
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR	-1.078	-0.520	-0.520	-1.078	-0.240	-1.078	0.686	6.097	1.092	-1.078	-0.528
HP_ABNORMAL_NEUTROPHIL_COUNT HP_ABNORMAL_NEUTROPHIL_COUNT	-2.188	1.107	-0.599	0.467	-0.345	-3.708	2.962	1.315	1.543	-0.345	-2.234
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL	-1.203	-0.299	-1.203	-1.203	-0.299	-1.203	0.574	5.477	1.371	-0.299	-0.619
HP_ABNORMAL_CSF_METABOLITE_LEVEL HP_ABNORMAL_CSF_METABOLITE_LEVEL	-1.890	0.402	-0.321	1.996	0.925	-3.868	3.468	0.724	-0.853	-0.632	-1.156
HP_CAFE_AU_LAIT_SPOT HP_CAFE_AU_LAIT_SPOT	-2.243	1.320	0.684	1.581	1.083	-2.243	2.506	0.273	-0.331	-1.406	-2.842
HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE	-0.641	-1.245	-0.641	-0.641	-0.320	-1.245	1.307	5.292	0.884	-1.245	-0.326
HP_ABNORMAL_CAROTID_ARTERY_MORPHOLOGY HP_ABNORMAL_CAROTID_ARTERY_MORPHOLOGY	-0.547	1.178	1.896	-0.547	0.882	-2.708	-1.246	-1.246	-0.344	3.268	-1.266
HP_ABNORMALITY_OF_BONE_MARROW_CELL_MORPHOLOGY HP_ABNORMALITY_OF_BONE_MARROW_CELL_MORPHOLOGY	-4.211	1.014	0.301	1.437	-0.695	-2.971	2.517	0.405	1.014	-0.301	-0.720
HP_ADENOCARCINOMA_OF_THE_INTESTINES HP_ADENOCARCINOMA_OF_THE_INTESTINES	-0.430	-1.453	-0.430	-0.218	-0.430	-1.453	1.035	5.264	0.682	-1.453	-0.438
HP_OPTIC_NEUROPATHY HP_OPTIC_NEUROPATHY	-1.542	0.380	-1.009	0.590	2.363	-2.373	2.851	-0.646	-0.234	0.590	-1.562
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I	-1.297	0.318	0.318	-0.285	1.892	-2.080	4.678	-0.285	-0.493	-0.811	-1.315
HP_PROGRESSIVE_MICROCEPHALY HP_PROGRESSIVE_MICROCEPHALY	-2.341	0.368	1.973	1.615	-0.383	-2.341	1.973	0.753	-0.383	-0.846	-1.711
HP_PANCYTOPENIA HP_PANCYTOPENIA	-2.696	0.271	0.547	1.447	-0.915	-2.090	2.792	-1.223	2.066	0.271	-0.690
HP_ACUTE_LEUKEMIA HP_ACUTE_LEUKEMIA	-1.904	-0.398	0.653	-0.398	0.858	-4.311	1.653	1.359	1.359	-0.794	-0.587
HP_MULTIPLE_CAFE_AU_LAIT_SPOTS HP_MULTIPLE_CAFE_AU_LAIT_SPOTS	-1.097	0.521	1.046	-0.716	2.636	-2.498	1.046	0.331	0.521	-0.452	-2.524
HP_WHEEZING HP_WHEEZING	0.882	0.398	-2.331	-0.382	-0.623	0.398	-0.980	-1.507	-0.623	0.398	5.250
HP_THROMBOCYTOSIS HP_THROMBOCYTOSIS	-2.080	-1.297	-0.285	-0.493	-0.285	-0.811	1.102	3.434	2.361	-0.811	-0.825
HP_LOWER_LIMB_SPASTICITY HP_LOWER_LIMB_SPASTICITY	-0.470	-0.947	0.436	1.406	1.013	-3.889	2.399	0.554	1.201	-1.416	-1.749
HP_WIDE_MOUTH HP_WIDE_MOUTH	-0.640	0.348	3.165	0.767	-0.258	-3.020	0.949	0.949	0.606	-1.658	-2.536
HP_PURE_RED_CELL_APLASIA HP_PURE_RED_CELL_APLASIA	-1.037	-1.037	-1.037	-0.222	-0.222	-0.491	0.728	4.493	1.153	-1.037	-0.498
HP_MACROCYTIC_ANEMIA HP_MACROCYTIC_ANEMIA	-1.684	-1.126	-0.740	-0.286	0.732	-1.126	2.116	3.059	1.011	-1.684	-0.482
HP_LISSENCEPHALY HP_LISSENCEPHALY	-1.041	0.621	2.217	3.580	-0.814	-2.461	0.479	0.479	0.259	-1.041	-1.671
HP_POSTNATAL_MICROCEPHALY HP_POSTNATAL_MICROCEPHALY	-2.490	0.348	1.379	1.154	0.606	-2.490	1.626	1.379	-0.358	-0.640	-2.082
HP_LETHARGY HP_LETHARGY	-0.974	0.440	-1.778	-0.614	0.861	-3.001	1.928	3.434	0.562	-0.614	-0.496
HP_BONE_MARROW_HYPERCELLULARITY HP_BONE_MARROW_HYPERCELLULARITY	-0.520	-1.078	0.686	-0.240	-1.078	-1.078	1.092	-1.078	3.529	0.686	-0.528
HP_ABNORMAL_AORTIC_VALVE_MORPHOLOGY HP_ABNORMAL_AORTIC_VALVE_MORPHOLOGY	-2.032	1.321	2.470	0.701	0.701	-2.517	-1.288	-0.310	-0.773	1.575	-0.796
HP_NASAL_OBSTRUCTION HP_NASAL_OBSTRUCTION	2.159	0.457	-2.205	-0.332	-1.401	0.457	-0.895	-1.401	-0.332	0.457	2.606
HP_ACUTE_MYELOID_LEUKEMIA HP_ACUTE_MYELOID_LEUKEMIA	-0.888	0.239	-0.374	-0.587	0.584	-2.792	1.795	1.795	1.795	-0.888	-1.328
HP_AIRWAY_OBSTRUCTION HP_AIRWAY_OBSTRUCTION	0.428	0.598	-0.462	-0.923	-1.692	0.428	-1.692	-0.462	-0.662	0.290	6.043
HP_RENAL_SALT_WASTING HP_RENAL_SALT_WASTING	1.361	-0.912	-0.912	-0.912	0.876	2.607	-0.406	-0.912	-0.912	-0.406	0.864
HP_PERIPHERAL_ARTERIAL_STENOSIS HP_PERIPHERAL_ARTERIAL_STENOSIS	-0.320	0.541	-0.320	-0.641	0.283	-1.245	-1.245	-1.245	0.884	4.472	-0.326
HP_ABNORMALITY_OF_HEPATOBILIARY_SYSTEM_PHYSIOLOGY HP_ABNORMALITY_OF_HEPATOBILIARY_SYSTEM_PHYSIOLOGY	-2.258	0.389	1.550	0.779	1.129	-4.319	0.945	1.129	-0.531	-0.531	-0.554
HP_ABNORMAL_MACROPHAGE_MORPHOLOGY HP_ABNORMAL_MACROPHAGE_MORPHOLOGY	-1.370	-0.385	-0.385	-0.734	-1.370	0.231	-0.734	1.135	-0.734	3.330	1.565
HP_ABNORMALITY_OF_THE_FRONTAL_HAIRLINE HP_ABNORMALITY_OF_THE_FRONTAL_HAIRLINE	1.377	-0.381	0.448	0.588	0.448	-3.338	0.937	2.519	-0.517	-1.446	-1.842
HP_ABNORMALITY_OF_THE_PULMONARY_VEINS HP_ABNORMALITY_OF_THE_PULMONARY_VEINS	-0.300	0.465	-3.044	-0.300	-1.043	0.465	0.302	-1.494	-0.300	0.914	3.632
HP_HEMOPTYSIS HP_HEMOPTYSIS	-0.260	-0.693	-0.260	-1.067	0.543	-0.434	-1.613	-1.067	-0.693	1.423	4.911
HP_GLIOSIS HP_GLIOSIS	-0.573	0.507	1.797	-0.816	1.797	-1.133	2.536	-1.133	0.350	-1.545	-1.571
HP_FOCAL_T2_HYPERINTENSE_BRAINSTEM_LESION HP_FOCAL_T2_HYPERINTENSE_BRAINSTEM_LESION	-1.328	0.247	0.247	0.796	1.656	-1.328	2.790	-0.363	-0.363	-0.703	-1.342
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME HP_INCREASED_MEAN_CORPUSCULAR_VOLUME	-0.927	-0.283	-1.620	0.556	0.556	-0.927	0.556	3.312	0.862	-1.620	-0.534
HP_PALLOR HP_PALLOR	-2.999	-1.949	-0.723	0.754	-0.282	-0.723	0.947	1.403	2.947	-0.396	-0.294
HP_ABNORMAL_BREATH_SOUND HP_ABNORMAL_BREATH_SOUND	0.858	-0.269	-2.488	-0.794	-0.398	0.479	-1.445	-0.398	-0.570	0.479	4.910
HP_CORTICAL_DYSPLASIA HP_CORTICAL_DYSPLASIA	0.683	0.327	1.835	0.486	-1.782	-3.423	-0.277	1.835	-0.635	-0.635	0.316
HP_OPTIC_DISC_PALLOR HP_OPTIC_DISC_PALLOR	-0.756	-0.301	0.718	1.115	0.904	-3.066	2.511	-0.756	0.904	-0.569	-2.043
HP_SINGLE_TRANSVERSE_PALMAR_CREASE HP_SINGLE_TRANSVERSE_PALMAR_CREASE	0.310	2.341	1.514	2.045	-1.421	-2.609	0.419	0.310	-0.698	-1.137	-0.925
HP_ABNORMAL_GLIAL_CELL_MORPHOLOGY HP_ABNORMAL_GLIAL_CELL_MORPHOLOGY	-1.377	0.257	2.313	0.634	1.001	-1.727	2.989	-0.841	-0.479	-1.084	-1.113
HP_CHERRY_RED_SPOT_OF_THE_MACULA HP_CHERRY_RED_SPOT_OF_THE_MACULA	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	1.879	3.774	0.185
HP_GENERALIZED_HYPERPIGMENTATION HP_GENERALIZED_HYPERPIGMENTATION	1.004	-0.651	-1.093	-1.829	1.379	0.432	1.811	-0.651	0.687	0.240	-1.848
HP_PALMOPLANTAR_KERATODERMA HP_PALMOPLANTAR_KERATODERMA	1.122	-0.912	-2.766	-1.166	0.734	2.479	1.122	-1.166	0.320	-1.166	0.888
HP_PROMINENT_NASAL_BRIDGE HP_PROMINENT_NASAL_BRIDGE	0.262	-0.588	2.856	1.077	-0.344	-3.470	0.732	1.496	-0.588	-0.941	-1.201
HP_NONIMMUNE_HYDROPS_FETALIS HP_NONIMMUNE_HYDROPS_FETALIS	-0.318	0.503	-0.993	-0.318	-0.574	-1.703	0.285	4.408	1.135	-0.574	-1.007
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE HP_ABNORMALITY_OF_THE_THENAR_EMINENCE	0.303	-0.610	-1.203	-1.203	-0.299	-0.610	0.574	3.851	1.371	-0.610	-0.619
HP_SANDAL_GAP HP_SANDAL_GAP	-1.557	1.130	2.174	1.441	-0.756	-2.193	0.277	-0.327	-1.096	1.130	-0.772
HP_CHRONIC_RHINITIS HP_CHRONIC_RHINITIS	0.436	0.436	-2.247	0.259	-1.436	0.667	-0.923	-0.923	0.259	0.436	3.599
HP_INFERTILITY HP_INFERTILITY	1.788	-0.326	-1.686	-1.686	0.614	2.620	-1.686	-0.909	-0.326	-0.433	1.501
HP_SMALL_FACE HP_SMALL_FACE	0.504	2.204	1.884	0.254	-0.911	-1.197	1.589	0.254	-2.504	-0.911	-0.935
HP_Y_LINKED_INHERITANCE HP_Y_LINKED_INHERITANCE	-0.704	-0.272	0.332	-0.704	1.827	3.376	-0.704	-0.704	-0.272	-0.704	-0.276
HP_THICKENED_NUCHAL_SKIN_FOLD HP_THICKENED_NUCHAL_SKIN_FOLD	-0.348	-1.436	2.095	1.666	-1.436	-2.247	0.667	0.436	0.436	0.259	-0.591
