gene_name	log2FoldChange
TSPAN6	-0.0762384168598641
TNMD	0
DPM1	0.0835576890816066
SCYL3	0.153658859767059
C1orf112	-0.426943509198365
FGR	1.35028504708237
CFH	0.939636772506414
FUCA2	0.0845869256615262
GCLC	0.462924624825565
NFYA	-0.129957179982796
STPG1	0.64424269895599
NIPAL3	0.0395459997532988
LAS1L	-0.0286799233130115
ENPP4	0.878504251444239
SEMA3F	-0.0952795255145246
CFTR	-1.67192182918008
ANKIB1	-0.0087396600501969
CYP51A1	-0.000185032286675366
KRIT1	-0.0251233993162822
RAD52	-0.0819527088580764
MYH16	0.702519594506965
BAD	-0.126215883365433
LAP3	-0.431059088741095
CD99	-0.0873181551109681
HS3ST1	0.692136791106031
AOC1	2.52543601161799
WNT16	0
HECW1	0.988905967701666
MAD1L1	-0.630657284071869
LASP1	0.0924961055234975
SNX11	0.0480828677483939
TMEM176A	1.19692827090427
M6PR	0.41617561866899
KLHL13	-0.561415295679558
CYP26B1	2.54991756095083
ICA1	0.688056211265628
DBNDD1	0.526230809619663
ALS2	-0.237792386012994
CASP10	0.0490435795803612
CFLAR	0.147161639023073
TFPI	-0.229693528072704
NDUFAF7	-0.0770294707692881
RBM5	0.279891931492267
MTMR7	-0.719690584967387
SLC7A2	-0.625074695458291
ARF5	-0.0377259056207862
SARM1	0.166808476995179
POLDIP2	-0.381803024129773
PLXND1	1.39158364771645
AK2	-0.192022907075363
CD38	-0.045326626459077
FKBP4	-0.15192799772978
KDM1A	-0.0885417613393449
RBM6	-0.172253505051801
CAMKK1	-0.515229341959499
RECQL	-0.0668724671385979
VPS50	-0.229495908404628
HSPB6	0.628873546835836
ARHGAP33	-0.133967999628364
NDUFAB1	-0.162380542443916
PDK4	1.14682418758278
SLC22A16	-0.440224913007727
ZMYND10	1.30797398822804
ABCB5	-0.659350411535031
ARX	5.16660201895237
SLC25A13	-0.372397131627919
ST7	-0.145714594711421
CDC27	-0.298919117702986
SLC4A1	-0.807252397098146
CALCR	0
HCCS	-0.0170471725200017
DVL2	0.275417103015236
PRSS22	0
UPF1	-0.314101271968881
SKAP2	0.211771666416523
SLC25A5	0.00716644968480735
MCUB	0.511169510257702
HOXA11	0.141063601603168
POLR2J	0.215467773903669
DHX33	-0.465342965403393
MEOX1	0
THSD7A	0.396628023003127
LIG3	-0.271422716564903
RPAP3	0.258003491859735
ACSM3	1.58523539361575
REXO5	-0.0216212978822081
CIAPIN1	-0.187488839143004
SPPL2B	-0.403070714452756
FAM214B	0.05130380494354
COPZ2	-0.142375305109169
PRKAR2B	0.119718182349604
MSL3	0.158594436102548
CREBBP	0.0928560422979333
TSPOAP1	-0.449617757813129
MPO	-0.735973827072998
PON1	0
GCFC2	0.214689779431002
WDR54	0.478026142701349
CROT	0.00426368156878976
ABCB4	0.61771339438202
KMT2E	0.235031287165143
RHBDD2	-0.773226583010857
SOX8	0.273956127514883
IBTK	0.0108884975068666
ZNF195	-0.193740111210204
MYCBP2	0.119430443028159
FBXL3	0.0787761825328685
ITGAL	1.07862732171869
PDK2	0.41502686474514
ITGA3	0.941061564273986
ZFX	-0.0605976349402421
LAMP2	0.103625104564425
ITGA2B	0.113648169751096
ASB4	1.48279964791037
GDE1	0.125319656662661
REX1BD	0.091589524518054
CRLF1	0.100070885303978
OSBPL7	-1.05865279962917
TMEM98	-0.753114438818857
YBX2	0.619690005246863
KRT33A	0
MAP3K14	1.00825448437895
ABCC8	1.71164752488401
CACNG3	0
TMEM132A	0.0461441362332413
AP2B1	0.455396481124308
TAC1	0
ZNF263	-0.343307167744948
CX3CL1	-1.09818762703663
SPATA20	-0.0317600510307311
CACNA1G	0.512376350825635
TNFRSF12A	0.660180352388597
DLX6	-1.10704956338864
MAP3K9	1.51515558709221
RALA	0.0335798468217404
BAIAP2L1	-1.52273440613735
KDM7A	0.166936587777187
ETV1	-0.125591784338787
AGK	-0.330047534084178
ALDH3B1	0.337248105941839
TTC22	-0.783493805904545
PHTF2	-0.337655707476044
CCL26	0
FARP2	-0.440349817043338
USH1C	2.60635650929042
GGCT	-0.145003581809946
DBF4	0.0333223798736935
TBXA2R	-0.0858431382771274
IFRD1	-0.118448807747406
LGALS14	0
COX10	-0.0558443637461583
GTF2IRD1	-0.48533123532588
PAF1	-1.24249931151867
VPS41	-0.468092776291653
ARHGAP44	0.330540666860725
ELAC2	-0.0545412156065029
SCIN	2.48731252258566
ARSD	-0.359315976598125
PNPLA4	-0.0515184415969388
MYH13	0
ADIPOR2	-0.0505283417001176
CDKL3	-0.196177303188694
UPP2	0.713340849929058
PRSS21	2.44530956571515
MARK4	-0.092076728939871
PROM1	0
CCDC124	-0.0959241590725182
CEACAM21	-0.349538137687552
PAFAH1B1	-0.110924653950249
NOS2	0.882093865678936
DNAH9	1.36999811203178
KIAA0100	-0.340784056676721
SLC13A2	0
GAS7	0.0606578824332252
TRAPPC6A	-0.205321812015282
MATK	-0.856590618625778
CEACAM7	0
CD79B	1.13163632479891
SCN4A	-3.78439470065093
ST7L	0.314975940001879
TKTL1	1.01454717654636
PAX6	-0.710216898475051
RPUSD1	-0.371421074273599
RHBDF1	0.507363210537206
LUC7L	0.0177160756568563
CACNA2D2	-0.481719829871383
BAIAP3	2.48378518454256
TSR3	-0.110725884657362
PIGQ	-1.37694329166966
CRAMP1	0.196732694884039
TEAD3	-0.0247536125419691
SELE	0
DNAJC11	-0.33024054900903
FMO3	0.642545372916824
MYLIP	0.350233679311138
NOX1	0
E2F2	-0.312569238956979
PSMB1	-0.0875515786870722
SYN1	0.554316598943377
JARID2	-0.17872398228238
CDKL5	0.31322205735969
CAMK1G	0
CDK11A	0.168391286070819
NADK	-0.122242324858504
TFAP2B	0
TFAP2D	0
DLEC1	1.10006575891934
CYTH3	0.473927460490633
ADAM22	-0.410138856829175
SYPL1	0.138036688808807
CYB561	-0.350756356055597
SPAG9	-0.218682364670854
CELSR3	0.209034595779386
AASS	1.24070480690024
PLEKHG6	0.0661980104610546
SS18L2	-0.251800663534303
MPND	0.134554764265641
MGST1	0.396210885772897
CRY1	0.0619547717356211
PGLYRP1	0
NFIX	0.0266586734453567
ST3GAL1	0.205136123616806
MMP25	0.303303725416565
IL32	4.09720081576005
PKD1	-1.02641043595406
MAPK8IP2	0.0638440423381334
MED24	-0.449850339602349
RHOBTB2	0.619636283989339
HEATR5B	-0.0308750332072749
SEC62	-0.00872864286829977
RPS20	-0.0731273326304429
CSDE1	-0.0787005402789483
UBE3C	-0.102136812111166
REV3L	-0.463385908778122
TENM1	-0.199304185293374
PAX7	0
MASP2	-0.996019804907206
IYD	-0.826733278534536
FAM76A	0.0181602455827207
TRAF3IP3	0.157127782736556
POMT2	-0.398399903918503
VTA1	0.0137633659517021
MLXIPL	-0.026142714646547
BAZ1B	0.0226732104598192
RANBP9	0.233102831345312
ETV7	-0.760506065882921
SPRTN	0.30727562220041
EEF1AKNMT	0.128489260474838
DYRK4	-0.547364320814951
ZNF207	-0.0688853856624897
UQCRC1	0.216016431035245
STARD3NL	-0.0529420736529433
CD9	1.63920981073912
HHATL	0
NCAPD2	-0.073262442831973
IFFO1	0.0641215773755165
GIPR	0.803432165587861
PHF7	0.191109589930286
SEMA3G	0.418739893009651
NISCH	0.21149087820479
STAB1	2.02998583970929
FUZ	-0.0779975377841722
SLC6A13	0
IDS	0.491621496164204
PRSS3	0
ZNF200	-0.031831989685949
CD4	0.0475725764772183
LRRC23	-0.420819048023526
BTK	-0.0173411187707148
HFE	0.390377083917928
SCMH1	-0.456020591318258
FYN	1.08078294692338
HIVEP2	1.2138383232456
