GO	[-5.76 -0.55]	[-0.55 -0.28]	[-0.28 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.24]	[0.24 0.48]	[0.48 1.00]	[1.00 24.36]
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.796	-2.704	-4.218	-3.373	8.092	19.300	-1.346	-3.373	-2.161	-0.595	-0.441
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-0.986	-2.036	-2.036	-2.946	6.133	19.764	-0.437	-2.946	-2.946	-1.424	-2.044
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-1.681	-2.959	-2.232	-3.987	6.594	16.873	-0.659	-2.232	-2.232	-0.918	0.287
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-5.534	1.060	2.783	5.710	-0.742	-7.837	3.424	2.206	-0.343	-3.414	-6.560
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	-0.382	-1.198	-2.327	-3.279	5.307	17.732	-0.577	-3.279	-2.327	-1.198	-1.684
REACTOME_CD22_MEDIATED_BCR_REGULATION REACTOME_CD22_MEDIATED_BCR_REGULATION	-1.677	-2.530	-2.530	-2.530	4.703	17.286	-0.287	-1.677	-2.530	-1.122	-0.743
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	-0.626	-1.963	-1.963	-2.863	5.102	16.226	-0.626	-2.863	-1.963	-1.363	-0.631
REACTOME_DEFENSINS REACTOME_DEFENSINS	-2.115	-2.115	-1.328	-2.115	6.620	13.765	-0.513	-1.328	-2.115	-1.328	-1.334
REACTOME_FCGR_ACTIVATION REACTOME_FCGR_ACTIVATION	-1.363	-1.363	-1.363	-2.863	4.515	17.215	-0.405	-1.363	-2.863	-1.363	-1.370
REACTOME_COMPLEMENT_CASCADE REACTOME_COMPLEMENT_CASCADE	0.468	-1.335	-2.846	-1.733	3.690	14.594	0.468	-3.641	-3.641	-0.756	-1.021
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	-1.424	-1.424	-1.424	-2.036	3.796	15.756	-0.437	-0.437	-2.036	-2.036	-1.432
REACTOME_S_PHASE REACTOME_S_PHASE	-3.170	3.903	2.842	6.008	-0.923	-5.506	0.662	0.825	-1.163	-1.782	-4.587
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-2.259	5.490	2.090	5.490	-1.476	-6.202	0.710	0.555	-0.922	-2.259	-3.382
