GO	[-6.85 -0.56]	[-0.56 -0.30]	[-0.30 -0.16]	[-0.16 -0.05]	[-0.05 0.00]	[0.00 0.02]	[0.02 0.14]	[0.14 0.29]	[0.29 0.54]	[0.54 1.07]	[1.07 8.49]
MIR142_3P MIR142_3P	-1.425	0.486	0.276	1.805	-3.015	-2.103	4.378	0.618	0.276	-0.927	0.279
GTGCCAT_MIR183 GTGCCAT_MIR183	-0.395	-0.395	2.197	0.535	-2.415	-2.003	3.464	0.836	-0.522	0.309	-1.994
MIR520F_5P MIR520F_5P	-1.592	-0.428	0.368	1.465	-1.592	-2.681	3.050	0.736	-1.318	1.465	0.280
AAGGGAT_MIR188 AAGGGAT_MIR188	-1.091	-0.506	-0.327	1.770	-0.327	-3.112	1.120	0.620	2.149	-1.549	-0.325
MIR4753_5P MIR4753_5P	0.440	-0.480	0.564	1.944	0.335	-1.231	1.944	0.440	0.706	-2.637	-3.125
TAATGTG_MIR323 TAATGTG_MIR323	-1.163	0.292	1.006	3.520	-0.556	-2.630	1.431	0.823	-0.923	-0.556	-1.157
ATACTGT_MIR144 ATACTGT_MIR144	0.463	0.584	-1.337	2.156	-0.889	-3.181	3.012	0.359	0.270	-0.437	-0.883
MIR4255 MIR4255	-1.670	-0.690	-0.301	2.164	0.522	-2.028	1.894	1.408	0.522	-0.534	-2.019
MIR4633_5P MIR4633_5P	-0.676	0.654	0.958	1.320	-1.124	-1.124	0.226	2.206	0.409	-1.124	-1.862
MIR302A_5P MIR302A_5P	-0.996	-0.495	0.415	4.662	-0.800	-2.547	0.317	0.663	0.981	-0.495	-0.795
MIR4718 MIR4718	1.310	0.461	0.827	-0.585	1.310	-3.260	-0.411	-0.810	-0.810	-1.098	1.915
GTCTTCC_MIR7 GTCTTCC_MIR7	-1.302	0.872	1.056	0.327	-0.375	-1.302	2.264	2.264	-1.602	-1.302	-0.824
MIR3960_MIR8072 MIR3960_MIR8072	0.304	-0.298	-0.298	-0.746	0.304	-0.746	0.304	-0.746	-0.746	-0.298	5.032
GAGCTGG_MIR337 GAGCTGG_MIR337	-2.172	0.823	-0.310	0.395	-0.923	-3.803	1.431	0.518	0.660	0.823	0.665
MIR6807_3P MIR6807_3P	0.380	-1.035	1.489	-0.454	0.274	-3.836	1.751	0.380	0.509	-1.319	0.839
MIR217_5P MIR217_5P	-0.442	-1.388	1.965	0.360	-0.572	-3.380	1.486	0.468	0.736	-1.133	0.904
MIR5087 MIR5087	-0.624	0.456	1.352	0.312	-1.202	-3.903	0.456	0.312	1.655	0.456	-0.430
MIR1227_3P MIR1227_3P	-1.549	0.428	-0.753	0.851	0.276	-0.753	0.851	-3.112	1.427	0.428	0.855
GCACCTT_MIR18A_MIR18B GCACCTT_MIR18A_MIR18B	-1.873	-0.456	-0.456	0.400	1.138	-3.019	0.717	2.634	0.281	0.400	-0.453
MIR6887_3P MIR6887_3P	-0.301	-0.399	-0.301	-0.517	-0.301	-3.596	1.537	-0.399	-0.301	-0.517	3.508
MIR892B MIR892B	-0.798	0.396	-0.355	1.682	-3.195	-0.541	0.578	0.798	0.253	1.351	-1.140
ACACTAC_MIR1423P ACACTAC_MIR1423P	-0.611	-0.321	0.282	1.867	-1.370	-1.741	2.845	1.327	-0.611	-0.611	-0.809
MIR4724_3P MIR4724_3P	-0.614	-0.266	-0.614	-0.266	-0.888	-0.888	2.232	3.540	-0.266	-1.740	-0.264
MIR504_3P MIR504_3P	-0.360	2.227	1.932	0.470	-0.360	-3.229	0.778	-0.652	-1.094	-0.258	-0.648
CACGTTT_MIR302A CACGTTT_MIR302A	-0.341	0.836	0.836	0.836	0.509	-1.285	-0.341	1.720	-0.671	-1.285	-1.282
MIR6849_3P MIR6849_3P	-0.798	-1.612	2.878	-1.145	-1.145	-0.355	1.351	0.798	0.798	-0.798	0.255
ATCATGA_MIR433 ATCATGA_MIR433	-2.227	0.817	0.333	1.032	1.275	-2.227	1.839	-0.272	-0.393	-0.552	-0.752
MIR1224_3P MIR1224_3P	-0.374	1.097	0.388	-0.374	-0.586	-1.891	2.175	0.818	-0.885	0.818	-1.886
MIR4796_5P MIR4796_5P	1.439	-0.733	-1.007	-0.360	1.742	-2.366	0.921	-1.007	-0.521	-0.360	1.446
MIR3064_3P MIR3064_3P	-1.222	0.268	-0.452	1.843	-1.513	-2.253	1.590	0.771	1.141	0.364	-0.763
MIR4776_3P MIR4776_3P	-0.543	1.026	-0.301	1.232	-0.543	-2.146	0.676	0.301	-1.757	-0.906	2.564
MIR4637 MIR4637	-0.470	-0.470	0.728	1.004	0.498	-1.123	-2.530	0.728	0.316	-1.123	1.695
TCCAGAT_MIR5165P TCCAGAT_MIR5165P	-0.651	-0.323	0.280	-0.465	-0.889	-2.638	2.792	0.742	1.192	0.559	-0.885
MIR6828_5P MIR6828_5P	-0.546	-0.894	1.864	0.292	1.171	-0.415	0.646	-1.693	1.864	-0.546	-2.044
