GO	[-4.89 -0.52]	[-0.52 -0.29]	[-0.29 -0.16]	[-0.16 -0.06]	[-0.06 0.00]	[0.00 0.04]	[0.04 0.15]	[0.15 0.31]	[0.31 0.57]	[0.57 1.14]	[1.14 7.50]
MODULE_92 MODULE_92	0.709	-0.927	-3.383	-4.113	2.725	1.549	-4.113	-3.383	-1.181	4.633	4.267
MODULE_239 MODULE_239	-2.459	-0.664	1.897	1.603	2.557	-1.939	4.603	0.262	-1.171	-2.459	-3.075
MODULE_324 MODULE_324	0.822	0.491	-1.830	-2.849	-0.659	0.255	-2.291	-1.830	-0.353	3.470	5.253
MODULE_180 MODULE_180	1.423	-1.440	-1.854	-2.364	-0.833	-0.312	-1.440	-0.616	-0.312	2.694	5.857
MODULE_244 MODULE_244	-0.921	2.835	2.533	2.248	0.468	-1.141	1.495	-1.696	-1.398	-2.039	-2.849
MODULE_298 MODULE_298	-0.241	-1.079	-1.079	-1.079	3.513	2.796	-1.079	-1.079	-1.079	-0.521	1.592
MODULE_183 MODULE_183	-1.825	0.261	0.877	1.505	1.505	0.877	1.170	0.422	-1.825	-2.703	-2.684
MODULE_345 MODULE_345	0.320	-0.401	-0.554	-2.084	0.445	0.595	-4.120	-1.284	-0.401	2.687	3.898
MODULE_436 MODULE_436	-0.293	-0.739	-0.739	-2.441	0.309	0.729	-3.712	-0.739	0.309	3.602	3.261
MODULE_68 MODULE_68	-0.241	-1.079	-1.079	-1.079	3.513	2.796	-1.079	-0.521	-1.079	-0.521	1.099
MODULE_122 MODULE_122	2.082	0.282	-0.788	-2.532	-0.788	-0.321	-0.597	-2.532	-1.022	3.449	2.763
MODULE_223 MODULE_223	-0.331	-2.076	-3.147	-0.331	-0.455	0.661	-1.041	-1.041	0.509	5.063	2.079
MODULE_292 MODULE_292	0.329	-0.386	-0.927	-2.381	-0.275	0.958	-2.381	-2.381	0.596	2.597	3.360
MODULE_433 MODULE_433	0.315	-0.740	-2.536	-0.740	-0.471	2.100	-1.125	-0.740	-1.125	1.005	4.750
MODULE_121 MODULE_121	0.541	-1.335	-3.083	-0.717	0.384	0.541	-1.777	-0.988	0.258	4.711	1.812
MODULE_297 MODULE_297	3.151	-1.714	-0.868	-2.372	0.520	2.705	-1.714	-1.230	-0.398	0.520	0.982
MODULE_357 MODULE_357	3.151	-1.714	-0.868	-2.372	0.725	2.291	-1.714	-1.230	-0.398	0.520	0.982
MODULE_289 MODULE_289	2.096	-0.714	-1.238	-1.238	0.472	3.154	-2.026	-2.556	0.472	-0.378	1.532
MODULE_154 MODULE_154	2.570	-2.188	-0.756	-2.188	0.620	2.155	-1.554	-1.095	-0.328	0.620	1.138
MODULE_126 MODULE_126	-1.918	1.394	2.713	2.713	-0.516	-2.301	0.663	0.308	-0.394	-1.052	-1.888
MODULE_382 MODULE_382	-0.280	-1.162	-1.162	-1.162	1.433	3.979	-1.162	-0.581	-0.280	-0.280	0.988
MODULE_170 MODULE_170	0.371	0.524	-0.523	-1.807	-0.361	-3.121	-0.736	-0.736	0.524	1.443	4.190
MODULE_352 MODULE_352	-0.705	4.283	0.706	1.207	-0.705	-0.705	-0.273	-0.705	-0.273	-0.705	-0.700
MODULE_80 MODULE_80	1.185	-1.328	-1.328	-1.328	-0.363	0.246	0.246	-1.328	0.479	0.794	2.796
