GO	[-3.30 -0.57]	[-0.57 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.02]	[0.02 0.10]	[0.10 0.18]	[0.18 0.32]	[0.32 0.68]	[0.68 4.80]
KEGG_RIBOSOME KEGG_RIBOSOME	-1.978	-1.058	6.276	9.596	1.920	-2.674	0.256	-2.674	-1.456	-2.674	-3.697
KEGG_SPLICEOSOME KEGG_SPLICEOSOME	-4.174	-2.662	0.582	3.037	-1.310	-1.310	5.690	2.669	0.756	-2.120	-2.145
KEGG_OXIDATIVE_PHOSPHORYLATION KEGG_OXIDATIVE_PHOSPHORYLATION	-2.793	-1.782	0.522	0.869	1.316	-0.628	3.616	1.859	0.869	-4.331	-2.265
KEGG_PARKINSONS_DISEASE KEGG_PARKINSONS_DISEASE	-2.150	-2.150	-0.583	1.400	0.567	-0.424	2.988	1.671	1.671	-3.365	-1.353
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-2.329	-0.363	2.371	1.235	-0.675	-1.863	0.632	1.010	1.485	0.352	-4.483
KEGG_ALZHEIMERS_DISEASE KEGG_ALZHEIMERS_DISEASE	-1.529	-2.751	-0.337	1.158	0.958	-1.875	2.770	0.621	2.453	-1.875	-0.612
KEGG_HUNTINGTONS_DISEASE KEGG_HUNTINGTONS_DISEASE	-2.314	-1.593	-0.393	1.643	-0.516	-1.593	2.752	2.752	1.197	-1.304	-0.862
KEGG_PROTEASOME KEGG_PROTEASOME	-0.703	-1.912	-0.228	0.627	-0.228	-1.160	3.822	0.924	1.278	-1.160	-1.924
KEGG_TASTE_TRANSDUCTION KEGG_TASTE_TRANSDUCTION	3.925	0.500	-0.839	-0.839	-0.514	1.420	-2.120	0.500	-0.514	-2.120	0.492
KEGG_AUTOIMMUNE_THYROID_DISEASE KEGG_AUTOIMMUNE_THYROID_DISEASE	0.785	-2.079	-0.811	-2.079	1.470	4.027	-0.493	-0.493	-0.811	0.318	0.312
KEGG_ECM_RECEPTOR_INTERACTION KEGG_ECM_RECEPTOR_INTERACTION	2.105	0.452	-1.343	-0.674	-2.524	-0.962	-0.458	-1.343	0.639	0.639	3.343
KEGG_CELL_CYCLE KEGG_CELL_CYCLE	-2.564	-0.525	1.260	0.632	-0.950	-1.597	0.632	2.807	1.521	-0.263	-2.056
KEGG_LYSOSOME KEGG_LYSOSOME	-3.115	0.878	2.236	1.617	-0.891	-1.173	-0.484	1.098	0.518	0.263	-1.968
KEGG_STEROID_HORMONE_BIOSYNTHESIS KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.612	-0.365	-0.365	-1.471	2.493	0.640	-1.471	-2.288	-0.951	0.640	0.631
KEGG_CELL_ADHESION_MOLECULES_CAMS KEGG_CELL_ADHESION_MOLECULES_CAMS	2.495	0.273	-0.836	-1.782	-1.092	-0.628	-1.092	-0.462	-0.836	1.316	3.573
KEGG_PEROXISOME KEGG_PEROXISOME	-0.578	-0.383	0.368	4.245	-1.684	-3.294	0.368	0.541	-0.243	0.368	-0.249
KEGG_DRUG_METABOLISM_CYTOCHROME_P450 KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.501	0.328	-1.430	-2.044	1.605	3.317	0.328	-0.669	-2.044	-0.275	0.322
KEGG_DNA_REPLICATION KEGG_DNA_REPLICATION	-1.494	-0.234	-0.453	3.643	0.987	-0.829	0.381	-0.453	0.987	-0.829	-1.504
KEGG_ENDOCYTOSIS KEGG_ENDOCYTOSIS	0.543	-0.504	1.022	-0.504	-1.038	-5.336	0.421	2.194	0.843	-0.285	0.308
KEGG_NUCLEOTIDE_EXCISION_REPAIR KEGG_NUCLEOTIDE_EXCISION_REPAIR	-1.093	0.239	1.808	1.377	-0.373	-1.093	1.808	-0.373	0.431	-1.828	-1.102
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.400	0.321	0.598	0.447	-0.748	-1.650	3.896	0.447	0.978	-1.287	-2.115
KEGG_HOMOLOGOUS_RECOMBINATION KEGG_HOMOLOGOUS_RECOMBINATION	-0.580	0.324	1.437	2.577	-0.580	-1.161	0.981	-0.279	-1.161	-0.279	-1.169
KEGG_MISMATCH_REPAIR KEGG_MISMATCH_REPAIR	-0.954	0.458	1.286	3.202	0.199	-0.954	-0.434	0.199	0.199	-0.954	-0.960
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-1.879	-0.474	0.436	1.091	-1.371	-0.693	-0.313	3.787	0.618	0.436	-1.386
KEGG_FOCAL_ADHESION KEGG_FOCAL_ADHESION	0.872	0.872	0.456	-0.343	-2.777	-1.982	0.577	-1.126	0.351	-0.449	3.005
KEGG_GLUTATHIONE_METABOLISM KEGG_GLUTATHIONE_METABOLISM	-1.297	0.523	-0.811	-0.493	-0.811	0.785	0.523	2.870	-0.285	0.785	-2.092
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.993	-0.574	-0.318	2.530	-0.318	-0.993	2.530	0.786	-0.318	-0.993	-1.001
KEGG_VIBRIO_CHOLERAE_INFECTION KEGG_VIBRIO_CHOLERAE_INFECTION	-0.579	-0.579	1.282	-0.348	0.258	-0.579	1.282	2.564	-0.923	-2.246	-0.354
KEGG_ADHERENS_JUNCTION KEGG_ADHERENS_JUNCTION	0.301	-0.712	0.912	-0.712	-2.117	-2.117	0.301	2.277	0.912	0.301	0.456
KEGG_RETINOL_METABOLISM KEGG_RETINOL_METABOLISM	0.275	0.441	-1.216	-1.216	1.558	1.945	-1.216	-0.813	-1.216	0.441	1.198
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2.148	-0.411	-0.228	-1.912	-0.703	0.627	-0.411	-0.411	-1.160	2.148	-0.232
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-0.222	-0.491	-0.222	-0.491	2.258	1.152	-1.037	-1.037	-0.222	1.152	-1.044
