GO	[-6.23 -0.58]	[-0.58 -0.24]	[-0.24 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.18]	[0.18 0.32]	[0.32 0.67]	[0.67 6.04]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-2.456	-5.263	-6.487	-6.487	28.679	31.412	-4.341	-5.263	-4.341	-3.596	-2.442
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-0.478	-2.607	-4.795	-5.986	16.095	26.652	-2.607	-3.906	-5.986	-3.194	-1.066
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-1.064	-2.864	-3.421	-2.864	16.166	16.166	-4.075	-4.855	-4.075	-0.845	0.698
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	-0.904	-1.807	-4.050	-3.327	16.261	16.261	-2.729	-4.050	-2.229	-1.153	-0.896
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-5.486	-2.022	8.029	13.564	-0.914	-6.483	1.963	1.271	-1.682	-2.861	-5.466
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-0.823	-4.341	-2.977	-5.263	15.892	13.188	-1.318	-2.013	-1.637	-1.318	-0.477
GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	-0.406	-2.862	-2.862	-2.862	13.370	13.370	-1.963	-1.963	-1.963	-2.862	-1.956
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-5.899	-1.612	9.197	10.239	-1.930	-8.242	2.153	0.721	-0.334	-1.612	-5.035
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.418	-1.383	-3.715	-2.914	12.046	16.555	-1.788	-3.715	-2.914	-1.383	-1.375
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING	-0.438	-2.945	-2.035	-2.945	13.856	12.104	-2.035	-2.945	-2.035	-2.945	-0.981
