GO	[-3.26 -0.35]	[-0.35 -0.20]	[-0.20 -0.13]	[-0.13 -0.07]	[-0.07 -0.02]	[-0.02 0.03]	[0.03 0.07]	[0.07 0.13]	[0.13 0.20]	[0.20 0.32]	[0.32 2.42]
MIR4753_5P MIR4753_5P	-0.403	-0.403	-0.236	-2.391	1.159	3.973	-0.236	-0.403	1.159	-2.391	-0.983
MIR6776_3P MIR6776_3P	-0.353	-0.833	-0.833	2.158	-0.833	2.883	-0.833	0.255	0.255	0.255	-0.814
MIR1278 MIR1278	-0.958	-0.958	-0.436	0.456	1.286	-0.958	-0.958	1.286	1.286	0.821	-0.937
MIR583 MIR583	0.716	-1.799	-0.357	2.378	1.878	-0.630	-0.357	-1.799	0.451	-0.357	-0.606
MIR597_3P MIR597_3P	1.130	-0.749	-0.749	-0.299	-0.749	-0.749	0.303	-0.299	-0.749	3.200	0.673
MIR4494 MIR4494	-0.707	1.208	-0.707	0.330	-0.707	1.208	-0.707	1.826	-0.707	0.330	-0.692
MIR512_5P MIR512_5P	-0.749	-0.749	0.303	-0.749	-0.749	-0.299	-0.749	0.303	0.303	2.410	1.755
MIR1264 MIR1264	-0.457	1.397	-0.835	-1.504	-0.835	0.379	-0.835	1.872	0.986	-0.835	0.671
MIR138_2_3P MIR138_2_3P	-0.540	-0.540	-2.179	0.284	1.022	1.022	-2.179	0.475	1.022	0.475	0.301
MIR4666B MIR4666B	-0.833	-0.353	-0.833	-0.353	0.255	-0.833	-0.833	0.992	0.255	0.565	2.938
MIR3691_3P MIR3691_3P	-0.248	0.761	-0.666	-0.248	-0.666	-0.666	-0.248	-0.666	3.575	0.361	-0.240
