GO	[-4.16 -0.17]	[-0.17 -0.11]	[-0.11 -0.07]	[-0.07 -0.04]	[-0.04 -0.02]	[-0.02 0.01]	[0.01 0.03]	[0.03 0.06]	[0.06 0.11]	[0.11 0.18]	[0.18 1.75]
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	2.712	-0.385	-0.736	-0.385	0.231	0.231	-1.374	-1.374	1.142	-1.374	1.553
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	-1.206	-0.611	0.303	-0.299	2.495	0.575	-1.206	-1.206	-0.299	1.900	-0.312
KEGG_HUNTINGTONS_DISEASE KEGG_HUNTINGTONS_DISEASE	0.936	0.303	-0.611	-1.206	-0.611	1.379	-1.206	-1.206	1.379	-0.299	0.907
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	-0.456	-0.456	0.187	-0.456	1.153	0.187	-0.456	-0.456	-0.456	3.790	-0.466
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	-0.673	-0.673	0.264	-0.341	2.299	0.843	-1.290	-1.290	-0.341	1.741	-0.355
PID_PLK1_PATHWAY PID_PLK1_PATHWAY	-1.039	0.399	-0.492	2.955	0.731	-1.039	-1.039	-0.221	-0.492	-0.221	0.708
PID_P53_DOWNSTREAM_PATHWAY PID_P53_DOWNSTREAM_PATHWAY	1.224	1.224	-0.997	0.428	-0.997	0.777	-0.997	-0.203	0.777	-0.463	-1.019
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	-0.497	-0.497	0.166	-0.497	1.057	0.166	-0.497	-0.497	0.166	3.523	-0.508
WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING	-0.248	-0.248	-0.248	-0.248	-0.248	0.361	-0.248	-0.248	-0.248	4.487	-0.254
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC	-0.331	0.273	0.273	-0.331	-0.331	3.584	-0.331	-0.331	-0.331	-0.331	0.267
