GO	[-2.11 -0.36]	[-0.36 -0.22]	[-0.22 -0.15]	[-0.15 -0.08]	[-0.08 -0.03]	[-0.03 0.02]	[0.02 0.07]	[0.07 0.13]	[0.13 0.21]	[0.21 0.33]	[0.33 4.12]
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	-0.999	-2.063	-2.063	0.327	-0.675	0.975	-0.442	-1.444	0.975	2.413	2.447
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	-2.643	-2.643	-0.317	0.286	-0.795	0.945	0.286	-0.512	1.614	1.258	0.962
GOCC_CATALYTIC_STEP_2_SPLICEOSOME GOCC_CATALYTIC_STEP_2_SPLICEOSOME	-1.376	0.230	-0.387	-0.738	0.755	-0.738	0.755	-1.376	0.230	-0.387	4.084
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION GOBP_PROTEIN_O_LINKED_GLYCOSYLATION	1.828	1.828	-0.273	1.209	-0.707	-0.707	0.331	-0.707	-0.707	-0.707	-0.700
GOBP_NUCLEOSOME_ORGANIZATION GOBP_NUCLEOSOME_ORGANIZATION	-0.301	-0.301	-0.965	-1.670	0.301	0.528	-1.670	0.301	0.301	0.823	2.658
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	1.735	1.053	-0.498	-0.498	-0.498	-0.498	1.735	-0.498	-0.498	-0.498	0.168
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.331	-0.707	-0.273	-0.273	-0.707	1.828	-0.707	1.209	-0.707	1.209	-0.700
GOBP_HETEROCHROMATIN_ORGANIZATION GOBP_HETEROCHROMATIN_ORGANIZATION	-0.623	-0.623	-0.623	-0.223	0.396	-0.623	-0.623	-0.223	2.880	-0.223	1.400
GOBP_EMBRYONIC_APPENDAGE_MORPHOGENESIS GOBP_EMBRYONIC_APPENDAGE_MORPHOGENESIS	1.492	-0.581	-0.200	-0.581	1.492	0.892	-0.581	-0.581	0.433	-0.581	-0.576
GOBP_GLUCOSE_CATABOLIC_PROCESS GOBP_GLUCOSE_CATABOLIC_PROCESS	1.607	0.968	-0.540	-0.540	-0.177	-0.540	1.607	-0.540	-0.540	-0.540	-0.174
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS	1.384	-0.373	2.234	0.712	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	-0.370
GOCC_DNA_POLYMERASE_COMPLEX GOCC_DNA_POLYMERASE_COMPLEX	-0.373	-0.373	-0.373	2.234	-0.373	0.712	-0.373	-0.373	1.384	-0.373	-0.370
