GO	[-2.11 -0.35]	[-0.35 -0.22]	[-0.22 -0.14]	[-0.14 -0.08]	[-0.08 -0.03]	[-0.03 0.02]	[0.02 0.07]	[0.07 0.13]	[0.13 0.21]	[0.21 0.33]	[0.33 4.12]
GSE14415_NATURAL_TREG_VS_FOXP3_KO_NATURAL_TREG_DN GSE14415_NATURAL_TREG_VS_FOXP3_KO_NATURAL_TREG_DN	-1.164	-0.581	-1.164	-1.164	-0.581	-0.581	-0.581	-0.581	0.984	1.443	5.650
GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_DN GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_DN	2.030	-0.759	-0.255	-0.255	-0.452	-2.003	-2.003	-0.759	0.352	1.585	1.555
GSE14415_INDUCED_VS_NATURAL_TREG_UP GSE14415_INDUCED_VS_NATURAL_TREG_UP	-1.164	-0.581	-1.164	-1.164	-0.279	-0.581	0.324	-0.279	0.324	1.980	3.232
GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-1.130	-1.130	-1.877	-1.130	0.226	-0.392	-0.392	0.967	1.334	0.658	2.722
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP	4.963	1.193	-0.255	-1.233	-0.255	0.574	-0.759	-0.452	-0.759	-1.233	-0.776
GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDC_DN GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDC_DN	-0.799	-0.218	-0.799	1.954	-0.218	-0.431	-1.457	-0.799	-0.218	-0.431	3.746
GSE7460_CD8_TCELL_VS_TREG_ACT_DN GSE7460_CD8_TCELL_VS_TREG_ACT_DN	-0.589	-2.807	0.827	0.586	2.219	0.390	0.238	-1.314	0.390	-1.314	0.804
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_DN GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_DN	0.919	-2.298	2.049	0.642	-0.603	-0.365	1.247	-0.955	0.417	-1.478	-0.377
GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	1.365	2.616	0.217	-0.913	0.492	-0.913	0.492	-0.406	-0.913	-0.406	-0.925
GSE17721_CTRL_VS_CPG_6H_BMDC_DN GSE17721_CTRL_VS_CPG_6H_BMDC_DN	-1.164	-0.412	-1.919	-0.227	-0.412	2.682	-1.164	0.928	-0.412	1.285	0.379
