GO	[-1.96 -0.23]	[-0.23 -0.14]	[-0.14 -0.09]	[-0.09 -0.06]	[-0.06 -0.02]	[-0.02 0.02]	[0.02 0.05]	[0.05 0.09]	[0.09 0.15]	[0.15 0.23]	[0.23 3.36]
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	-0.477	-0.864	-0.477	0.360	-0.864	-1.541	-0.249	0.617	2.916	-1.541	2.297
HOLLERN_EMT_BREAST_TUMOR_UP HOLLERN_EMT_BREAST_TUMOR_UP	0.824	-0.955	-0.434	-0.955	-0.955	-0.955	0.458	-0.955	0.824	1.290	1.824
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN	-0.663	-0.663	-0.663	1.950	-0.247	-0.663	-0.247	-0.663	0.764	-0.663	2.686
KEGG_PROSTATE_CANCER KEGG_PROSTATE_CANCER	-1.206	4.661	0.574	-0.299	0.303	-0.611	-0.299	-0.611	-0.299	0.303	-1.221
WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS	-0.580	5.116	-0.580	-0.199	-0.199	-0.580	-0.580	-0.199	-0.199	0.435	-0.588
KEGG_RENAL_CELL_CARCINOMA KEGG_RENAL_CELL_CARCINOMA	-1.080	5.204	-0.240	-0.240	-0.240	-0.521	-0.240	0.372	-0.521	-0.240	-1.094
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	1.112	-1.314	0.827	0.238	1.112	-0.589	-1.314	-2.807	0.390	1.112	0.376
RODRIGUES_DCC_TARGETS_DN RODRIGUES_DCC_TARGETS_DN	0.687	-1.080	1.095	1.095	-0.521	-1.080	-1.080	-1.080	0.687	1.095	-0.246
BRUECKNER_TARGETS_OF_MIRLET7A3_UP BRUECKNER_TARGETS_OF_MIRLET7A3_UP	-0.642	-1.247	-1.247	0.283	-0.320	0.541	-0.320	0.283	3.731	0.541	-0.654
WP_TGFBETA_RECEPTOR_SIGNALING WP_TGFBETA_RECEPTOR_SIGNALING	-0.223	1.391	-0.622	0.397	-0.622	-0.622	-0.223	-0.622	-0.622	-0.223	2.856
WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS	-0.223	1.391	-0.622	0.397	-0.622	-0.622	-0.223	-0.622	-0.622	-0.223	2.856
HARRIS_HYPOXIA HARRIS_HYPOXIA	-0.580	0.435	-0.580	-0.580	0.435	-0.580	3.072	0.435	-0.580	0.435	-0.588
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP	-0.872	0.236	-0.378	0.934	-0.378	-0.872	0.934	0.528	-0.872	-0.872	2.025
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	-0.456	-0.456	-0.456	-0.456	0.579	0.187	-0.456	0.187	3.783	-0.456	0.184
SA_PTEN_PATHWAY SA_PTEN_PATHWAY	-0.414	4.091	-0.414	0.211	-0.414	0.211	-0.414	0.211	0.211	-0.414	-0.420
WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE	0.313	0.313	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.944
