GO	[-2.13 -0.32]	[-0.32 -0.22]	[-0.22 -0.15]	[-0.15 -0.11]	[-0.11 -0.05]	[-0.05 0.01]	[0.01 0.06]	[0.06 0.13]	[0.13 0.21]	[0.21 0.38]	[0.38 2.90]
MORF_ANP32B MORF_ANP32B	4.700	3.686	-0.304	1.662	0.441	-0.304	-1.697	-2.260	-1.260	-1.697	-3.971
MORF_G22P1 MORF_G22P1	4.357	3.821	0.540	0.755	0.365	-0.388	-3.347	-0.860	-2.379	-0.860	-3.287
MORF_ACTG1 MORF_ACTG1	1.859	4.220	1.496	0.888	-0.496	-0.496	0.286	-1.087	-2.190	-3.131	-3.075
MORF_NPM1 MORF_NPM1	2.142	4.402	0.903	1.162	0.334	-0.410	-0.601	-1.182	-1.606	-2.882	-3.842
MORF_NME2 MORF_NME2	2.261	3.823	0.790	0.790	-0.439	-0.439	0.542	-1.634	-2.486	-2.486	-2.441
MORF_CTBP1 MORF_CTBP1	3.963	2.144	0.450	2.550	-0.685	-0.980	0.298	-1.881	-1.368	-1.368	-3.500
GNF2_DAP3 GNF2_DAP3	2.814	1.917	1.185	2.345	0.259	-1.853	-0.347	-2.743	-1.853	-1.264	-1.811
MORF_EIF3S6 MORF_EIF3S6	5.502	1.908	0.298	1.207	-0.304	-0.304	-1.518	-1.518	-1.059	-1.059	-3.032
MORF_EIF4A2 MORF_EIF4A2	2.405	2.844	0.365	0.540	0.365	1.303	-0.587	-1.714	-1.714	-1.714	-3.287
MORF_TPT1 MORF_TPT1	1.165	4.009	1.165	0.589	-0.236	-0.403	0.378	-1.561	-1.561	-2.400	-2.357
MORF_DAP3 MORF_DAP3	2.206	2.206	0.428	3.103	-0.331	-0.768	-0.768	-1.583	-1.583	-0.513	-3.117
MORF_PPP1CA MORF_PPP1CA	5.173	1.879	-0.421	1.879	-0.421	-1.597	-0.678	-1.597	-1.052	-1.597	-0.654
GNF2_FBL GNF2_FBL	1.472	2.194	1.472	1.165	0.467	-0.449	0.467	-2.533	-1.340	-2.533	-2.477
MORF_FBL MORF_FBL	1.879	2.325	0.361	1.879	0.820	-0.678	-2.443	-1.052	-0.678	-1.052	-2.399
GCM_CSNK2B GCM_CSNK2B	1.847	3.989	-0.519	1.066	0.754	-0.849	-0.519	-0.849	-0.849	-2.144	-2.105
GCM_NPM1 GCM_NPM1	2.602	3.647	-0.476	1.015	0.313	-0.750	-0.289	-1.142	-0.750	-2.571	-1.667
MORF_ERH MORF_ERH	3.356	1.760	0.224	1.760	-0.395	0.224	-1.888	-1.138	-1.138	-0.684	-1.855
GCM_TPT1 GCM_TPT1	1.675	3.344	0.318	0.862	-0.285	-0.936	0.555	-1.634	-0.936	-1.634	-1.605
GNF2_EIF3S6 GNF2_EIF3S6	1.917	2.345	0.884	0.884	0.421	-0.347	0.259	-1.853	-1.264	-1.853	-2.694
GNF2_APEX1 GNF2_APEX1	1.907	1.481	1.106	0.315	0.786	-0.498	0.522	-2.101	-2.101	-2.101	-0.796
MORF_RAD21 MORF_RAD21	2.868	-0.497	0.418	4.885	-0.329	-1.427	-0.497	-1.029	-1.427	-0.329	-1.383
GCM_PPP1CC GCM_PPP1CC	2.706	2.116	-1.380	0.755	0.452	-0.740	-1.380	-0.388	0.229	-0.740	-1.355
MORF_JUND MORF_JUND	0.989	4.398	-0.235	0.647	-0.837	0.379	-0.235	-0.837	-0.837	-1.507	-1.480
MORF_PRKDC MORF_PRKDC	1.225	0.722	0.360	1.867	0.956	-0.382	0.523	-3.825	-1.546	-0.382	-1.499
GCM_APEX1 GCM_APEX1	2.407	2.884	-0.534	1.223	-0.332	-0.534	0.272	-1.234	-0.534	-1.816	-1.775
GNF2_ST13 GNF2_ST13	1.675	1.675	0.862	1.236	-0.285	-0.530	-0.285	-1.634	-0.530	-1.634	-1.605
GCM_PSME1 GCM_PSME1	1.888	1.888	-1.070	1.048	1.048	-0.631	-0.631	-0.357	-0.357	-1.804	-1.771
