GO	[-2.13 -0.30]	[-0.30 -0.19]	[-0.19 -0.13]	[-0.13 -0.07]	[-0.07 -0.02]	[-0.02 0.03]	[0.03 0.08]	[0.08 0.16]	[0.16 0.24]	[0.24 0.39]	[0.39 1.49]
HP_RELATIVE_MACROCEPHALY HP_RELATIVE_MACROCEPHALY	-1.008	2.418	0.778	-1.008	-0.467	-0.467	-0.467	2.418	-0.467	-1.008	-0.204
HP_CRANIAL_NERVE_COMPRESSION HP_CRANIAL_NERVE_COMPRESSION	-0.177	2.405	-0.542	2.405	0.476	-0.542	-0.542	-0.542	-0.542	-0.542	-0.542
HP_ABNORMALITY_OF_THE_COAGULATION_CASCADE HP_ABNORMALITY_OF_THE_COAGULATION_CASCADE	0.528	0.528	-0.880	-0.880	-0.381	0.528	-0.381	-0.381	3.599	-0.381	-0.880
HP_ABNORMALLY_FOLDED_HELIX HP_ABNORMALLY_FOLDED_HELIX	0.277	-0.795	1.068	-0.326	0.277	3.091	-0.795	0.277	-0.795	-0.326	-0.795
HP_NEOPLASM_OF_THE_PITUITARY_GLAND HP_NEOPLASM_OF_THE_PITUITARY_GLAND	1.545	0.254	-0.353	0.254	0.567	-0.838	-0.838	2.193	-0.838	-0.353	-0.838
HP_VOCAL_CORD_PARALYSIS HP_VOCAL_CORD_PARALYSIS	2.786	0.579	-0.458	1.155	0.186	-0.458	-0.458	-0.458	-0.458	-0.458	-0.458
HP_ABNORMALITY_OF_CIRCULATING_ADRENOCORTICOTROPIN_LEVEL HP_ABNORMALITY_OF_CIRCULATING_ADRENOCORTICOTROPIN_LEVEL	1.265	-0.416	-0.416	-0.416	0.210	-0.416	-0.416	3.018	0.210	-0.416	-0.416
HP_BILATERAL_SENSORINEURAL_HEARING_IMPAIRMENT HP_BILATERAL_SENSORINEURAL_HEARING_IMPAIRMENT	0.186	0.186	-0.458	-0.458	0.579	-0.458	-0.458	-0.458	-0.458	3.825	0.186
HP_SLOW_DECREASE_IN_VISUAL_ACUITY HP_SLOW_DECREASE_IN_VISUAL_ACUITY	2.476	-0.333	-0.333	-0.333	0.272	-0.333	-0.333	1.538	-0.333	-0.333	-0.333
HP_DIFFICULTY_CLIMBING_STAIRS HP_DIFFICULTY_CLIMBING_STAIRS	2.786	1.155	0.186	0.186	-0.458	-0.458	-0.458	0.186	-0.458	-0.458	-0.458
HP_ABNORMALITY_OF_PROTHROMBIN HP_ABNORMALITY_OF_PROTHROMBIN	-0.291	0.311	-0.291	-0.291	0.311	-0.291	-0.291	-0.291	4.001	-0.291	-0.291
