GO	[-2.86 -0.23]	[-0.23 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.02]	[-0.02 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.15]	[0.15 0.23]	[0.23 1.86]
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	1.429	2.532	1.763	0.868	-0.301	-0.461	-2.547	-1.863	-1.355	-0.678	-0.466
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_DN GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_DN	-0.789	-0.789	-0.789	-0.789	-0.325	-0.325	0.279	0.610	0.610	4.825	-0.792
GSE3982_EOSINOPHIL_VS_BCELL_DN GSE3982_EOSINOPHIL_VS_BCELL_DN	2.763	1.333	0.965	-0.393	0.225	-1.878	0.410	-1.132	-0.680	0.225	-1.887
GSE6269_FLU_VS_E_COLI_INF_PBMC_DN GSE6269_FLU_VS_E_COLI_INF_PBMC_DN	1.589	1.094	0.686	-0.241	-1.081	2.165	-1.081	-0.522	-1.081	-1.081	-0.525
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	1.530	0.334	0.548	1.148	0.334	1.530	-0.271	-2.047	-0.787	-2.047	-1.276
GSE14308_TH1_VS_NATURAL_TREG_UP GSE14308_TH1_VS_NATURAL_TREG_UP	2.069	-0.551	-1.123	-1.123	0.646	-0.260	0.646	-0.260	-1.123	-1.123	2.059
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	-1.374	0.757	0.453	0.453	-0.736	1.591	2.699	-0.736	-1.374	-0.736	-0.741
GSE1460_DP_VS_CD4_THYMOCYTE_DN GSE1460_DP_VS_CD4_THYMOCYTE_DN	0.788	2.021	2.021	1.138	-0.576	-0.318	-0.997	-0.576	-0.997	-0.997	-1.717
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	2.873	0.852	0.380	0.590	0.380	0.852	-1.550	-1.014	-0.649	-0.649	-2.395
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP	-1.098	0.431	0.239	-1.836	1.006	-1.836	1.006	0.239	1.819	-1.098	0.682
GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP	-0.899	-2.216	-0.559	3.768	0.696	-1.409	0.456	0.456	-0.333	0.271	0.268
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_DN GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_DN	1.284	-0.228	0.927	-1.166	-1.920	0.389	-1.920	0.628	-0.413	-0.413	1.686
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	2.162	-0.351	-0.351	-0.831	0.256	-0.831	-0.831	-0.351	0.256	2.888	-0.834
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	2.252	0.791	1.430	1.430	-0.260	-1.073	-1.622	-1.622	-0.696	-0.696	-0.440
GSE42724_NAIVE_VS_B1_BCELL_DN GSE42724_NAIVE_VS_B1_BCELL_DN	1.729	1.334	2.660	-0.333	0.456	-0.559	-0.899	-1.409	-0.899	-1.409	-0.564
GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP	0.687	0.431	-1.836	-0.374	0.687	0.687	2.308	-1.836	-1.098	0.431	-0.658
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_DN GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_DN	0.573	2.484	1.374	0.302	-1.207	-1.207	-1.207	-0.300	0.573	-0.612	-0.616
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	0.363	1.476	1.873	1.125	-0.418	-0.418	-1.044	-1.586	-2.427	0.363	-0.250
GSE24292_WT_VS_PPARG_KO_MACROPHAGE_DN GSE24292_WT_VS_PPARG_KO_MACROPHAGE_DN	-0.626	-2.343	-0.383	4.078	-0.383	0.398	-0.626	0.232	-0.626	1.204	-0.387
GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP	0.616	2.913	0.616	0.359	0.946	-0.478	-0.478	-1.542	-0.478	-1.542	-0.870
GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP	0.510	-1.290	-0.342	-0.342	-0.674	0.264	-0.342	-0.674	3.595	-1.290	1.242
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	-0.653	0.431	0.687	-1.836	-1.836	2.308	0.239	1.384	-0.653	-0.374	0.236
GSE17721_CTRL_VS_LPS_6H_BMDC_DN GSE17721_CTRL_VS_LPS_6H_BMDC_DN	-1.374	-1.374	-1.374	1.591	0.757	-0.386	0.757	0.453	-0.736	1.137	0.228
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	-0.930	-1.626	-0.930	-0.527	0.556	0.863	-1.626	1.236	0.320	1.236	0.857
GSE22886_NAIVE_TCELL_VS_NKCELL_UP GSE22886_NAIVE_TCELL_VS_NKCELL_UP	3.542	0.454	0.253	-1.064	1.437	-0.355	-0.355	-0.627	-0.355	-1.794	-0.632
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	2.660	0.989	0.696	1.334	-0.899	0.271	-0.559	-1.409	-0.559	-0.899	-1.417
GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	-1.500	-0.832	-0.832	-0.454	-0.832	-0.454	-0.454	1.401	0.380	2.417	1.392
