GO	[-6.33 -1.15]	[-1.15 -0.29]	[-0.29 0.45]	[0.45 0.91]	[0.91 1.29]	[1.29 1.63]	[1.63 2.00]	[2.00 2.40]	[2.40 3.15]	[3.15 4.23]	[4.23 6.75]
MIR3925_3P MIR3925_3P	-1.522	-1.990	-0.439	-1.149	-0.620	-1.522	-0.439	0.300	0.594	2.912	5.251
MIR3064_3P MIR3064_3P	-0.571	-1.080	-1.441	-0.571	-1.080	-0.571	-1.898	0.476	1.956	0.476	6.037
MIR4691_3P MIR4691_3P	0.330	0.756	-1.096	-0.717	-0.274	-0.717	0.756	-1.647	-1.096	-0.274	4.859
MIR4529_5P MIR4529_5P	0.881	-0.321	0.282	-1.245	-0.641	-1.245	-1.245	0.881	-0.321	0.282	3.019
MIR6885_5P MIR6885_5P	-1.120	-0.551	-0.260	-0.260	1.504	-0.551	-1.120	1.504	2.055	-0.260	-1.112
MIR140_3P MIR140_3P	-3.085	-0.508	-0.989	1.198	0.384	-0.349	0.948	-1.336	0.541	2.492	-0.341
MIR6081 MIR6081	-1.505	-0.383	-2.328	0.397	0.397	1.555	-0.980	0.878	0.878	1.192	-0.969
MIR3175 MIR3175	0.325	0.325	-1.286	-1.779	3.980	0.679	-0.278	-1.286	-0.428	-0.635	0.927
MIR3945 MIR3945	-0.434	0.821	-0.954	-0.434	2.475	1.837	0.199	-0.434	-0.954	-0.434	-0.947
MIR6823_5P MIR6823_5P	-0.703	0.246	-1.328	-1.328	-1.328	0.479	1.649	0.479	0.794	-0.364	1.197
MIR10395_3P MIR10395_3P	0.245	-1.082	-1.082	1.534	-2.708	0.245	1.235	-0.774	-0.365	1.864	0.550
MIR296_3P MIR296_3P	-0.705	-0.705	-0.705	0.706	-0.273	-0.273	-0.705	0.706	-0.705	2.544	0.712
MIR222_5P MIR222_5P	-0.724	1.618	-0.724	-1.293	-0.370	-0.724	1.086	-0.976	-0.724	-0.253	3.441
MIR671_5P MIR671_5P	-0.938	0.356	-1.368	-0.407	-0.407	0.539	0.764	-0.628	-0.938	-0.407	4.569
MIR500A_5P MIR500A_5P	-1.629	-0.626	1.083	-0.626	1.660	0.312	-0.626	-1.207	0.312	-0.879	2.785
MIR12121 MIR12121	-0.705	-0.273	-0.273	-0.705	-0.705	-0.273	-0.273	-0.705	0.331	2.544	1.835
MIR548AL MIR548AL	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	2.721	1.711
