GO	[-6.33 -1.18]	[-1.18 -0.33]	[-0.33 0.42]	[0.42 0.88]	[0.88 1.26]	[1.26 1.60]	[1.60 1.96]	[1.96 2.37]	[2.37 3.11]	[3.11 4.21]	[4.21 6.64]
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1.837	2.476	-0.954	-0.954	-0.954	-0.434	1.284	0.199	-0.954	-0.434	-0.431
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	2.213	2.213	-0.580	-0.580	-0.580	-0.199	0.892	-0.580	-0.580	-0.580	-0.578
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.396	2.869	2.070	-0.223	-0.622	-0.622	-0.223	-0.622	-0.622	-0.622	-0.619
HP_WIDE_NOSE HP_WIDE_NOSE	-2.077	-0.493	0.317	1.097	-0.286	-0.811	-2.077	0.522	-0.286	1.097	1.894
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	0.891	1.425	-0.269	1.425	0.673	-2.107	0.488	0.336	-2.107	-2.107	-0.264
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	0.680	-1.453	-0.219	0.680	1.451	-1.453	-0.219	0.403	-0.798	1.451	-1.446
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	1.134	1.832	-0.360	0.604	0.848	-1.860	0.405	0.604	-1.860	-1.860	-0.562
HP_ABNORMAL_UPPER_MOTOR_NEURON_MORPHOLOGY HP_ABNORMAL_UPPER_MOTOR_NEURON_MORPHOLOGY	1.941	-0.663	0.362	-0.663	-0.663	1.941	-0.248	-0.663	-0.663	-0.663	0.766
GOBP_MUSCLE_CELL_MIGRATION GOBP_MUSCLE_CELL_MIGRATION	-0.672	-0.672	-0.672	-0.342	-0.672	-0.672	2.271	-0.342	-1.286	2.271	1.250
HP_IMMUNOLOGIC_HYPERSENSITIVITY HP_IMMUNOLOGIC_HYPERSENSITIVITY	0.500	-2.041	-0.989	-1.429	-0.276	1.969	2.377	-0.989	-0.439	0.500	0.505
GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	-0.298	1.714	-0.746	0.655	2.402	-0.746	-0.298	-0.746	-0.746	0.304	-0.743
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	1.580	0.754	-0.734	-0.734	0.230	-1.369	1.580	1.131	-0.385	-1.369	-0.730
GOBP_REGULATION_OF_CELL_KILLING GOBP_REGULATION_OF_CELL_KILLING	1.303	1.799	-1.245	-1.245	0.282	0.282	1.303	-0.321	-1.245	-0.321	-0.637
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION GOBP_SMOOTH_MUSCLE_CELL_MIGRATION	-0.434	-0.954	-0.954	-0.434	-0.434	-0.434	2.476	0.199	-0.954	1.837	0.826
GOCC_FICOLIN_1_RICH_GRANULE GOCC_FICOLIN_1_RICH_GRANULE	-0.492	2.543	1.828	0.268	0.268	0.398	0.398	-0.698	-1.309	-0.337	-3.029
GOCC_OXIDOREDUCTASE_COMPLEX GOCC_OXIDOREDUCTASE_COMPLEX	2.149	0.555	0.319	-0.283	0.555	-0.927	0.555	0.858	-1.619	-1.619	-0.921
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1.714	1.714	-0.746	-0.746	-0.298	-0.298	1.129	0.304	-0.746	-0.746	-0.743
GOCC_RESPIRATORY_CHAIN_COMPLEX GOCC_RESPIRATORY_CHAIN_COMPLEX	3.505	0.235	0.235	-0.871	0.235	-0.871	0.235	0.930	-0.871	-0.871	-0.376
GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	2.598	0.216	-0.406	-0.912	0.490	-0.912	0.874	0.874	-0.406	-0.912	-0.908
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	-1.286	0.836	-0.342	2.271	0.509	-0.672	0.264	-1.286	0.836	0.264	-1.281
GOCC_ENDOPEPTIDASE_COMPLEX GOCC_ENDOPEPTIDASE_COMPLEX	0.836	0.836	-0.672	0.836	0.264	0.836	-0.672	1.242	-1.286	-1.286	-1.281
HP_POLYPHAGIA HP_POLYPHAGIA	0.727	-0.492	-1.037	-1.037	-0.492	-0.492	-1.037	1.661	-0.222	0.398	2.263
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	1.139	-0.472	0.334	1.516	1.139	-2.036	-0.784	0.546	-1.262	0.546	-1.255
HP_THIN_SKIN HP_THIN_SKIN	0.941	0.941	-0.862	0.359	0.359	2.309	-0.250	-0.862	-1.536	-1.536	-0.248
