gene_name	log2FoldChange
TSPAN6	0.194659388620213
TNMD	0
DPM1	0.188912420745038
SCYL3	1.17822281990459
C1orf112	-0.204069452715782
FGR	1.9252338692779
CFH	0
FUCA2	1.18146044021677
GCLC	3.59804781334346
NFYA	0.596168410205951
STPG1	-1.34687005117781
NIPAL3	-0.28159491018316
LAS1L	-1.68052818972486
ENPP4	0.303781166958847
SEMA3F	-0.568078418048759
CFTR	2.13132160845485
ANKIB1	0.366975239502036
CYP51A1	0.589381675756739
KRIT1	0.299784280900434
RAD52	-1.07309991411629
MYH16	-0.491264253656832
BAD	-0.0183498986083319
LAP3	0.187466722909918
CD99	-0.0514744336418952
HS3ST1	1.65808169678698
AOC1	-1.22412516697024
WNT16	0
HECW1	4.90133585267765
MAD1L1	-1.50259797828113
LASP1	2.4430060391632
SNX11	-0.262413275456542
TMEM176A	-1.03678083491565
M6PR	1.41151347846941
KLHL13	-8.05413600308459
CYP26B1	-1.03676458273034
ICA1	2.04702290753489
DBNDD1	-1.56896557015934
ALS2	-2.38126691245534
CASP10	-0.149916033219054
CFLAR	0.585922187408275
TFPI	0.0909347553663345
NDUFAF7	0.870877534224055
RBM5	0.910927165171379
MTMR7	-3.31027079960434
SLC7A2	0.347420494837753
ARF5	0.473861754327642
SARM1	0.643659862477211
POLDIP2	-1.06301010272908
PLXND1	-0.0868939951755773
AK2	-1.86683264379316
CD38	-3.30907417046091
FKBP4	-1.8835669217269
KDM1A	-1.09991081280555
RBM6	-0.390364992952964
CAMKK1	1.4962648231465
RECQL	0.805852717885881
VPS50	0.480837025019029
HSPB6	-4.68701806411926
ARHGAP33	-5.02603594836952
NDUFAB1	-0.927790798254658
PDK4	-1.03677600439257
SLC22A16	-2.99078568191665
ZMYND10	3.03845336528124
ABCB5	-1.46953930440561
ARX	1.66912983783125
SLC25A13	0.638578195156723
ST7	-0.923660284802849
CDC27	0.0311661867466654
SLC4A1	-0.859897326336846
CALCR	0
HCCS	1.10167452221441
DVL2	1.44184317344721
PRSS22	1.50412805016378
UPF1	-0.350795696175181
SKAP2	2.2555037001882
SLC25A5	-0.372645085374694
MCUB	-2.48939494646887
HOXA11	-2.61497896509314
POLR2J	-0.435175794992365
DHX33	-1.06990305893059
MEOX1	-1.03673690891575
THSD7A	1.21211723999528
LIG3	-1.05336045333595
RPAP3	-0.038238188818121
ACSM3	-4.99179983160075
REXO5	-3.2750757979164
CIAPIN1	-1.04107247514255
SPPL2B	-0.806526993561538
FAM214B	3.32333539132632
COPZ2	0.177305851117614
PRKAR2B	-0.378490673216981
MSL3	2.17925639723726
CREBBP	0.993673750309954
TSPOAP1	1.19719138146605
MPO	-5.95831124763765
PON1	-1.46682123909618
GCFC2	-3.08824248800745
WDR54	0.852085248361697
CROT	-2.06238292501509
ABCB4	2.10920225375047
KMT2E	0.151329692441825
RHBDD2	0.598525108528561
SOX8	0
IBTK	1.19267264210492
ZNF195	0.0348848456004656
MYCBP2	-0.760144648830297
FBXL3	2.0464154115876
ITGAL	2.31351951130202
PDK2	2.44454984629141
ITGA3	7.63114644608045
ZFX	0.742333136443423
LAMP2	0.409562923112857
ITGA2B	-0.181295160354604
ASB4	-0.0808142466848162
GDE1	0.400198999306738
REX1BD	-0.649599300550193
CRLF1	1.79849200324322
OSBPL7	2.2048585595723
TMEM98	0.252176919730876
YBX2	2.91943697451609
KRT33A	0.00208622735354321
MAP3K14	2.06177693620222
ABCC8	-4.17024953282289
CACNG3	0
TMEM132A	4.49558401878165
AP2B1	-0.0215767650840657
TAC1	0
ZNF263	0.20429835831526
CX3CL1	6.25873491680001
SPATA20	2.62372963779227
CACNA1G	3.82836491606767
TNFRSF12A	3.87866549220305
DLX6	1.3172793449599
MAP3K9	0.563013754170159
RALA	-0.669418951460919
BAIAP2L1	-1.8984053362188
KDM7A	4.76979813423409
ETV1	1.18501078890661
AGK	-1.17083208075326
ALDH3B1	-0.0379528299389793
TTC22	0.870757498882929
PHTF2	-0.98687380885806
CCL26	0
FARP2	-0.343864830751079
USH1C	0
GGCT	-1.07222280200846
DBF4	-1.06391966363004
TBXA2R	-1.60125147131323
IFRD1	2.29542745137846
LGALS14	0
COX10	0.114608311455834
GTF2IRD1	2.28268628210306
PAF1	0.668730759043807
VPS41	2.2325334563912
ARHGAP44	2.84163276818171
ELAC2	-0.0454559568350932
SCIN	0.578962025241265
ARSD	0.747716320974958
PNPLA4	1.00832122590617
MYH13	-1.03673690891575
ADIPOR2	1.18751708665573
CDKL3	1.53181467187068
UPP2	-1.0367339108275
PRSS21	0
MARK4	1.72120686943361
PROM1	2.27973121666044
CCDC124	-1.38156798661279
CEACAM21	-0.167234084936139
PAFAH1B1	1.55777959401443
NOS2	1.38112242791225
DNAH9	-1.09837150797525
KIAA0100	0.546513809928757
SLC13A2	-1.03673619418314
GAS7	2.60246471619426
TRAPPC6A	0.161803590225791
MATK	-1.27353060888282
CEACAM7	0
CD79B	0
SCN4A	-1.03675612805546
ST7L	0.263896305123573
TKTL1	-1.03676688937791
PAX6	-1.04140254429756
RPUSD1	-1.59024323957247
RHBDF1	4.07824022745143
LUC7L	0.234514333437447
CACNA2D2	-2.25915600651251
BAIAP3	-1.22518866599947
TSR3	-0.960563494139307
PIGQ	-1.78565217810064
CRAMP1	0.887410170616528
TEAD3	2.29185446403477
SELE	0
DNAJC11	-0.227535912889717
FMO3	-1.79179669589538
MYLIP	-1.57259632903416
NOX1	0
E2F2	-2.22121274035191
PSMB1	0.167294540574142
SYN1	2.74499431337814
JARID2	1.11457820679352
CDKL5	-0.113418705186814
CAMK1G	-1.03679603387867
CDK11A	0.331309152991886
NADK	1.95348060963201
TFAP2B	-1.03674137782642
TFAP2D	0
DLEC1	-0.654120110623152
CYTH3	0.0366634574933579
ADAM22	-1.74975413194914
SYPL1	-0.975939998701525
CYB561	-0.14356053667623
SPAG9	1.22601252982176
CELSR3	0.937968977849213
AASS	-1.03293740129645
PLEKHG6	1.2716535785548
SS18L2	-1.09280738003407
MPND	-0.7120667947901
MGST1	1.43024675318998
CRY1	-0.221487341977844
PGLYRP1	-7.10966112978867
NFIX	-2.7651001178785
ST3GAL1	0.142448145115279
MMP25	-2.32682007348823
IL32	0.0763897091302332
PKD1	-1.71884751973245
MAPK8IP2	-0.386510650852304
MED24	-0.0885037053405115
RHOBTB2	2.06334642498185
HEATR5B	0.60162738360036
SEC62	-0.53853183312699
RPS20	-0.973248192407836
CSDE1	0.967952940204475
UBE3C	-0.0322701927655589
REV3L	-0.181030299210479
TENM1	1.40478759568426
PAX7	-5.31395969925709
MASP2	-0.326250602322883
IYD	2.45562940336447
FAM76A	-0.189487654147428
TRAF3IP3	-0.974888590699662
POMT2	-0.550498992176454
VTA1	0.286947570801583
MLXIPL	4.09501040314237
BAZ1B	-0.0840622451996767
RANBP9	1.38444535120885
ETV7	-1.03674627270607
SPRTN	0.97651842773355
EEF1AKNMT	-0.755280941653649
DYRK4	-0.801894752094858
ZNF207	0.0750321926671435
UQCRC1	-0.111421527237386
STARD3NL	0.314437909675018
CD9	6.20216174622717
HHATL	0
NCAPD2	-1.16056789600355
IFFO1	-0.784610675408605
GIPR	-0.979064504980336
PHF7	-2.21135146956345
SEMA3G	1.5614252632408
NISCH	0.299999876739044
STAB1	2.13286381144298
FUZ	1.30690157688326
SLC6A13	0
IDS	3.93147873163088
PRSS3	-0.156416438897168
ZNF200	0.168939538041806
CD4	0.327202127115601
LRRC23	1.79338376836454
BTK	-0.0194314794385021
HFE	-0.951892287955257
SCMH1	-2.16688667700006
FYN	2.14641888606479
HIVEP2	-1.55744492275523
FMO1	-1.5961264512751
ELOA	0.375054845751657
LYPLA2	1.13041629377118
CLCN6	-0.0350198707527609
MRC2	0.667271602616006
NME1-NME2	-2.83208049672497
SLC6A7	2.53499581820761
TSPAN9	-3.30303971360122
BTBD7	0.644572721573062
APBA3	-0.829254899645983
MKS1	1.2141325259959
ABHD5	2.28026816463667
ANOS1	5.53895777825703
AKAP8L	0.600513067060562
MBTD1	0.448757728052939
UTP18	-0.744555688712917
RNF216	-0.403489182036088
TTC19	-1.13205712778787
PTBP1	-1.04578083217105
DPF1	-5.76511249717473
SYT7	7.80378030827891
LARS2	0.116017511031227
PIK3C2A	1.62587909792924
PLAUR	2.76970390444081
ANLN	-1.60549322521362
WIZ	-0.199862545945459
RABGAP1	0.259977486285751
DCN	-1.79029038903123
QPCTL	-1.09388454872812
PPP5C	-0.490943240002066
CEP68	1.22200720532256
MAP4K3	2.92112370850914
ZBTB32	-1.03674736640034
TYROBP	1.21148072633407
TMEM159	-0.962604364524175
GABRA3	0
BRCA1	-1.68353504036777
ERCC1	-0.208821412270845
CD22	0.125004946173205
SEMA3B	-0.713569769337367
MBTPS2	0.693682932108512
PRICKLE3	-0.618835412646182
LTF	-0.764744039187295
EXTL3	-0.0858430467885473
NR1H4	0
ELOVL5	-0.490618100996144
ALOX5	2.22308469340529
KDM5D	-6.9050598877844
CALCOCO1	3.31783884118404
UBR7	0.570249061161892
MAP4K5	0.143941705478554
EHD3	0.762942171985442
PSMC4	-0.414458974306097
MAN2B2	0.798630817891338
SLC7A14	2.50494391857331
CLDN11	-0.466388865454193
SLC25A39	-1.80938650238618
MVP	4.19486403168965
NUB1	0.245577376781906
PGM3	-0.592653311293897
RWDD2A	-0.697623434838551
CLK1	0.687885953501423
POLR3B	0.0123444241550641
ANGEL1	1.45946405123777
RNF14	1.7992611817444
DNASE1L1	2.35218737345824
DDX11	-2.90398439561864
HEBP1	-0.615731548837931
GPRC5A	-1.13955952749465
MAMLD1	1.81938614719942
CD6	5.03026109840313
TACC3	-0.98055010759544
UFL1	1.28570376818551
POLA2	-0.770638050567923
ZC3H3	-0.434852214617608
CAPN1	0.329374788082885
ACP3	6.41175354425543
MDH1	0.181575576786301
SLC30A9	2.18094792701428
MTMR11	4.76389541400484
COX15	-0.403628070229575
CCDC88C	1.20386013783562
YAF2	-0.995126308336172
ZMYND11	-0.669639047209801
WAS	0.049372847735099
DPEP1	0.882179550886419
BID	-0.330780565508928
MATR3	0.215589249398866
NPC1L1	-0.775499107849113
XYLT2	-0.134292890832439
RGPD5	-0.0302982740140818
STMN4	0
NUDCD3	-0.413894180736344
ISL1	0
CHDH	0.306211790340734
IL20RA	0
CLCA1	0
CLCA4	-0.100800559832042
GLT8D1	-0.492811658172307
ATP2C1	0.764121707314271
IGF1	-0.984067920239703
SLC38A5	-6.12249179749541
RALBP1	-0.143169488851047
RUFY3	2.12554663922088
CNTN1	0.263981864026356
SLC11A1	1.58715424914415
WWTR1	-1.19075641978966
AGPS	0.165051681417523
ZNF806	0
CXorf56	-0.260649005397793
ATP1A2	5.89860981955284
TTC27	-0.656558500288821
ZNF582	1.85666281535506
VSIG2	1.12946383128147
PHLDB1	2.55187135026004
MARCO	-3.81729232691375
CYP24A1	2.52690891073651
PRDM11	-0.0358953374385852
SYT13	-1.04358957704848
SNAI2	-1.03676891931786
CD74	-2.7043012000701
HGF	-3.86700136362311
ZRANB1	1.61297944666434
NCDN	0.361483010467931
ADGRA2	-3.89877536997806
CCT8L1P	-1.03678311712816
ZFP64	0.179455088324698
MNAT1	-1.22274888569329
SAMD4A	3.11180726345468
RUNX3	0.750356775352239
MRE11	-0.433700860435612
PLEKHB1	-1.03677863696693
SERPINB1	-1.21911476936924
CYP3A43	0.202511857404328
SLC7A9	-1.10170033021653
SPAST	0.697650049731033
NRXN3	0.506497797986519
OSBPL5	-3.14353116418183
AQR	0.0568736185629951
CPS1	0.495011759418637
C8B	-0.0748981577415258
FHL1	6.49119147601325
RTF2	0.342846493053186
GABRA1	2.33185033089588
NLRP2	-0.53532776338655
SLC45A4	0.932012223639558
RNF10	0.049208861785305
ZNF839	-1.06825050885473
ZDHHC6	-1.2302843966772
GRAMD1B	-3.99104012998351
RNH1	0.397261903200602
NDUFS1	0.713457755635017
RB1CC1	0.278122473507009
ERP44	0.532192119891915
ALAS1	0.635594980715561
BIRC3	-1.89196943399472
AKAP11	1.43093534382006
GLRX2	1.54042122524313
SNAPC1	-0.913752969101129
DERA	0.722908440598169
STRAP	0.409034477918439
ABCC2	0.882951743188921
DEF6	-0.419487910589207
PLEKHO1	2.20518507663452
GCLM	-1.53153676213703
UBR2	1.0620252491395
EHD2	0.426735238173523
DEPDC1	-3.18370848433566
CCDC28A	0.310916973658755
RRAGD	-1.20211702876387
HSF2	-1.83123375326097
PHF20	0.490542363848442
HSD17B6	3.86259282992581
NR1H3	2.88657270410037
TYMP	1.78997842211049
NCAPH2	-2.43952062597738
TOMM34	-0.489038896912663
SEC63	-0.461523208228994
KPNA6	0.399539105282125
VIM	2.10597328437185
RTEL1-TNFRSF6B	-1.42533173008198
FAS	-2.42899296523569
RNASET2	-0.494320631147938
CD44	3.05061793508764
KCNG1	-0.134345899482307
AGPAT4	7.85888332161806
SLAMF7	8.858260697611
BTN3A1	0.842486684567993
MIPEP	0.497228606466807
PRKCH	-0.87519044443585
INSRR	0
IFNGR1	1.84149840299362
B4GALT7	-0.218857918849185
SH2D2A	-6.29124548121219
VRK2	0.16956695136575
TNFRSF1B	4.00644248025239
VEZT	0.828638067475556
POU2F2	1.37736542952589
BRD9	-0.631522588778669
SNX1	2.07293388160136
TBPL1	-0.490492118359984
ARNTL2	0.440441564550752
BCLAF1	-0.780989600927699
SLC39A9	1.22245089898954
ANK1	3.82273208057257
IBSP	-1.03673619418314
TFB1M	-0.199881775942054
RABEP1	-0.328520210896102
HMGB3	0.166621630122651
NUP160	-0.964296307397036
BAK1	2.04168444038597
MUSK	-4.19499039351728
IKZF2	-0.696419119113222
GRN	0.0998140192442745
FAM13B	2.67772416285319
ARHGAP31	4.44074999465527
CENPQ	-2.06605685525811
SARS1	0.136927906237582
RANBP3	-0.386359058582033
ARID4A	0.377545016560787
EIPR1	-0.196903688622402
PNPLA6	2.23316917936321
IFT88	-1.30424063798228
ALG1	-0.667021298556786
ZCCHC8	-0.223634491500407
ABCF2	-0.562604525133554
CHPF2	1.48229461575534
LRRC7	-0.746534474696446
FUT8	0.603527575272944
UBA6	0.737180903499358
GAB2	1.11838206571768
ATP6V0A1	2.30474875742962
PIAS1	0.117156018230225
SLC4A7	-2.13114368149808
APBA2	-3.74231056631053
MAP2K3	0.628478220915945
EFCAB1	-0.0746115840902368
TMSB10	2.41736032423894
ASTE1	1.02173009622325
RNF19A	3.2780799771512
PEX3	-0.395916867952866
GABARAPL2	0.220575765295597
MYOC	-1.0367628610366
SH3YL1	-1.1375012841363
FAM136A	-1.12080082366418
VCL	-0.0912902890462514
DEPDC1B	-4.15317764123037
DAPK2	0.239392378710461
NSMAF	0.960389726431196
ADSS2	0.526993481303998
STAP1	-1.07772593124682
TIMP2	2.91254713488442
RFC1	-1.52838813132009
TBC1D23	1.13853489785026
CUL3	1.09752680258402
MYOM2	-1.06365670310298
OTC	0
CYP46A1	-0.482979128412554
AC118549.1	0.0550726817612927
SLC18A1	0.0963304056601615
USP2	5.47404397463047
CASR	0.248049276752746
TUBG2	1.07446525238959
RPL26L1	0.207825314799002
FLT4	-5.19949920773746
NSUN2	-0.410636026655486
FBXO42	0.704787115329833
MFAP3	2.55219710613729
MRI1	-1.56349666602635
METTL1	-0.667528330801435
HOXC8	-1.03674617930651
AGA	0.818465061239939
PI4K2B	0.555092132312937
BOD1L1	0.15722600774939
MAT2B	1.4240732453176
TLL1	1.26109586666997
EDC4	0.0329005776860749
TRIO	-0.092026941037403
VCAN	-2.00100162432069
CLEC16A	0.0858349609788976
MSR1	4.7750133088679
CDH1	-0.858936389680109
MTREX	-0.639638521694467
DNAH5	-3.73082869161114
ZFYVE16	2.03641246594011
RIPOR1	1.34178468207468
C6	0
RAI14	3.84220985460773
SOX30	0
PNKP	0.392178717448313
BEST2	0
PHLPP2	0.62936940528914
SPDL1	-1.57117451631338
STAU2	-1.43175316032862
SLC66A1	1.82037442782964
CTNS	4.56414424829719
RTN4R	4.84983482553555
PHF23	0.624373017988164
CDH10	-1.0367467719179
INPP4A	0.107522957634991
RAB27B	0
PSMA4	-1.52677641176809
MYO16	2.96019021999758
LSG1	-0.348060306037458
PARP3	0.907765372125136
TNC	6.16643276199942
THAP3	0.550348760699025
RIPOR3	1.80376590405019
TDP1	0.726276093142371
AIFM2	-0.735627143376326
C2orf83	-2.05082503605442
SPATA7	-1.23724856425352
MED17	0.148615139813162
RETSAT	1.26370436917442
CAPG	0.111451372121059
AP2S1	-0.0711982607279853
USH2A	-4.0795852463188
ZPBP	0
TG	1.1690783986889
ADAM28	2.29180771617575
BARX2	-0.066196453330013
DCUN1D1	1.10264008532471
JADE2	1.57576400450128
ZIC2	-4.92595103622421
LCP2	-1.14949363484747
TRIT1	-0.978032720690702
ADRB1	-4.27437053259047
GUCA2B	2.61684334516353
CUL7	1.75070313840888
CTNNA1	0.0620565918664215
PHKA2	-0.68215970682677
CNTLN	-1.65750087542244
EPHA3	-2.261541321783
HSPA5	-0.299325639052708
DSG2	-0.336114645048471
GEMIN8	0.202605645033853
OFD1	0.751515770173103
GPM6B	-0.178678724617021
MAGEC2	0
PREX2	-2.89891627095795
WDR37	1.60593353922072
YTHDC2	0.208354275010616
CTPS2	-3.5047022247838
ATP6V1H	1.82597067246582
POLR2B	1.40001851400784
FAM214A	2.77482233868626
ARAP2	2.96705783488107
TPR	-0.902359297245181
CP	-0.550487896436654
KIAA0556	1.20561416619752
DTNBP1	-1.23673093644761
XK	-0.143897033116162
ANO2	-1.03673061060357
C12orf4	-0.0442392092011143
SCML1	0.442916831956666
WWC3	2.73607720877407
ARHGAP6	3.90826186177141
FAM184B	1.03974688565844
MAP4	-0.324096412106556
GOPC	0.227860049354393
ROS1	0
USP28	1.39499514039266
HDAC9	2.26007441544625
TSPAN17	5.88349648408736
NOP16	-2.3497201620015
CC2D2A	0.28893779038664
RRM2B	1.03631835812108
ZNF800	0.935592814330247
TNFRSF17	-1.70665834720361
SNX29	-1.04752526874692
LMO3	-5.38697737582455
MRPS10	-0.130317268899353
GUCA1A	-1.03673822512654
RSF1	0.31709076632652
VPS13D	1.40024886555311
CELF2	-0.462376223778874
FAM120A	0.388401817304928
R3HDM1	-0.676140635544665
COL9A2	1.60301644029696
KITLG	1.95936914616101
ERCC8	-0.0563659534194194
ADAMTS6	5.93947572272003
H6PD	1.51397001059865
VAMP3	-0.264774637394409
PER3	1.75593197526595
UTS2	3.30122235019986
TNFRSF9	2.1209811113268
EPN3	7.49553052823785
LTBP1	-2.48331715112057
RCN1	-2.91837853572763
ELN	-0.286528146068866
RFC2	-2.59797368344918
ARID1B	-0.357642983054423
CLPTM1L	-0.017926646899127
NEDD4L	-6.20807722842549
FOXP3	-0.244218411486129
PPP1R3F	4.20054411583108
HEXB	0.187389137765236
PTCD2	-0.859011365607197
NEXMIF	-1.53172217247953
JKAMP	-0.623543282249442
DKK3	0.200315349090485
ARHGEF5	-0.598314366391686
NFE2L3	-1.39876035491866
MCUR1	0.578746309380606
LIMA1	0.431397377213644
LETMD1	-0.660456436555863
SLC4A8	0.856884116812486
LAMC3	-4.10319520569213
PTGER3	2.875768080028
TNIP3	-4.19010693080305
MAPK9	-0.984638446950143
COL23A1	-1.04850853086135
BCAR1	3.91912254447942
FAM160A2	0.150549545456077
HERPUD1	2.54072780391616
HOMER3	-1.56927341328256
RAD51	-3.16890239185141
POLQ	-4.93726982363362
PIK3CB	1.04791687949245
CYBA	0.456760000775699
THOC3	-2.24750718240107
HEBP2	-2.06044888473792
MPHOSPH9	-3.10812350908585
PLEKHA5	-0.578868437332088
PRSS8	-0.726463076492946
SIKE1	0.637776060815062
RRP12	-0.663990237359345
FNIP2	2.69338849323797
MSMO1	1.79501133154766
TTC17	-0.370439068647342
ALX4	2.2277068277433
FSTL4	0
FOXN3	-0.619884888143774
METTL24	0
AKR7A2	1.29902967754466
MRTO4	-0.803697301028723
NNAT	-5.9620243976818
USE1	-0.174113269635332
MCF2L2	-0.719757572960259
NRIP2	-1.64727961950018
LAMA3	3.69986085283196
AP5M1	0.345859725099448
ANAPC4	-0.0669618818460736
