GO	[-23.88 -0.93]	[-0.93 -0.52]	[-0.52 -0.27]	[-0.27 -0.18]	[-0.18 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.56]	[0.56 1.22]	[1.22 2.16]	[2.16 10.00]
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	7.490	22.643	2.247	-0.707	-0.543	-6.691	-1.755	-2.143	-5.455	-6.691	-6.681
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	7.785	16.793	1.900	-0.918	-1.679	-3.984	-1.679	-3.984	-3.984	-2.956	-3.977
SCHUHMACHER_MYC_TARGETS_UP SCHUHMACHER_MYC_TARGETS_UP	29.139	1.902	-0.595	-1.707	-2.362	-3.318	-1.225	-1.225	-0.865	-3.318	-3.313
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	2.642	13.458	6.322	-0.702	0.252	-4.608	-2.132	-2.132	-4.608	-3.523	-4.600
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	10.750	11.630	-0.452	-2.488	-1.093	-1.641	-1.641	-1.641	-2.488	-2.488	-2.484
DANG_MYC_TARGETS_UP DANG_MYC_TARGETS_UP	6.862	8.531	3.209	-0.448	-1.368	-5.399	-1.063	-2.188	-1.063	-2.733	-3.396
RAMALHO_STEMNESS_UP RAMALHO_STEMNESS_UP	4.134	8.912	1.510	-0.672	0.496	-8.111	0.622	-0.408	-3.089	-2.216	-4.934
WELCSH_BRCA1_TARGETS_DN WELCSH_BRCA1_TARGETS_DN	9.216	6.504	1.272	-0.784	-0.441	-4.675	-1.015	0.391	-3.795	-3.092	-3.085
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	10.760	6.448	-0.431	-1.191	-0.431	-1.948	-1.191	-1.948	-1.948	-1.948	-1.945
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	12.479	2.485	0.571	-0.755	-1.989	-1.989	-0.451	-0.755	-1.989	-1.989	-1.986
KARLSSON_TGFB1_TARGETS_UP KARLSSON_TGFB1_TARGETS_UP	11.827	5.370	-0.255	-1.985	-2.508	-1.985	-2.508	-1.208	0.353	-1.208	-0.920
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN	2.992	8.120	3.688	0.260	-0.992	-3.934	-0.607	-1.240	-2.276	-4.704	-0.778
BASSO_B_LYMPHOCYTE_NETWORK BASSO_B_LYMPHOCYTE_NETWORK	7.132	2.187	1.897	-3.975	-2.172	-6.066	-0.502	-1.113	1.150	-1.406	0.341
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	3.023	7.452	2.284	-0.702	1.109	-3.523	-1.649	-1.649	-1.261	-3.523	-1.644
IRITANI_MAD1_TARGETS_DN IRITANI_MAD1_TARGETS_DN	8.248	2.134	2.134	-1.906	-0.411	-1.906	-0.411	-1.906	-1.157	-1.906	-1.903
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	2.432	10.010	0.476	-0.599	0.269	-1.740	-1.024	-1.740	-1.740	-1.740	-1.738
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	7.292	5.333	0.795	-1.361	0.482	-3.192	0.359	-1.706	-1.706	-2.116	-2.110
GOLDRATH_HOMEOSTATIC_PROLIFERATION GOLDRATH_HOMEOSTATIC_PROLIFERATION	2.116	5.993	2.420	0.433	-1.806	-4.947	0.725	-0.697	-0.528	-1.806	-4.039
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	6.158	6.158	0.627	-0.546	-0.344	-1.819	-0.546	-1.819	-1.819	-2.695	-1.815
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	11.488	2.886	0.636	-1.335	-0.957	-1.835	-0.957	-0.671	-1.335	-0.957	-2.505
DANG_REGULATED_BY_MYC_UP DANG_REGULATED_BY_MYC_UP	4.034	5.189	2.546	-1.332	-0.390	-2.820	-1.332	-0.606	-0.606	-2.820	-1.922
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	2.353	5.531	3.486	-1.057	-0.354	-1.782	-1.057	-1.057	-1.782	-1.782	-1.779
ELVIDGE_HYPOXIA_DN ELVIDGE_HYPOXIA_DN	2.420	5.076	2.116	0.433	-0.284	-6.149	0.433	-1.153	-1.153	-3.325	-1.148
