GO	[-10.47 -0.89]	[-0.89 -0.53]	[-0.53 -0.31]	[-0.31 -0.19]	[-0.19 0.00]	[0.00 0.00]	[0.00 0.25]	[0.25 0.60]	[0.60 1.22]	[1.22 2.23]	[2.23 9.41]
WP_SPINAL_CORD_INJURY WP_SPINAL_CORD_INJURY	-0.456	-2.393	-3.846	-1.124	-1.124	0.401	0.282	-0.456	1.398	3.849	2.626
WP_HUMAN_COMPLEMENT_SYSTEM WP_HUMAN_COMPLEMENT_SYSTEM	0.259	-3.081	-2.340	0.543	-2.340	0.543	0.259	-0.348	-0.348	0.951	5.741
WP_PEPTIDE_GPCRS WP_PEPTIDE_GPCRS	0.429	-2.185	-1.552	0.622	0.277	2.577	-1.552	-3.119	0.429	0.622	2.139
WP_VITAMIN_D_RECEPTOR_PATHWAY WP_VITAMIN_D_RECEPTOR_PATHWAY	-0.887	-1.103	-2.826	-1.988	-0.703	2.324	-1.103	0.624	0.285	3.249	2.290
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3 WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3	-0.364	-2.704	-1.481	-0.772	-0.538	2.622	0.740	-2.005	0.246	1.239	2.206
WP_COMPLEMENT_AND_COAGULATION_CASCADES WP_COMPLEMENT_AND_COAGULATION_CASCADES	0.347	-1.065	-2.451	-0.260	-1.065	-0.434	-0.692	-0.434	0.542	0.787	5.548
WP_LUNG_FIBROSIS WP_LUNG_FIBROSIS	-1.183	-1.183	-1.751	-0.315	-0.508	0.460	0.288	-0.508	0.288	0.460	5.739
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	-1.119	-1.119	-0.260	0.645	-0.550	-0.260	-0.260	-0.550	2.683	-1.119	2.044
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	-0.676	-0.392	-1.125	-0.676	0.226	-0.392	-1.867	0.226	0.961	0.961	3.280
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY	-0.222	-0.491	-0.491	-0.222	-1.036	-0.491	-0.491	-0.222	-0.491	0.398	5.335
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II	-0.887	-1.356	-1.649	1.127	-0.703	0.773	-1.356	0.941	0.493	0.285	2.579
