GO	[-10.47 -0.92]	[-0.92 -0.55]	[-0.55 -0.32]	[-0.32 -0.20]	[-0.20 0.00]	[0.00 0.03]	[0.03 0.27]	[0.27 0.60]	[0.60 1.22]	[1.22 2.21]	[2.21 10.00]
MIR3925_3P MIR3925_3P	-2.307	-1.903	-1.262	-1.262	0.908	-2.307	3.648	3.648	1.536	-0.798	0.348
MIR4255 MIR4255	-1.670	0.819	0.402	-0.301	1.193	-5.894	0.819	1.193	2.164	-1.101	-0.872
MIR22_3P MIR22_3P	1.326	-0.751	-0.567	0.414	1.326	-3.728	2.143	1.849	-0.567	-3.030	-0.563
MIR4257 MIR4257	-2.639	-0.761	1.681	-1.662	0.432	-3.300	1.681	1.167	1.167	-0.412	0.582
AACATTC_MIR4093P AACATTC_MIR4093P	-1.708	-0.638	1.689	-2.119	-0.478	-1.363	4.049	0.628	-1.074	0.257	1.205
MIR138_1_3P MIR138_1_3P	-0.427	0.679	-0.427	3.011	0.679	-3.403	-0.278	0.484	0.910	-0.633	-2.431
MIR4305 MIR4305	-0.382	-2.322	0.877	-0.977	1.958	-2.322	1.191	-0.382	1.191	-0.623	0.399
MIR3129_3P MIR3129_3P	-2.604	-2.011	0.419	-0.312	0.977	-1.167	3.669	0.762	-0.451	-0.634	0.766
MIR874_3P MIR874_3P	0.664	-2.239	0.435	-2.239	1.275	-1.432	1.275	-0.348	1.275	-0.348	0.260
MIR143_5P MIR143_5P	0.395	-1.064	1.585	-0.611	-0.448	-0.813	1.092	3.214	0.282	-0.611	-3.397
MIR4725_5P MIR4725_5P	0.612	-2.322	-0.382	0.612	1.552	-1.501	0.397	1.191	-0.977	-1.501	1.195
MIR6827_3P MIR6827_3P	0.313	0.467	0.467	0.313	1.440	-3.445	0.883	0.883	0.467	-1.308	-1.799
MIR520A_5P MIR520A_5P	0.428	-0.388	-0.679	-0.518	-0.518	-1.709	1.762	4.042	-0.284	0.318	-2.084
MIR657 MIR657	-0.301	-0.471	0.301	-1.487	0.907	1.188	3.633	0.301	-1.487	-1.039	-1.035
MIR2682_3P MIR2682_3P	-2.821	-0.910	-0.910	1.729	1.376	-0.606	0.372	1.063	-0.390	-0.606	0.794
MIR1282 MIR1282	2.149	-0.828	-0.828	0.256	-0.351	0.566	-0.828	-0.351	-0.828	-0.351	2.153
ACACTCC_MIR122A ACACTCC_MIR122A	-0.753	-0.506	0.851	-1.091	3.991	-1.091	1.120	0.276	-1.549	-0.327	-0.325
MIR4732_3P MIR4732_3P	-1.029	-0.338	0.404	-1.029	4.596	-1.029	0.576	0.783	-0.338	-1.421	-0.336
MIR593_5P MIR593_5P	-0.319	0.284	-0.569	-1.805	0.645	-2.199	1.904	0.805	1.904	-1.469	0.388
MIR3611 MIR3611	2.916	0.283	-0.436	-0.976	1.458	-2.343	-0.320	0.388	0.828	-1.544	-0.432
