GO	[-18.23 -0.97]	[-0.97 -0.53]	[-0.53 -0.27]	[-0.27 -0.18]	[-0.18 0.00]	[0.00 0.05]	[0.05 0.34]	[0.34 0.72]	[0.72 1.25]	[1.25 2.23]	[2.23 10.00]
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-0.659	8.011	17.945	0.636	-0.301	-3.062	0.301	-4.914	-8.075	-3.594	-3.586
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-6.445	0.357	3.859	3.127	7.979	-1.613	1.884	-0.348	-4.304	-5.223	-6.437
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS	-1.408	-2.319	-2.948	-3.753	-3.753	-2.948	-0.597	0.301	3.104	6.357	8.663
HAY_BONE_MARROW_EARLY_ERYTHROBLAST HAY_BONE_MARROW_EARLY_ERYTHROBLAST	10.619	2.683	0.817	-0.447	-1.227	-3.943	-2.197	-1.227	-0.447	-1.650	-0.639
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	-0.556	-2.629	-3.800	0.395	-0.556	1.006	-1.780	-0.923	0.518	0.823	9.014
AIZARANI_LIVER_C21_STELLATE_CELLS_1 AIZARANI_LIVER_C21_STELLATE_CELLS_1	0.636	-2.598	-4.205	-1.529	0.301	-0.829	-1.028	0.301	0.945	0.945	8.518
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	0.754	-1.534	-3.293	1.119	-0.346	4.066	-3.293	-2.746	0.754	0.260	2.374
DESCARTES_FETAL_PLACENTA_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_PLACENTA_VASCULAR_ENDOTHELIAL_CELLS	0.359	-1.029	-4.193	0.359	-0.752	-0.537	-1.828	-0.537	1.136	0.897	6.116
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS	0.439	-3.715	-2.913	1.766	-0.417	5.400	-1.055	-1.055	0.311	0.439	0.441
LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE	0.309	-1.342	-1.342	-1.342	-0.861	-4.892	1.432	3.820	0.535	0.535	1.929
DESCARTES_MAIN_FETAL_MICROGLIA DESCARTES_MAIN_FETAL_MICROGLIA	-2.102	-0.327	-1.155	-0.436	-0.926	-2.102	-1.155	-0.436	1.560	2.346	5.614
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	0.393	-2.071	-2.671	0.543	-0.909	5.433	-0.909	-0.909	2.033	0.543	-0.666
AIZARANI_LIVER_C17_HEPATOCYTES_3 AIZARANI_LIVER_C17_HEPATOCYTES_3	0.346	-1.051	-3.183	-0.260	-0.771	0.873	-1.051	-0.771	-0.385	0.667	6.591
