GO	[-23.88 -0.89]	[-0.89 -0.54]	[-0.54 -0.31]	[-0.31 -0.19]	[-0.19 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.55]	[0.55 1.21]	[1.21 2.18]	[2.18 10.00]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	9.811	13.541	1.906	-0.918	-1.252	-3.987	-1.681	-3.987	-3.987	-2.959	-4.001
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	3.872	11.351	5.812	-0.507	-0.357	-3.527	-2.134	-2.134	-4.613	-3.527	-4.629
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	14.488	7.546	-0.273	-2.489	-1.093	-1.642	-1.642	-1.642	-2.489	-2.489	-2.497
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	6.857	5.523	0.262	-0.344	0.262	-2.696	-0.344	-1.820	-1.820	-2.696	-1.828
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	3.598	8.172	0.477	-1.024	0.477	-1.741	-1.024	-1.741	-1.741	-1.741	-1.747
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	4.131	3.493	3.493	-1.057	-0.354	-1.782	-1.057	-1.057	-1.782	-1.782	-1.788
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	3.088	6.646	0.502	-1.699	0.502	-1.699	-0.991	-0.574	-1.699	-0.991	-1.705
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	3.051	6.539	0.427	-0.994	-0.462	-0.994	-0.994	-0.994	-0.994	-0.994	-0.997
PID_MYC_ACTIV_PATHWAY PID_MYC_ACTIV_PATHWAY	5.900	1.954	1.954	-0.577	-0.382	-3.279	-0.577	-1.198	-1.198	-1.198	-0.848
REACTOME_MITOCHONDRIAL_BIOGENESIS REACTOME_MITOCHONDRIAL_BIOGENESIS	2.690	4.005	1.620	-1.651	-0.301	-2.922	-0.446	0.818	-0.897	-1.651	-2.210
WP_AMINO_ACID_METABOLISM WP_AMINO_ACID_METABOLISM	7.103	1.459	1.172	-0.257	-0.571	-2.066	-0.571	-0.390	-2.772	-1.535	-0.819
WP_TRANSLATION_FACTORS WP_TRANSLATION_FACTORS	2.621	1.709	3.703	0.272	-0.556	-0.892	-0.556	-2.198	-0.556	-2.198	-1.403
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	3.707	2.518	1.537	-0.318	-0.318	-1.699	-0.574	-0.574	-0.991	-1.699	-1.705
REACTOME_PROTEIN_LOCALIZATION REACTOME_PROTEIN_LOCALIZATION	2.155	4.585	0.790	-0.327	0.375	-3.874	0.790	-0.581	-1.830	-1.202	-1.504
KEGG_RNA_POLYMERASE KEGG_RNA_POLYMERASE	3.829	0.929	2.463	-0.299	-0.299	-1.201	-1.201	-0.299	-1.201	-1.201	-1.206
WP_PYRIMIDINE_METABOLISM WP_PYRIMIDINE_METABOLISM	4.245	1.084	3.747	-0.473	-0.473	-1.869	-0.691	-0.981	-1.869	-0.691	-0.988
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	2.019	3.520	1.234	0.246	-0.364	-2.281	-1.466	0.246	-0.600	-0.949	-1.473
KEGG_PURINE_METABOLISM KEGG_PURINE_METABOLISM	6.142	1.050	0.693	-0.292	0.310	-3.107	-0.889	-1.125	-0.693	-0.693	-0.404
KEGG_PYRIMIDINE_METABOLISM KEGG_PYRIMIDINE_METABOLISM	4.274	0.974	2.535	-0.336	0.269	-1.304	-0.336	-1.304	-1.740	-0.962	-1.312
REACTOME_NUCLEOBASE_BIOSYNTHESIS REACTOME_NUCLEOBASE_BIOSYNTHESIS	4.786	2.070	-0.621	-0.621	-0.223	-0.621	-0.621	-0.621	-0.621	-0.223	-0.623
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER	2.568	1.433	1.965	-0.279	0.324	-1.160	-0.579	-0.579	-1.160	-1.160	-1.164
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	4.852	0.458	1.284	-0.434	0.200	-0.953	-0.434	-0.434	-0.953	-0.953	-0.956
REACTOME_METABOLISM_OF_NUCLEOTIDES REACTOME_METABOLISM_OF_NUCLEOTIDES	4.274	2.535	0.269	-0.696	-0.491	-1.740	-0.696	-1.304	0.399	0.269	-1.312
WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER	2.812	3.392	-0.373	0.431	-0.373	-1.090	-0.373	-0.650	-1.824	-0.650	-0.654
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	2.749	2.749	-0.455	-0.455	0.187	-0.455	-0.455	-0.455	-0.455	-0.455	-0.457
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	2.013	1.514	1.514	0.427	0.216	-0.764	-0.407	-1.409	-0.764	-0.764	-1.414
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	3.392	1.801	-0.373	0.431	-0.373	-1.824	0.240	0.240	-0.650	-1.090	-1.095
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	3.498	1.732	-0.497	-0.497	0.167	-0.497	-0.497	-0.497	-0.497	0.167	-0.498
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION	2.549	2.549	-0.497	0.167	0.167	-0.497	-0.497	-0.497	-0.497	-0.497	-0.498
REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT	2.474	0.821	-0.434	0.821	0.200	-0.953	-0.434	-0.953	0.821	-0.953	-0.956
WP_PURINE_METABOLISM_AND_RELATED_DISORDERS WP_PURINE_METABOLISM_AND_RELATED_DISORDERS	3.342	1.358	-0.406	-0.911	0.491	-0.911	-0.911	-0.406	-0.406	-0.406	0.216
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	2.410	1.193	0.398	-0.622	-0.381	-2.322	-0.381	1.193	-0.381	-0.622	-0.983
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	2.728	0.931	0.236	0.527	-0.378	-0.870	0.527	-0.870	-0.378	-0.870	-0.873
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	2.402	0.304	1.714	-0.298	0.304	-0.745	-0.298	-0.298	-0.745	-0.745	-0.748
