GO	[-23.88 -0.89]	[-0.89 -0.54]	[-0.54 -0.31]	[-0.31 -0.19]	[-0.19 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.55]	[0.55 1.21]	[1.21 2.18]	[2.18 10.00]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	1.254	20.257	13.550	-0.584	0.352	-7.837	-1.151	-3.414	-7.837	-7.837	-7.865
KEGG_SPLICEOSOME KEGG_SPLICEOSOME	0.580	21.343	8.281	-1.003	-0.411	-5.281	-2.640	-2.640	-5.281	-2.640	-4.158
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	9.811	13.541	1.906	-0.918	-1.252	-3.987	-1.681	-3.987	-3.987	-2.959	-4.001
REACTOME_INFLUENZA_INFECTION REACTOME_INFLUENZA_INFECTION	-1.340	6.835	14.475	1.570	0.918	-5.309	-1.662	-1.340	-3.635	-3.635	-5.330
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-1.424	-1.424	-2.946	-0.986	0.968	28.964	-0.437	-2.946	-2.946	-0.986	-2.044
REACTOME_CD22_MEDIATED_BCR_REGULATION REACTOME_CD22_MEDIATED_BCR_REGULATION	-2.530	-2.530	-2.530	-1.677	1.006	26.653	0.316	-2.530	-1.677	-0.738	-1.685
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	3.872	11.351	5.812	-0.507	-0.357	-3.527	-2.134	-2.134	-4.613	-3.527	-4.629
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	-1.963	-2.863	-2.863	-0.935	0.765	28.498	-0.405	-1.963	-1.363	-1.963	-0.941
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	1.489	12.750	6.329	-0.468	-0.262	-5.160	-0.776	-0.608	-3.108	-4.359	-6.162
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	-1.198	-1.676	-3.279	-1.198	0.749	27.268	-0.382	-2.327	-2.327	-0.842	-1.206
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	-0.645	4.649	14.452	1.115	0.531	-4.989	-0.866	-1.483	-3.871	-3.871	-3.887
REACTOME_S_PHASE REACTOME_S_PHASE	-0.722	5.118	8.501	1.436	2.523	-6.746	0.293	-1.448	-3.806	-3.806	-5.527
REACTOME_DNA_REPLICATION REACTOME_DNA_REPLICATION	-0.778	6.533	9.994	1.144	1.144	-5.323	-0.423	-3.337	-2.672	-2.672	-5.342
REACTOME_FCGR_ACTIVATION REACTOME_FCGR_ACTIVATION	-2.863	-2.863	-2.863	-1.963	1.031	23.676	-0.251	-0.626	-1.963	-0.405	-1.370
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	14.488	7.546	-0.273	-2.489	-1.093	-1.642	-1.642	-1.642	-2.489	-2.489	-2.497
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-1.684	-5.496	-5.496	-3.980	-0.441	8.579	-1.133	-1.684	0.361	2.820	8.035
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	0.645	13.380	3.456	-1.126	1.498	-1.820	-0.352	-1.820	-2.835	-5.532	-5.552
REACTOME_NONSENSE_MEDIATED_DECAY_NMD REACTOME_NONSENSE_MEDIATED_DECAY_NMD	-1.384	2.421	14.292	2.421	0.595	-4.822	-0.582	-1.384	-2.916	-3.718	-3.733
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	0.433	10.103	7.152	-0.566	0.311	-3.302	-0.291	-0.761	-3.302	-4.141	-5.300
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	-0.877	3.432	14.028	1.647	0.403	-5.900	-0.301	-1.671	-2.445	-2.928	-3.509
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	-3.571	-2.586	-2.586	-1.902	1.648	18.983	0.420	0.420	-2.586	-1.005	-0.716
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	-2.036	-2.036	-2.036	-2.036	1.966	21.914	-0.437	-0.667	-0.986	-1.424	-2.044
REACTOME_NUCLEOTIDE_EXCISION_REPAIR REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.528	5.894	9.449	-1.238	1.139	-4.571	-0.345	-0.930	-3.489	-2.708	-4.587
REACTOME_COMPLEMENT_CASCADE REACTOME_COMPLEMENT_CASCADE	-0.756	-2.846	-4.738	-0.756	0.333	22.158	-1.013	-1.013	-1.733	-0.392	0.462
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.735	1.203	13.744	1.818	0.943	-3.737	-0.377	-0.791	-2.735	-3.737	-2.746
REACTOME_CELLULAR_RESPONSE_TO_STARVATION REACTOME_CELLULAR_RESPONSE_TO_STARVATION	-2.487	3.051	10.065	0.742	0.338	-5.309	0.338	1.570	-1.068	-5.309	-4.403
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	-3.571	-3.571	-1.392	-2.586	1.335	18.038	0.420	0.278	-0.489	-1.392	-1.012
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	-0.785	1.857	7.787	2.386	2.113	-6.654	1.002	-1.206	-1.773	-4.817	-4.135
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.335	7.690	6.508	-0.270	0.335	-4.279	0.335	-0.790	-2.468	-4.279	-4.294
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-2.811	1.581	9.754	2.207	0.647	-4.697	0.647	0.345	-2.811	-3.603	-3.618
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.165	1.658	13.874	1.355	0.842	-3.904	-0.623	-0.875	-2.884	-2.884	-2.176
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	0.516	3.298	8.277	-0.886	1.090	-3.910	1.090	-0.343	-3.910	-3.910	-5.048
REACTOME_MITOTIC_G2_G2_M_PHASES REACTOME_MITOTIC_G2_G2_M_PHASES	-0.905	1.880	6.782	3.302	1.423	-8.300	0.862	-0.574	-3.214	-3.214	-2.757
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	-2.434	3.120	11.860	1.111	0.669	-4.238	-0.771	-0.552	-1.408	-3.185	-3.198
REACTOME_SELENOAMINO_ACID_METABOLISM REACTOME_SELENOAMINO_ACID_METABOLISM	-1.433	3.461	11.838	1.167	0.413	-4.905	-0.613	-0.613	-1.845	-3.794	-2.366
REACTOME_G2_M_CHECKPOINTS REACTOME_G2_M_CHECKPOINTS	-1.282	6.535	4.771	1.760	1.514	-5.742	-0.268	-0.365	-4.788	-3.361	-2.351
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	-0.962	-2.299	-3.034	-1.304	0.399	20.999	-0.336	-1.304	-0.696	-1.740	0.394
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	-0.874	-5.030	-3.694	0.738	-1.079	10.392	-1.593	-3.155	-0.874	2.468	3.691
KEGG_RIBOSOME KEGG_RIBOSOME	-1.967	1.904	12.466	1.904	0.558	-3.654	-0.751	-0.751	-2.660	-2.660	-2.671
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	-1.772	-1.772	-1.281	-2.438	0.680	19.942	-0.633	0.326	-2.438	-0.277	-1.288
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	-2.623	-2.623	-1.420	-2.623	1.301	17.819	0.405	-0.730	-0.338	-1.029	-1.036
REACTOME_PARASITE_INFECTION REACTOME_PARASITE_INFECTION	-2.290	-2.290	-3.718	-2.290	1.771	14.292	0.777	0.986	-0.582	-1.056	-1.800
REACTOME_BETA_DEFENSINS REACTOME_BETA_DEFENSINS	-0.991	-1.699	-1.699	-0.574	-0.574	20.909	-1.699	-0.991	-0.991	-0.318	-0.577
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	0.451	4.324	7.898	-1.336	1.406	-3.487	-0.301	-0.958	-3.487	-1.837	-3.499
REACTOME_DEFENSINS REACTOME_DEFENSINS	-0.837	-2.115	-2.115	-0.300	0.302	19.332	-2.115	-0.837	-0.837	-0.513	-0.842
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	-0.671	8.579	5.414	0.451	1.115	-2.512	-2.512	-1.336	-2.512	-1.336	-3.499
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-1.174	3.417	6.439	0.887	2.715	-6.202	0.555	-1.476	-1.476	-2.763	-3.382
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	-1.227	-2.922	-1.227	-1.651	1.054	17.956	-0.301	-0.301	-2.199	-0.641	-0.904
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	-0.571	4.807	4.807	2.126	0.916	-3.779	-0.257	-2.772	-2.066	-2.066	-3.792
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	-0.437	5.694	8.615	-0.301	0.301	-1.514	-0.301	-0.849	-3.337	-3.337	-3.351
REACTOME_MITOTIC_SPINDLE_CHECKPOINT REACTOME_MITOTIC_SPINDLE_CHECKPOINT	-0.702	1.650	6.350	0.684	1.958	-3.527	1.112	-0.950	-0.950	-4.613	-4.629
REACTOME_HIV_LIFE_CYCLE REACTOME_HIV_LIFE_CYCLE	-0.541	5.040	5.040	0.710	1.808	-4.092	0.422	-0.541	-3.365	-4.092	-2.779
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	-1.558	2.645	7.086	1.101	1.789	-4.751	0.346	0.346	-3.329	-3.977	-1.571
REACTOME_DNA_REPLICATION_PRE_INITIATION REACTOME_DNA_REPLICATION_PRE_INITIATION	-0.981	4.771	5.322	1.689	0.833	-3.529	-0.313	-1.869	-1.869	-1.869	-3.541
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-2.161	-2.704	-2.704	0.292	0.905	13.202	-0.796	-3.373	-0.435	0.408	0.896
