GO	[-23.88 -0.92]	[-0.92 -0.55]	[-0.55 -0.30]	[-0.30 -0.19]	[-0.19 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.56]	[0.56 1.21]	[1.21 2.19]	[2.19 10.00]
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	-0.319	-4.197	-2.854	0.514	-0.435	2.919	-3.463	-2.854	-0.319	4.022	4.414
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.424	-1.977	-4.077	-0.661	-0.845	1.037	-1.624	-1.322	-0.284	1.037	11.100
GOMF_IMMUNE_RECEPTOR_ACTIVITY GOMF_IMMUNE_RECEPTOR_ACTIVITY	0.256	-3.513	-1.819	-1.125	-2.278	0.491	-1.125	-1.125	1.248	2.061	8.836
GOMF_CHEMOKINE_RECEPTOR_BINDING GOMF_CHEMOKINE_RECEPTOR_BINDING	-0.566	-0.566	-2.737	-0.359	-1.855	8.153	-1.271	-0.566	-0.859	0.405	2.229
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	-0.978	-1.253	-1.981	0.552	-1.584	-0.301	-3.029	-0.566	0.552	4.770	4.759
GOMF_CHEMOKINE_ACTIVITY GOMF_CHEMOKINE_ACTIVITY	-1.191	-0.729	-1.948	0.370	-1.948	5.705	-1.191	-0.729	-0.431	0.598	2.559
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	-0.699	-1.317	-2.681	0.474	-1.317	0.597	-2.269	-0.874	1.068	3.708	3.697
GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	0.393	-3.449	-0.909	-1.214	-0.668	0.393	-2.071	0.930	0.393	1.428	4.443
GOMF_LIPASE_ACTIVITY GOMF_LIPASE_ACTIVITY	-0.331	-0.331	-1.766	-0.460	-3.442	0.273	-1.084	-0.831	0.678	3.554	3.545
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	-0.270	-2.949	-2.096	-0.962	-1.187	3.010	0.556	-1.448	1.416	0.693	2.405
GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	-0.505	-1.029	-1.420	0.783	-0.730	-0.505	-2.622	-1.029	0.577	3.603	3.139
GOMF_CYTOKINE_RECEPTOR_ACTIVITY GOMF_CYTOKINE_RECEPTOR_ACTIVITY	-0.324	-2.265	-0.940	-0.940	-1.278	0.412	-1.278	-0.677	1.862	1.257	4.832
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	-0.301	-3.029	-1.253	-0.566	-0.751	0.415	-2.457	0.711	0.711	2.145	3.519
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	-0.940	-2.397	-1.927	0.320	-0.539	-0.539	-0.395	-0.718	1.919	0.746	5.343
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	-0.397	-1.225	-1.707	-0.595	-0.865	-2.363	-0.595	1.245	0.520	2.698	3.134
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.759	-1.544	-1.544	0.661	-0.580	-0.435	-1.910	-0.759	0.514	4.022	3.259
GOMF_PHOSPHOLIPASE_ACTIVITY GOMF_PHOSPHOLIPASE_ACTIVITY	-0.301	-0.617	-1.143	-0.617	-3.335	-0.437	-0.617	-0.437	0.433	3.304	3.726
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	-0.753	-0.753	-0.753	0.429	-2.180	-0.753	-1.091	0.277	0.277	2.151	4.524
GOMF_IMMUNOGLOBULIN_BINDING GOMF_IMMUNOGLOBULIN_BINDING	-0.994	-0.994	-0.994	-0.462	-0.204	0.426	-0.994	-0.462	-0.204	1.745	3.811
GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	0.290	-2.231	-1.680	-0.659	-1.252	1.288	-0.312	-0.918	2.634	0.426	2.249
GOMF_POTASSIUM_CHANNEL_ACTIVITY GOMF_POTASSIUM_CHANNEL_ACTIVITY	-0.645	-1.142	-0.866	0.699	-0.469	0.272	-1.901	-1.483	0.272	2.591	3.747
GOMF_EXTRACELLULAR_MATRIX_BINDING GOMF_EXTRACELLULAR_MATRIX_BINDING	-0.365	-1.466	-1.466	0.246	-0.365	0.638	-2.280	1.233	-0.365	0.416	3.511
GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY	0.522	-1.102	-0.791	-0.247	-2.032	-1.506	-0.554	-0.377	0.363	3.404	2.547
GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY	0.409	-1.865	-1.865	0.226	0.226	2.207	-0.676	-0.676	-0.676	0.654	2.203
