GO	[-23.88 -0.98]	[-0.98 -0.41]	[-0.41 -0.21]	[-0.21 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.33]	[0.33 0.97]	[0.97 1.77]	[1.77 10.00]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	8.987	63.630	0.341	-0.917	-8.302	-8.302	-8.302	-2.751	-6.977	-8.302	-8.292
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	4.896	46.845	1.584	-1.508	-3.252	-6.846	-6.846	-2.245	-4.658	-6.846	-5.593
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	5.327	48.467	-0.597	-0.359	-7.017	-8.344	-8.344	-1.144	-3.255	-2.778	-3.792
MORF_PRKDC MORF_PRKDC	3.643	40.414	2.126	-0.271	-4.757	-7.886	-7.886	-0.607	-2.483	-7.886	-7.876
MORF_FBL MORF_FBL	3.459	44.583	0.692	-0.311	-4.629	-5.807	-5.807	-2.003	-4.629	-5.807	-5.800
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	3.553	40.975	1.008	-0.457	-6.977	-8.302	-8.302	0.341	-3.226	-5.109	-3.219
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	2.656	46.571	0.800	-1.144	-2.858	-5.557	-5.557	-1.842	-4.397	-5.557	-5.551
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	9.064	35.736	0.452	-0.573	-5.917	-8.260	-8.260	-0.724	-1.946	-4.357	-5.066
GSE31082_DN_VS_DP_THYMOCYTE_UP GSE31082_DN_VS_DP_THYMOCYTE_UP	2.627	37.313	2.627	-1.369	-6.977	-8.302	-8.302	0.841	-1.649	-4.390	-5.946
MORF_RFC4 MORF_RFC4	2.302	37.190	1.248	0.845	-5.055	-6.264	-6.264	-0.424	-5.055	-6.264	-6.256
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	2.085	33.794	2.085	0.841	-8.302	-8.302	-8.302	0.692	-4.390	-3.768	-3.761
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	4.711	35.711	1.228	0.301	-4.512	-5.445	-6.679	-0.706	-3.756	-6.679	-6.671
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	5.962	29.303	2.446	-0.871	-8.177	-6.859	-8.177	0.735	-1.900	-6.859	-4.282
MORF_PPP1CC MORF_PPP1CC	2.359	33.628	2.073	0.925	-5.640	-6.887	-6.887	0.260	-3.926	-6.887	-5.632
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	4.152	38.201	0.865	0.564	-4.374	-6.149	-7.428	-0.990	-3.124	-6.149	-5.165
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	3.755	41.841	0.817	-0.688	-4.915	-7.137	-4.915	-1.358	-2.434	-4.915	-4.125
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	2.115	34.857	0.571	-0.573	-5.917	-8.260	-8.260	2.115	-1.109	-6.938	-3.190
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	2.349	33.794	3.553	-0.264	-5.955	-8.302	-8.302	-0.737	-1.127	-4.390	-5.101
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	4.658	30.597	3.936	-0.724	-6.938	-6.938	-8.260	-1.109	-0.724	-5.074	-5.066
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	3.230	34.661	1.838	1.008	-5.109	-5.955	-8.302	-2.335	-0.917	-5.109	-5.946
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP	7.019	31.904	0.678	-0.359	-7.017	-8.344	-7.017	-0.359	-1.670	-3.799	-4.415
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN	2.921	35.536	2.349	0.442	-4.390	-5.955	-8.302	-1.969	-1.127	-5.109	-5.101
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP	2.921	32.937	2.921	0.341	-6.977	-6.977	-8.302	-1.127	-1.369	-2.335	-5.946
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	8.011	28.786	1.191	-0.457	-5.955	-8.302	-5.955	-0.264	-2.335	-4.390	-5.101
