GO	[-23.88 -0.92]	[-0.92 -0.55]	[-0.55 -0.30]	[-0.30 -0.19]	[-0.19 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.56]	[0.56 1.21]	[1.21 2.19]	[2.19 10.00]
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-0.823	-5.266	-6.490	-2.014	0.347	32.457	0.347	-2.979	-1.637	0.600	-0.826
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	1.815	8.152	12.125	0.602	0.260	-4.710	-0.782	-2.747	-4.710	-5.658	-5.668
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	6.401	11.190	2.812	-1.986	0.645	-3.984	-1.559	-1.209	-3.159	-3.984	-5.119
GOMF_HELICASE_ACTIVITY GOMF_HELICASE_ACTIVITY	0.586	6.335	8.908	-1.339	1.825	-6.532	0.338	-1.339	-3.632	-3.632	-2.492
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.792	-2.914	-4.819	0.439	-0.582	19.073	-0.417	-3.716	-1.055	0.985	-0.419
GOMF_MRNA_3_UTR_BINDING GOMF_MRNA_3_UTR_BINDING	-0.581	0.789	-1.490	-0.328	0.375	21.468	-0.752	-3.231	-2.688	-1.829	-1.496
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	-0.319	-4.197	-2.854	0.514	-0.435	2.919	-3.463	-2.854	-0.319	4.022	4.414
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	-0.677	-3.946	-3.946	0.663	-0.496	10.648	-0.677	-2.478	-0.354	0.850	1.059
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.424	-1.977	-4.077	-0.661	-0.845	1.037	-1.624	-1.322	-0.284	1.037	11.100
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	1.405	5.989	2.891	-0.457	0.301	-3.486	-0.301	-1.336	-1.336	-1.836	-1.840
GOMF_SNORNA_BINDING GOMF_SNORNA_BINDING	7.548	2.774	0.480	-1.326	-0.702	-1.326	-1.326	-0.363	-1.326	-0.702	-1.328
GOMF_NUCLEOTIDYLTRANSFERASE_ACTIVITY GOMF_NUCLEOTIDYLTRANSFERASE_ACTIVITY	2.373	0.789	4.770	-1.254	0.611	-3.229	0.789	0.789	-1.610	-3.229	-2.580
GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING	-1.067	2.397	-0.494	-0.267	3.045	-3.632	1.825	1.567	-0.267	-2.040	-4.388
GOMF_CHEMOKINE_RECEPTOR_BINDING GOMF_CHEMOKINE_RECEPTOR_BINDING	-0.566	-0.566	-2.737	-0.359	-1.855	8.153	-1.271	-0.566	-0.859	0.405	2.229
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	-0.978	-1.253	-1.981	0.552	-1.584	-0.301	-3.029	-0.566	0.552	4.770	4.759
GOMF_METAL_CLUSTER_BINDING GOMF_METAL_CLUSTER_BINDING	1.778	2.613	4.128	-1.891	-0.374	-2.779	0.389	-0.586	-1.891	-1.891	-0.375
GOMF_N_METHYLTRANSFERASE_ACTIVITY GOMF_N_METHYLTRANSFERASE_ACTIVITY	1.862	2.208	2.983	-1.278	0.772	-2.995	0.576	0.279	-2.265	-1.710	-1.714
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	-1.167	-2.898	-0.687	-0.265	-0.687	-3.584	0.341	3.348	1.702	0.783	1.433
GOMF_UNFOLDED_PROTEIN_BINDING GOMF_UNFOLDED_PROTEIN_BINDING	1.598	6.040	0.680	0.263	-1.508	-3.089	-0.482	0.376	-0.661	-1.164	-0.889
GOMF_LIPASE_ACTIVITY GOMF_LIPASE_ACTIVITY	-0.331	-0.331	-1.766	-0.460	-3.442	0.273	-1.084	-0.831	0.678	3.554	3.545
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	-0.270	-2.949	-2.096	-0.962	-1.187	3.010	0.556	-1.448	1.416	0.693	2.405
GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING	-0.272	-0.704	-0.704	1.822	-0.704	5.291	-0.704	-0.704	-0.704	0.332	-0.705
GOMF_PROTEIN_N_TERMINUS_BINDING GOMF_PROTEIN_N_TERMINUS_BINDING	-0.437	1.003	2.898	-0.617	1.003	-2.569	-0.301	1.527	-1.980	0.433	-2.575
GOMF_MOLECULAR_CARRIER_ACTIVITY GOMF_MOLECULAR_CARRIER_ACTIVITY	0.389	3.084	1.418	0.239	1.418	0.239	-1.302	-1.302	-1.302	-0.374	-2.783
GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	-0.524	-0.283	1.227	2.146	0.320	-0.925	2.690	-0.925	-0.524	-1.616	-1.619
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY	0.363	-1.571	-1.571	-0.668	-0.247	-1.571	-1.571	1.458	1.847	2.278	0.562
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	-0.753	-0.753	-0.753	0.429	-2.180	-0.753	-1.091	0.277	0.277	2.151	4.524
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	0.535	-3.455	-0.675	0.677	-0.675	-3.455	1.216	0.535	1.927	0.413	0.833
GOMF_CHLORIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_CHLORIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.752	-1.029	-3.146	2.386	-0.372	0.508	-1.381	-0.372	-0.250	2.766	0.685
GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	-0.279	3.974	1.433	0.607	-0.279	-0.279	-1.160	-0.580	-1.160	-0.580	-1.162
GOMF_U6_SNRNA_BINDING GOMF_U6_SNRNA_BINDING	1.292	3.558	0.762	-0.247	-0.247	-0.663	-0.663	-0.663	-0.663	-0.663	-0.664
