GO	[-23.88 -0.93]	[-0.93 -0.53]	[-0.53 -0.28]	[-0.28 -0.18]	[-0.18 0.00]	[0.00 0.00]	[0.00 0.25]	[0.25 0.59]	[0.59 1.22]	[1.22 2.19]	[2.19 10.00]
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-4.433	-5.156	-3.262	-7.031	-2.784	-8.360	-1.391	1.373	5.354	9.986	13.297
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	-5.014	-4.299	-1.077	-1.589	-1.314	-8.193	2.744	4.782	4.406	0.893	2.443
GSE22886_NEUTROPHIL_VS_DC_UP GSE22886_NEUTROPHIL_VS_DC_UP	-1.314	-2.675	-2.264	-0.427	-2.264	-0.550	-3.682	0.893	0.368	3.364	11.941
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	-3.204	0.453	0.264	-4.366	-0.724	-4.366	0.708	4.311	0.572	0.708	2.956
GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP	-1.391	-2.784	-1.996	-1.673	-0.751	-2.364	0.432	-0.271	3.865	3.206	4.198
GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP	-0.585	-1.973	-1.973	0.342	-0.918	-0.264	-1.973	-2.757	1.612	2.639	7.097
GSE3982_EOSINOPHIL_VS_TH2_UP GSE3982_EOSINOPHIL_VS_TH2_UP	-3.620	-2.622	-1.547	-0.527	-0.842	-3.087	1.512	2.816	2.246	1.105	2.234
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN	0.844	-1.973	-3.233	-1.652	-1.973	-0.918	-0.350	0.443	0.342	4.632	4.612
GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN	0.645	-2.507	-1.207	-0.254	-0.254	2.454	-2.507	-3.979	0.645	0.353	4.878
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP	0.380	-3.312	-1.970	-2.356	0.491	0.621	-2.356	-0.421	0.621	2.882	5.003
