GO	[-23.88 -0.91]	[-0.91 -0.53]	[-0.53 -0.29]	[-0.29 -0.18]	[-0.18 0.00]	[0.00 0.01]	[0.01 0.26]	[0.26 0.60]	[0.60 1.22]	[1.22 2.20]	[2.20 10.00]
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-4.436	-5.159	-3.264	-7.035	-3.264	-7.035	-1.146	1.372	4.961	10.518	12.761
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	-5.017	-4.302	-1.078	-1.905	-1.078	-8.196	3.046	4.406	4.406	1.066	2.187
GSE22886_NEUTROPHIL_VS_DC_UP GSE22886_NEUTROPHIL_VS_DC_UP	-1.316	-2.677	-2.266	-0.427	-2.266	-0.551	-2.677	0.597	0.368	3.697	11.423
GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	-0.919	-2.759	-0.919	-1.129	-0.919	-6.995	0.442	1.611	1.611	2.638	4.268
GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN GSE14413_UNSTIM_VS_IFNB_STIM_RAW264_CELLS_DN	0.644	-2.508	-1.208	-0.365	-0.365	3.579	-3.156	-3.981	0.644	0.353	4.898
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	-2.732	0.350	0.263	-4.369	-0.725	-4.369	0.859	4.310	0.453	0.707	2.975
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP	0.491	-3.314	-2.358	-2.358	-0.421	1.534	-2.802	-0.421	0.620	2.881	5.028
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN	1.010	-2.341	-3.235	-1.653	-1.974	-0.739	-0.264	0.341	-0.264	4.631	4.637
GSE3982_EOSINOPHIL_VS_TH2_UP GSE3982_EOSINOPHIL_VS_TH2_UP	-3.622	-2.623	-1.548	-0.528	-1.278	-2.216	1.740	2.522	2.245	1.105	2.249
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN	0.453	-2.316	-2.316	0.859	-1.354	0.859	-0.903	-1.632	-0.725	3.954	3.616
