	[-1.26 -0.92]	[-0.92 -0.54]	[-0.54 -0.29]	[-0.29 -0.18]	[-0.18 0.00]	[0.00 0.00]	[0.00 0.17]	[0.17 0.51]	[0.51 1.13]	[1.13 2.11]	[2.11 2.45]
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	11.587	23.615	1.8419999999999999	-0.452	-0.9740000000000001	-6.861000000000001	-2.715	-5.614	-4.669	-6.861000000000001	-5.61
GOCC_PRERIBOSOME	18.886	10.118	-0.368	-3.236	-2.289	-2.289	-1.643	-3.236	-2.289	-3.236	-2.2880000000000003
GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	2.3930000000000002	6.803	4.143	-1.66	0.74	-6.527	-0.494	-0.268	-1.067	-4.376	-3.005
GOBP_TELOMERASE_RNA_LOCALIZATION	2.27	5.792999999999999	-0.324	-0.787	-0.787	-0.787	-0.787	0.27899999999999997	-0.787	-0.787	-0.7859999999999999
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	3.8689999999999998	2.572	0.42700000000000005	-1.409	0.42700000000000005	-1.409	-0.765	-1.409	-1.409	0.42700000000000005	-0.764
GOBP_RRNA_TRANSCRIPTION	4.14	1.6469999999999998	1.1840000000000002	-0.363	0.247	-1.3259999999999998	-1.3259999999999998	-0.7020000000000001	-1.3259999999999998	-1.3259999999999998	-0.36200000000000004
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	2.002	4.207	0.5710000000000001	-1.225	-0.451	-0.755	-0.256	0.35100000000000003	-0.451	-1.99	-1.9880000000000002
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	4.598	2.5469999999999997	0.56	0.37200000000000005	-0.39	-0.606	-1.3319999999999999	-0.39	-1.926	-1.3319999999999999	-1.331
GOBP_PROTEIN_TRIMERIZATION	3.362	0.332	-0.7040000000000001	-0.7040000000000001	-0.7040000000000001	-0.7040000000000001	0.706	-0.7040000000000001	-0.7040000000000001	-0.272	1.207
GOMF_RECEPTOR_INHIBITOR_ACTIVITY	2.354	-0.354	-1.7819999999999998	0.45299999999999996	-0.354	1.04	-1.7819999999999998	-1.057	0.716	0.45299999999999996	-0.354
GOCC_SPECIFIC_GRANULE	-1.7069999999999999	-0.872	-1.105	-1.105	-1.7069999999999999	-6.61	-0.872	1.068	3.66	4.435	2.958
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.423	-1.976	-4.074	-0.509	-0.845	0.423	-1.063	-1.976	0.423	1.036	11.689
GOMF_IMMUNE_RECEPTOR_ACTIVITY	0.256	-2.8310000000000004	-2.276	-1.125	-0.35200000000000004	-1.125	-1.819	-0.866	1.246	1.764	10.043
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.9079999999999999	-1.261	-3.323	-0.475	-1.556	-1.901	-2.7739999999999996	0.457	0.588	2.332	8.058
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	-0.977	-1.252	-1.98	0.551	-1.98	-0.418	-1.98	-0.5660000000000001	0.301	5.21	5.215
GOMF_LIPASE_ACTIVITY	-0.331	0.384	-2.766	-0.461	-1.392	-1.392	-1.392	-0.461	0.861	3.162	3.958
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	-0.204	-0.9940000000000001	-0.9940000000000001	-0.462	-0.204	-0.462	-0.9940000000000001	-0.9940000000000001	-0.462	2.358	4.6530000000000005
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	0.27899999999999997	-0.787	-0.787	-0.787	-0.324	0.609	-0.787	-0.787	1.057	-0.787	4.784
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	0.594	-1.383	-1.055	1.48	-2.9130000000000003	1.219	-0.792	-1.055	0.311	0.311	3.16
GOBP_NEGATIVE_CHEMOTAXIS	0.389	-0.7020000000000001	-1.157	-0.228	-0.7020000000000001	-1.157	-1.9069999999999998	0.389	1.272	0.389	3.795
GOBP_DNA_METHYLATION_INVOLVED_IN_GAMETE_GENERATION	1.057	-0.787	-0.787	-0.787	-0.787	-0.324	-0.787	-0.324	0.609	1.057	2.271
GOMF_SERINE_HYDROLASE_ACTIVITY	-0.335	-2.411	-1.386	1.964	-1.1320000000000001	0.736	0.27	-1.1320000000000001	0.27	0.897	2.2319999999999998
GOBP_MATURE_B_CELL_DIFFERENTIATION	0.264	-1.284	-0.6709999999999999	0.264	-1.284	-1.284	0.836	0.509	0.836	-0.341	2.269
GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.359	-0.25	-1.5330000000000001	-1.5330000000000001	-0.47700000000000004	0.94	0.359	0.359	-0.86	-0.25	2.8789999999999996
HP_PERSISTENT_BLEEDING_AFTER_TRAUMA	0.187	-0.455	-0.455	-0.455	-0.455	0.578	0.187	-0.455	-0.455	0.187	3.763
GOBP_REGULATION_OF_NEUTROPHIL_EXTRAVASATION	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.795	-0.331	-0.331	3.5639999999999996
